Weight37
Date:,2025/04/22
Time:,16:54:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,867.010498,737.386963,134.201385,761.118469,677.435059,98.687218,1053.235718,894.120239,472.932556,844.476746,645.165894,93.364456,,,,,,,,,,,,
2,866.932617,737.386047,134.241623,761.157776,677.466064,98.735260,1053.171387,894.172424,472.765839,844.361877,645.307800,93.011719,,,,,,,,,,,,
3,866.971985,737.380066,134.227310,761.122498,677.466248,98.698097,1053.056396,894.225647,472.806793,844.425110,645.518982,92.858307,,,,,,,,,,,,
4,866.994263,737.404663,134.207504,761.118469,677.453369,98.747536,1053.082153,894.202698,472.822327,844.354614,645.542603,92.771942,,,,,,,,,,,,
5,867.026550,737.397827,134.191742,761.137390,677.458374,98.721077,1053.108032,894.276306,472.827057,844.318115,645.462708,92.795708,,,,,,,,,,,,
6,866.986023,737.386597,134.197952,761.160156,677.466187,98.728790,1053.105225,894.275330,472.847015,844.470703,645.403320,92.935692,,,,,,,,,,,,
7,866.901001,737.403564,134.172791,761.151001,677.463013,98.706192,1052.978882,894.334717,472.829773,844.414490,645.303162,93.028870,,,,,,,,,,,,
8,866.924194,737.438416,134.133362,761.133240,677.440979,98.709305,1052.972534,894.313904,472.849915,844.469299,645.286011,93.042374,,,,,,,,,,,,
9,866.953857,737.492310,134.195313,761.118896,677.447449,98.754669,1052.874634,894.339661,472.842773,844.612793,645.319580,93.304871,,,,,,,,,,,,
10,866.942810,737.540405,134.131927,761.120728,677.438782,98.730606,1052.748779,894.360596,472.846252,844.577515,645.268555,93.313759,,,,,,,,,,,,
11,866.893188,737.510193,134.145554,761.163757,677.424133,98.697693,1052.705078,894.367371,472.863495,844.517334,645.230713,93.053253,,,,,,,,,,,,
12,866.953491,737.534790,134.117142,761.168457,677.434387,98.755272,1052.690918,894.372803,472.872070,844.469971,645.294373,93.127464,,,,,,,,,,,,
13,866.937866,737.525452,134.102219,761.102173,677.362366,98.744781,1052.647095,894.389832,472.889130,844.477356,645.351868,93.035339,,,,,,,,,,,,
14,866.905701,737.508240,134.142151,761.136292,677.348694,98.689636,1052.582642,894.393860,472.892578,844.488403,645.414429,92.905403,,,,,,,,,,,,
15,866.877258,737.597229,134.148026,761.202637,677.308228,98.765030,1052.506226,894.464172,472.935822,844.509399,645.454102,92.909378,,,,,,,,,,,,
16,866.800415,737.614258,134.175629,761.213806,677.325989,98.666824,1052.428467,894.493652,472.958405,844.518127,645.434143,92.945976,,,,,,,,,,,,
17,866.761902,737.601135,134.201706,761.168640,677.355652,98.645645,1052.288208,894.501160,472.997742,844.570618,645.430603,93.188477,,,,,,,,,,,,
18,866.751099,737.607056,134.163788,761.115845,677.346558,98.681549,1052.205688,894.500061,472.965637,844.512695,645.337463,93.315216,,,,,,,,,,,,
19,866.758179,737.610657,134.148560,761.146362,677.330322,98.710114,1052.170044,894.500366,472.954468,844.577148,645.263428,93.380585,,,,,,,,,,,,
20,866.736633,737.609436,134.144440,761.207825,677.332092,98.655563,1052.161377,894.489929,472.988403,844.566589,645.155640,93.161446,,,,,,,,,,,,
21,866.678772,737.613770,134.183685,761.181885,677.332092,98.678261,1052.106445,894.479980,472.944702,844.541199,645.182922,93.276527,,,,,,,,,,,,
22,866.607605,737.605835,134.258789,761.128784,677.330261,98.660492,1052.301392,894.308472,472.870911,844.531250,645.219360,93.410255,,,,,,,,,,,,
23,866.598816,737.683594,134.270065,761.152771,677.330200,98.697304,1052.328369,894.258484,472.851105,844.573792,645.155029,93.463509,,,,,,,,,,,,
24,866.631165,737.594238,134.302765,761.208130,677.333923,98.654640,1051.967896,894.336487,472.954346,844.521057,645.146973,93.403191,,,,,,,,,,,,
25,866.624329,737.582642,134.308334,761.271423,677.327698,98.670097,1051.727295,894.269348,472.984070,844.537415,645.162659,93.402084,,,,,,,,,,,,
26,866.582153,737.584229,134.321915,761.219910,677.343262,98.668121,1051.613159,894.229736,472.990540,844.538696,645.200867,93.419098,,,,,,,,,,,,
27,866.558167,737.569763,134.373276,761.227600,677.349426,98.661522,1051.750488,894.020752,472.914886,844.549561,645.194702,93.408836,,,,,,,,,,,,
28,866.515808,737.564270,134.489868,761.221252,677.338013,98.637802,1051.409180,894.062256,472.923828,844.482544,645.217651,93.460236,,,,,,,,,,,,
29,866.493408,737.557251,134.515060,761.229614,677.323547,98.594231,1051.110718,893.988892,472.874054,844.430054,645.252808,93.450195,,,,,,,,,,,,
