Weight42
Date:,2025/04/22
Time:,17:18:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,849.774536,740.549622,127.975502,1052.017212,902.760193,470.504639,962.793152,906.008423,287.311493,847.610352,647.431824,84.570656,758.741272,664.319641,94.909126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,849.756897,740.548584,128.024948,1051.198608,903.644958,471.031830,962.800110,906.020813,287.249420,847.536621,647.272156,84.666512,758.691040,664.400085,94.821320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,849.730713,740.582764,128.034485,1050.889282,903.669678,471.162659,962.629456,906.159119,287.301483,847.581421,647.216125,84.708122,758.711365,664.446594,94.744415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,849.759583,740.561401,128.024506,1050.928955,903.628174,470.947540,962.743408,906.149658,287.331329,847.562317,647.289856,84.640945,758.780945,664.441284,94.768326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,849.754028,740.551697,127.988022,1050.725830,903.620667,471.086761,962.790710,906.152161,287.194946,847.572510,647.407166,84.593460,758.740173,664.411011,94.778946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,849.775757,740.562378,127.993584,1050.253418,903.755432,471.154663,962.817383,906.239075,287.154053,847.569580,647.484985,84.498642,758.707642,664.398560,94.797615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,849.812134,740.551453,127.995422,1050.584351,903.454712,471.099060,962.811523,906.300232,287.117584,847.509399,647.583313,84.384438,758.823914,664.351135,94.492928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,849.754333,740.565186,127.984154,1050.585449,903.428955,471.219147,962.773438,906.374817,287.145966,847.509827,647.679565,84.418205,758.996765,664.376526,94.254517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,849.766663,740.566711,127.999969,1050.465332,903.400024,471.202789,962.705750,906.370178,287.203827,847.526917,647.667603,84.408447,758.910950,664.457275,94.552734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,849.796204,740.560730,127.969322,1050.404175,903.310974,471.108643,962.692566,906.384949,287.155579,847.541077,647.627075,84.470650,758.731384,664.422668,94.792023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,849.773254,740.576050,127.997887,1050.451050,903.225464,471.138428,962.629578,906.456055,287.144257,847.509033,647.595947,84.475105,758.710632,664.404663,94.872620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,849.791809,740.548706,128.008820,1050.337891,903.220825,471.205933,962.588562,906.563904,287.121094,847.491394,647.475098,84.485367,758.743469,664.411743,94.841980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,849.823669,740.567322,128.021774,1050.227905,903.173035,471.268921,962.541748,906.581787,287.059021,847.461548,647.406616,84.532959,758.666748,664.415222,94.831894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,849.762939,740.557129,127.986717,1049.837646,903.005615,471.547607,962.524292,906.697144,287.054688,847.497437,647.432373,84.540565,758.738220,664.419617,94.820038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,849.763916,740.583191,128.059250,1049.742554,902.955872,471.612122,962.465515,906.713623,287.036102,847.515381,647.414001,84.585892,758.780273,664.427002,94.796089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,849.766296,740.586548,128.025650,1049.830078,902.860474,471.631134,962.343018,906.696106,287.090942,847.562927,647.433655,84.655724,758.786255,664.430481,94.786240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,849.752441,740.558044,127.985054,1049.647705,902.920288,471.623077,962.272522,906.772278,287.150940,847.588440,647.423523,84.626663,758.674072,664.419434,94.820992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,849.759949,740.572998,128.004440,1049.420410,902.859314,471.656921,962.182495,906.777222,287.177765,847.543396,647.465698,84.539330,758.729553,664.415771,94.830856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,849.750244,740.557495,127.990524,1049.306030,902.790710,471.625641,961.977478,906.835815,287.182343,847.492310,647.563293,84.461777,758.720520,664.403442,94.799507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,849.738159,740.560974,128.012177,1049.066895,902.793335,471.634613,961.833435,906.853699,287.248901,847.470459,647.558777,84.430885,758.738708,664.408997,94.785957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,849.689758,740.546448,128.045197,1048.934082,902.711853,471.650269,961.588806,906.868713,287.223083,847.473022,647.532104,84.562622,758.773621,664.425781,94.793335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,849.643982,740.346985,128.319687,1048.712769,902.665405,471.629669,961.362061,906.928040,287.267426,847.474854,647.413452,84.715591,758.718018,664.410645,94.801865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,849.659546,740.275146,128.514938,1048.357910,902.526001,471.596741,961.101074,907.019104,287.212311,847.398438,647.341675,84.705284,758.686340,664.399109,94.821907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,849.713623,740.262512,128.599701,1048.137329,902.392090,471.626770,960.683777,907.127930,287.050323,847.354187,647.353821,84.591537,758.681213,664.396301,94.830795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,849.754639,740.160400,128.630554,1047.765137,902.276917,471.394928,960.371521,907.323486,287.426025,847.375305,647.449951,84.604225,758.681030,664.414612,94.830017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,849.887329,740.008484,128.751572,1047.370483,902.179138,471.363739,960.148010,907.319275,287.179504,847.389221,647.472534,84.670395,758.700684,664.503052,94.843872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,849.989258,739.966492,128.879349,1046.816162,902.034058,471.393524,959.774048,907.693237,287.440826,847.376526,647.445862,84.708641,758.748413,664.533447,94.819000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,850.070129,739.816528,129.013306,1046.388794,901.998657,471.449158,959.405762,907.951660,287.610168,847.320801,647.359497,84.799568,758.793091,664.515991,94.851479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,850.166199,739.738708,129.041260,1046.021484,901.836914,471.446716,959.176147,908.244080,287.639191,847.285522,647.235046,84.915245,758.771729,664.519897,94.888855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,850.231140,739.572083,129.267914,1045.658203,901.747864,471.479828,958.990723,908.477966,287.669586,847.287720,647.150024,85.090500,758.853577,664.596924,94.954330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,850.382996,739.395630,129.527191,1045.215942,901.590759,471.580811,958.814087,908.724854,287.650452,847.199829,647.074280,85.160332,758.895020,664.620667,94.940369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,850.472656,739.328674,129.814789,1044.684204,901.516052,471.622314,958.618286,908.944519,287.747498,847.106140,647.039307,85.280685,758.939697,664.711304,94.965508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,850.601074,739.339844,130.516891,1044.143677,901.306824,471.796112,958.393921,909.258301,287.830872,847.031250,647.067261,85.560066,759.015076,664.717651,95.051773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,850.545166,739.156311,131.060516,1043.749268,901.180847,471.793762,958.173645,909.489624,287.892914,847.254639,646.872314,86.346443,759.055603,664.710449,95.058266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,850.511292,739.039795,131.658356,1043.616089,901.025574,471.805237,957.836182,909.807922,288.089386,847.384644,646.474976,87.100037,759.100647,664.706421,95.137550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,850.415161,738.996582,132.088043,1043.468018,900.836426,471.808899,957.412598,910.028992,288.237518,847.289795,646.134949,87.896042,759.172607,664.691223,95.139374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,849.945984,739.054932,132.554626,1042.896240,900.578369,471.970764,957.106628,910.190979,288.455688,847.143433,645.864685,88.577675,759.287537,664.685547,95.243515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,849.703613,739.142212,132.997665,1042.050049,900.513184,471.900940,957.052246,910.451111,288.453064,847.054749,645.889282,89.054886,759.341003,664.586060,95.420990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,849.590759,739.380615,133.362701,1041.285767,900.598511,471.704346,956.442810,910.791077,288.932983,846.994263,646.089905,89.446968,759.145020,664.565491,95.839432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,849.241394,739.517761,133.662506,1040.550049,900.497925,471.679535,956.184204,910.798767,288.888489,846.973145,646.389648,90.030548,759.154114,664.387451,95.870514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,848.827576,739.438232,134.280792,1039.651001,900.323792,471.986328,955.963379,910.934631,288.829071,846.719360,646.766479,90.644226,759.075134,664.323242,96.298271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,848.433899,739.519348,134.678650,1039.036499,900.178223,472.087799,955.666626,911.074463,288.972595,846.389893,646.858643,91.021324,758.852539,664.301575,96.710876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
