Weight61
Date:,2025/04/23
Time:,12:59:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,879.504883,696.628235,95.343513,825.591003,619.927490,109.755341,765.330566,679.352844,109.022736,1089.167236,793.923218,207.481583,1108.120361,779.767273,299.971985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,879.507813,696.633667,95.348297,825.625183,620.002930,109.723869,765.330566,679.352844,109.022736,1089.170166,793.868835,207.473572,1108.120361,779.767273,299.971985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,879.495056,696.621643,95.343582,825.588379,620.041260,109.754364,765.286743,679.432800,109.061668,1089.107544,793.870361,207.531387,1108.124146,779.746704,299.966095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,879.448303,696.634705,95.342995,825.547302,620.048218,109.717712,765.294739,679.377686,109.072891,1089.089722,793.925964,207.553070,1108.110474,779.706543,299.944031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,879.453003,696.639709,95.342903,825.561218,620.023071,109.702827,765.267273,679.435547,109.097641,1089.156616,793.824341,207.480606,1108.044067,779.673523,299.879486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,879.463440,696.640503,95.340851,825.554626,620.019348,109.705658,765.260925,679.468201,109.052910,1089.086182,793.800842,207.519684,1108.052734,779.639832,299.881042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,879.415894,696.671387,95.259628,825.547974,620.027039,109.707428,765.211914,679.461853,109.039612,1089.068359,793.799133,207.564865,1108.063843,779.636780,299.889709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,879.413635,696.578613,95.272423,825.538269,620.054871,109.751389,765.212463,679.452637,109.069710,1089.135864,793.794800,207.512222,1108.063599,779.580872,299.886566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,879.360474,696.628784,95.272980,825.542114,620.049255,109.719566,765.194763,679.456055,109.063553,1089.172485,793.711426,207.505798,1108.064575,779.528870,299.880127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,879.402954,696.672974,95.254387,825.571289,620.012512,109.708595,765.211792,679.453186,109.074951,1089.156860,793.676331,207.486923,1108.091797,779.456604,299.926697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,879.417786,696.682373,95.241905,825.586914,619.990356,109.776314,765.218201,679.452087,109.075729,1089.136353,793.656799,207.456802,1108.136230,779.454468,299.827148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,879.401245,696.679749,95.227760,825.567749,619.967468,109.761024,765.263062,679.463257,109.044426,1089.220825,793.561829,207.432541,1108.102417,779.396118,299.906250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,879.401733,696.670227,95.239609,825.579834,619.942139,109.747421,765.221130,679.458801,109.034882,1089.279907,793.523315,207.452698,1108.044189,779.320801,299.869690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,879.409607,696.674744,95.248055,825.591187,619.925720,109.750954,765.295044,679.460693,109.068748,1089.283813,793.524658,207.460556,1108.093506,779.277771,299.793335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,879.427368,696.661072,95.209068,825.561462,619.968140,109.793686,765.286743,679.464233,109.034920,1089.346558,793.446655,207.388184,1108.109253,779.218079,299.777100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
