Weight63
Date:,2025/04/23
Time:,12:59:51
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,763.579712,681.777832,111.948334,876.173157,700.886780,95.842712,825.374573,621.699707,110.215553,1077.706543,810.387695,211.435852,1093.632446,794.412231,304.095978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,763.647095,681.723755,111.751724,876.095215,700.874512,95.889519,825.366333,621.657166,110.368324,1077.710327,810.333374,211.428299,1093.843750,794.274536,303.891754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,763.632263,681.768127,111.866386,876.131775,700.778320,95.957527,825.402954,621.546509,110.399689,1077.831543,810.191589,211.413269,1093.871216,794.215454,303.864807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,763.583008,681.781555,111.951065,876.135986,700.851624,95.945778,825.382263,621.537415,110.404152,1077.906128,810.100769,211.485809,1093.851563,794.163452,303.875336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,763.516846,681.787231,111.924271,876.137878,700.868652,96.025116,825.404114,621.524170,110.386444,1077.911865,809.994263,211.493866,1093.870972,794.066162,303.869720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,763.515076,681.787415,111.905823,876.093628,700.798157,95.922005,825.415955,621.521790,110.379868,1077.965698,809.923340,211.421417,1093.876709,794.000488,303.862396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,763.525696,681.787048,111.898933,876.088928,700.735291,96.011070,825.380798,621.543884,110.272278,1078.033936,809.808594,211.449387,1093.858154,793.881714,303.875275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,763.566650,681.747559,111.775063,876.086731,700.753235,96.002991,825.398193,621.588989,110.315468,1078.007935,809.698730,211.402588,1093.857056,793.822083,303.872894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,763.578064,681.765381,111.906494,876.136597,700.760864,96.021530,825.416809,621.592529,110.369484,1078.136719,809.638184,211.436920,1093.939331,793.767151,303.925110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,763.562988,681.773804,111.899437,876.094910,700.744751,96.051620,825.421814,621.561035,110.393883,1078.194702,809.557190,211.468704,1093.935181,793.652954,303.927002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,763.568237,681.774292,111.876274,876.111023,700.842041,96.062958,825.421326,621.528748,110.404770,1078.348633,809.399353,211.491272,1093.950806,793.648193,303.920990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,763.564331,681.760925,111.905571,876.120789,700.875854,96.060371,825.534241,621.023682,109.958275,1078.346680,809.386292,211.445755,1093.954346,793.655640,303.919861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,763.557007,681.729980,111.817574,876.135803,700.785156,96.036263,825.445679,621.213623,110.328918,1078.361206,809.286560,211.467026,1094.017822,793.549622,303.852081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,763.570435,681.753174,111.885307,876.151428,700.746033,96.016754,825.369629,621.472900,110.480446,1078.453735,809.220276,211.412552,1094.092407,793.477844,303.891083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,763.531311,681.785706,111.905243,876.203186,700.845886,96.001381,825.342590,621.642151,110.409073,1078.657837,809.093811,211.326889,1094.101807,793.419983,303.902527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,763.557861,681.750671,111.783806,876.206116,700.881653,95.963478,825.394470,621.687256,110.330109,1078.610718,809.160645,211.109894,1094.184570,793.419067,303.843079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,763.592407,681.768127,111.831696,876.258179,700.857666,95.982468,825.419922,621.661255,110.323074,1078.685791,809.046265,211.158875,1094.259399,793.312378,303.877991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,763.544006,681.787170,111.888329,876.110291,700.940552,96.167343,825.364258,621.642883,110.280922,1078.875366,808.944580,211.265900,1094.279541,793.242615,303.911865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,763.518311,681.788818,111.910774,876.159363,700.894836,96.089195,825.357056,621.632690,110.228050,1078.993774,808.892029,211.194443,1094.275879,793.240417,303.915192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,763.556335,681.774902,111.888161,876.221741,700.851746,96.013992,825.364319,621.642578,110.211700,1079.126343,808.766357,211.180328,1094.336548,793.137939,303.844055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,763.605347,681.756836,111.874146,876.276794,700.835693,95.974915,825.368103,621.653625,110.211838,1079.216431,808.616455,211.235901,1094.433960,793.122009,303.887451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,763.549744,681.782166,111.882782,876.286987,700.835999,95.969963,825.413574,621.622925,110.278595,1079.208740,808.729065,211.260193,1094.453613,793.079773,303.900391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,763.522400,681.789185,111.901131,876.363098,700.872192,95.978088,825.389038,621.591919,110.265282,1079.315674,808.695740,211.253448,1094.423950,792.993103,303.865631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,763.593933,681.736267,111.763992,876.310120,700.859985,95.942314,825.414429,621.563538,110.308372,1079.341797,808.626404,211.243958,1094.500000,792.903198,303.814911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,763.656555,681.756958,111.862488,876.266418,700.850769,95.939011,825.392090,621.563782,110.300652,1079.356689,808.592285,211.259583,1094.578247,792.887634,303.867340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,763.551758,681.786133,111.895737,876.147278,700.978577,96.130287,825.364380,621.603577,110.302406,1079.454590,808.526917,211.240555,1094.596680,792.782898,303.899719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,763.523315,681.778076,111.871452,876.165894,700.894287,96.159897,825.359070,621.623230,110.228806,1079.359619,808.505859,211.228638,1094.634399,792.661499,303.938721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
