Weight61
Date:,2025/04/24
Time:,14:49:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,1049.151855,708.039978,273.825745,895.028625,657.551270,107.653877,1066.053955,697.395142,456.947693,804.449585,612.350342,89.018654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1049.111938,708.039063,274.059357,895.007019,657.468689,107.772049,1065.858765,697.511719,456.842346,804.443726,612.359375,89.060783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1049.066162,708.155090,274.156677,894.934875,657.437012,107.943497,1065.624146,697.591736,456.821045,804.431580,612.366760,89.112427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1049.262085,708.381226,274.287292,894.734253,657.443970,108.120537,1065.384644,697.609985,456.744446,804.350403,612.363159,89.204941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1049.365845,708.638184,274.213715,894.466980,657.261414,108.257263,1065.207764,697.640137,456.797729,804.314026,612.448975,89.272781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1049.655151,708.726318,274.181824,894.241333,657.244263,108.517227,1065.029907,697.759338,456.799835,804.351074,612.469055,89.362999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1049.786133,708.873718,274.188416,894.174927,657.251160,108.688995,1064.790161,697.774292,456.735718,804.311340,612.502686,89.567459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1049.993408,709.141846,274.103119,894.178772,657.322205,108.854897,1064.567139,697.823608,456.703796,804.246338,612.521423,89.830444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1050.354858,709.447632,274.122253,894.077026,657.222046,108.968689,1064.379272,697.883484,456.685425,804.127319,612.509399,90.026199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1050.614258,709.961914,274.113312,894.020630,657.254700,109.178917,1064.156616,697.978516,456.644928,804.055359,612.509583,90.228958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
