Grasp24
Date:,2025/04/16
Time:,10:55:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,902.670349,859.026306,64.536194,765.364807,888.883850,35.703327,1071.396362,944.593079,270.134186,822.887939,820.913330,34.913963,1075.562012,908.248291,451.298615,,,,,,,,,,,,,,,,,,
2,902.615906,859.105286,64.482819,765.148804,888.823608,36.027588,1071.387451,944.606018,270.145935,822.890625,820.910645,34.949844,1075.486938,908.191650,451.287384,,,,,,,,,,,,,,,,,,
3,902.776123,858.996887,64.460197,765.235413,888.743164,35.947220,1071.394531,944.595398,270.136658,822.923523,820.925232,34.880203,1075.541626,908.146484,451.281982,,,,,,,,,,,,,,,,,,
4,902.646606,858.995483,64.451836,765.352905,888.854797,35.819923,1071.466309,944.579224,270.084869,822.922974,820.927124,34.800449,1075.509277,908.181335,451.276764,,,,,,,,,,,,,,,,,,
5,902.690369,858.993164,64.439827,765.388367,888.893250,35.684124,1071.364014,944.619324,270.107269,822.926514,820.926331,34.885651,1075.565674,908.116272,451.299500,,,,,,,,,,,,,,,,,,
6,902.714905,858.992859,64.434357,765.424011,888.897095,35.703011,1071.398682,944.552063,270.127319,822.879089,820.922363,34.903175,1075.620850,908.037964,451.233612,,,,,,,,,,,,,,,,,,
7,902.743286,859.032715,64.594070,765.303711,888.852722,35.818726,1071.385986,944.572266,270.079376,822.825378,820.919189,34.980476,1075.644653,908.073975,451.252747,,,,,,,,,,,,,,,,,,
8,902.712524,859.069397,64.504547,765.334534,888.864624,35.818871,1071.419922,944.481262,270.109192,822.813293,820.902466,34.960392,1075.524048,908.069458,451.250519,,,,,,,,,,,,,,,,,,
9,902.770935,858.972168,64.508423,765.282349,888.848328,35.843590,1071.415039,944.472107,270.119751,822.817383,820.909424,34.980644,1075.521240,907.988892,451.224701,,,,,,,,,,,,,,,,,,
10,902.634888,859.091980,64.506721,765.293518,888.879822,35.805122,1071.411987,944.439392,270.111877,822.866150,820.927429,34.925777,1075.547485,907.970642,451.207153,,,,,,,,,,,,,,,,,,
11,902.701904,859.079224,64.569221,765.340759,888.882507,35.765850,1071.335205,944.448120,270.108459,822.912842,820.949280,34.951660,1075.559082,907.975586,451.202087,,,,,,,,,,,,,,,,,,
12,902.764832,859.059265,64.540070,765.214539,888.857056,35.854904,1071.371460,944.400391,270.179169,822.874451,820.952942,34.949024,1075.496826,907.926514,451.192688,,,,,,,,,,,,,,,,,,
13,902.831970,859.054810,64.567764,765.231873,888.830200,35.869576,1071.390015,944.391724,270.195862,822.824646,820.923462,34.984600,1075.572876,907.867188,451.172516,,,,,,,,,,,,,,,,,,
14,902.838501,859.055298,64.577133,765.116821,888.843323,35.803062,1071.336914,944.382568,270.133636,822.818054,820.916809,35.001930,1075.568115,907.907104,451.236023,,,,,,,,,,,,,,,,,,
15,902.744263,858.873169,64.800850,765.347839,888.880188,35.762932,1071.303711,944.390381,270.115295,822.793518,820.903198,34.907402,1076.110840,908.718018,451.177765,,,,,,,,,,,,,,,,,,
16,902.741821,859.030884,64.614548,765.285583,888.856262,35.862183,1071.336548,944.287781,270.268127,822.848938,820.920776,34.982288,1075.895142,908.048828,451.256012,,,,,,,,,,,,,,,,,,
17,902.742188,858.940674,64.787704,765.350037,888.867615,35.805695,1071.272705,944.270996,270.206146,822.888306,820.921326,34.950169,1075.590942,907.751648,451.247040,,,,,,,,,,,,,,,,,,
18,902.758484,858.976196,64.579842,765.251099,888.850220,35.885803,1071.163696,944.316528,270.175659,822.924927,820.938721,34.912235,1075.522705,907.758545,451.260712,,,,,,,,,,,,,,,,,,
19,902.786682,859.002747,64.501289,765.167419,888.816467,35.974033,1071.158325,944.323792,270.153168,822.943176,820.926208,34.940712,1075.521606,907.787903,451.295471,,,,,,,,,,,,,,,,,,
20,902.699524,859.004395,64.537376,765.154602,888.833313,35.994297,1071.222290,944.292358,270.270050,822.854675,820.917358,34.906502,1075.530518,907.794434,451.299652,,,,,,,,,,,,,,,,,,
21,902.721558,858.831299,64.816040,765.293823,888.796875,35.813107,1071.230591,944.248779,270.340240,822.927368,820.939514,34.918610,1075.595093,907.705383,451.328278,,,,,,,,,,,,,,,,,,
22,902.747070,858.918274,64.594727,765.218079,888.767395,35.643913,1071.470337,944.157227,270.185455,822.930359,820.937012,34.829777,1075.650146,907.672485,451.310516,,,,,,,,,,,,,,,,,,
23,902.741577,858.833679,64.783119,765.390137,888.778442,35.690006,1071.273682,944.205933,270.273163,822.909912,820.935303,34.840714,1075.716064,907.641602,451.343323,,,,,,,,,,,,,,,,,,
24,902.635437,858.845337,64.881531,765.252747,888.946655,35.885464,1071.254883,944.181396,270.345001,822.872375,820.917236,34.874634,1075.724609,907.639343,451.349670,,,,,,,,,,,,,,,,,,
25,902.795227,858.938416,64.632874,765.075378,888.843201,35.825233,1071.223755,944.216003,270.309998,822.887695,820.906738,34.933876,1075.717651,907.675476,451.362427,,,,,,,,,,,,,,,,,,
26,902.768982,858.829834,64.771172,765.287903,888.790710,35.774200,1071.276123,944.153809,270.335968,822.862000,820.917847,34.929913,1075.718018,907.596375,451.344421,,,,,,,,,,,,,,,,,,
27,902.775024,858.962097,64.663734,765.217834,888.724487,35.806217,1071.189209,944.200439,270.291504,822.896667,820.919006,34.885429,1075.722656,907.573792,451.334808,,,,,,,,,,,,,,,,,,
28,902.681702,858.839355,64.884918,765.156555,888.809265,35.959068,1071.148804,944.171265,270.343811,822.902344,820.922241,34.902210,1075.813599,907.531799,451.364655,,,,,,,,,,,,,,,,,,
29,902.641357,858.772278,64.977905,765.110962,888.841064,36.048069,1071.204590,944.157410,270.310791,822.878906,820.909546,34.849415,1075.848389,907.437256,451.338348,,,,,,,,,,,,,,,,,,
30,902.758972,858.959290,64.736160,765.122070,888.823181,35.996262,1071.123169,944.203674,270.350952,822.845032,820.923462,34.946564,1075.838257,907.411926,451.355957,,,,,,,,,,,,,,,,,,
31,902.686584,858.940308,64.876770,764.943787,888.798889,35.981216,1071.164795,944.101074,270.429291,822.831970,820.917175,35.034790,1075.936768,907.441406,451.383392,,,,,,,,,,,,,,,,,,
32,902.689880,858.986145,64.655983,764.990051,888.819275,35.843903,1071.201538,944.070801,270.441345,822.875488,820.903870,34.923939,1075.872070,907.435486,451.331299,,,,,,,,,,,,,,,,,,
33,902.679382,858.936279,64.874428,765.312134,888.860840,35.787388,1071.124634,944.159546,270.362427,822.934448,820.939087,34.887493,1075.887207,907.332336,451.392059,,,,,,,,,,,,,,,,,,
34,902.646606,859.056335,64.620247,765.417236,888.897461,35.777515,1071.159668,944.029419,270.452179,822.901367,820.938110,34.947750,1075.885376,907.342712,451.317596,,,,,,,,,,,,,,,,,,
35,902.766296,859.066284,64.600060,765.430176,888.892639,35.741467,1071.320190,943.980652,270.407257,822.848816,820.921326,35.018543,1075.836670,907.357971,451.394623,,,,,,,,,,,,,,,,,,
36,902.749756,859.065613,64.569473,765.445557,888.899353,35.727650,1071.246948,944.074402,270.472626,822.858704,820.926758,35.025261,1075.904785,907.316162,451.405151,,,,,,,,,,,,,,,,,,
