Grasp41
Date:,2025/04/16
Time:,14:27:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,796.088562,799.166260,34.177013,930.543579,807.476685,72.422760,860.070313,756.956421,36.557903,1231.176147,863.383667,416.582336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,795.976868,799.213867,34.917797,930.511841,807.511108,72.519775,860.122986,756.821350,36.646683,1231.104492,863.435059,416.517273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,795.888855,799.198853,35.097019,930.528870,807.588684,72.554893,860.195801,756.764954,36.704445,1231.125366,863.433350,416.428497,1109.052856,891.662842,270.059296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,795.950500,799.183716,34.997551,930.590027,807.614868,72.688873,860.441589,756.578796,36.593281,1231.112671,863.505615,416.371246,1109.410400,891.933411,269.898804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,796.079407,799.126831,34.946678,930.626953,807.698730,72.738762,860.795593,756.301575,36.659164,1231.105347,863.516785,416.367554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,796.343384,799.077515,34.987656,930.702698,807.810730,72.929764,861.228333,755.824097,36.710930,1231.106567,863.513123,416.372864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,796.492615,798.998779,34.964909,930.812927,807.995300,73.146202,862.296997,755.049683,36.884197,1231.107422,863.608521,416.383331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,796.712463,798.871460,35.093380,931.021057,807.993958,73.373016,863.253662,754.327087,36.926361,1231.120850,863.637634,416.362823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,797.036255,798.567688,35.450668,931.225952,808.157043,73.537712,864.315979,753.587524,37.134556,1231.075195,863.704712,416.308014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,797.356079,798.070068,36.056965,931.494324,808.220581,73.686066,865.270142,752.875793,37.350834,1231.172241,863.746155,416.167114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,797.546570,797.249023,37.575008,931.810669,808.340881,74.050117,866.192139,752.049316,37.906868,1231.352783,863.839172,416.062988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,797.259338,796.588623,38.537502,932.201904,808.556213,74.285446,867.296143,750.574097,39.176563,1231.371094,864.005798,415.918152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,797.128723,796.216492,40.080406,932.573120,808.727112,74.410034,868.584656,749.304443,39.690716,1231.440552,864.089111,415.851105,,,,1111.776489,897.138184,268.253601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,797.334656,796.008484,41.552303,932.864380,808.662537,74.996323,869.805237,748.655457,39.331738,1231.379883,864.207703,415.429901,,,,1112.211792,898.093445,268.372070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,797.579712,795.618042,43.431068,933.057617,808.592346,75.444916,871.588440,747.812012,39.456100,1231.412720,864.321045,415.175262,,,,1112.749634,898.930664,268.392487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,797.294617,795.589417,44.571159,932.961914,808.410339,76.086540,873.225952,746.292908,40.785900,1231.395996,864.444702,414.885590,,,,1113.445435,899.973633,268.138824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,797.438538,795.848328,46.166878,932.321716,808.441345,77.236931,874.363159,745.088196,41.464882,1231.355103,864.603516,414.558868,,,,1114.022461,900.377380,267.824463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
