Grasp113
Date:,2025/04/23
Time:,10:06:54
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,782.514648,475.371155,28.711130,906.938843,523.699341,65.426964,860.887085,450.688995,28.742697,1118.763916,758.473511,476.920288,1048.536133,720.272827,294.145782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,782.538696,475.369354,28.648668,906.871399,523.553223,65.532829,861.054871,450.698303,28.778166,1118.977051,758.501465,476.773376,1048.587036,720.389526,294.144440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,782.547241,475.360718,28.758593,906.903503,523.615967,65.609200,861.012512,450.738159,28.748796,1119.061646,758.606201,476.882446,1048.688965,720.504578,294.199219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,782.510315,475.338135,28.761923,906.898132,523.681885,65.690689,860.890747,450.707062,28.723410,1119.223145,758.692932,476.593689,1048.777588,720.610107,294.196655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,782.491943,475.363037,28.758503,906.862549,523.731873,65.697678,860.932739,450.700958,28.798368,1119.135742,758.918274,476.526855,1048.879395,720.705200,294.205322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,782.488403,475.375275,28.740129,906.827759,523.722168,65.778198,861.012634,450.710724,28.765251,1119.480103,758.856018,476.438812,1048.916138,720.828979,294.213409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,782.481506,475.395203,28.710716,906.824951,523.747498,65.841240,861.046021,450.714203,28.809549,1119.847900,758.901611,476.298187,1048.979126,721.033264,294.192841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,782.453735,475.378174,28.731588,906.793457,523.740356,65.880890,860.941589,450.671173,28.790121,1120.036499,759.030640,476.208466,1049.075928,721.205872,294.129364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,782.443054,475.376160,28.770870,906.787781,523.712341,66.057175,860.933777,450.660522,28.793230,1119.756226,759.232727,476.254852,1049.198853,721.389587,294.098755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,782.444519,475.370728,28.751219,906.797180,523.792480,66.216415,860.812378,450.664215,28.802778,1120.123169,759.184692,476.179077,1049.341309,721.590454,294.118530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,782.390625,475.283966,28.817760,906.770874,523.785522,66.287758,861.014343,450.763519,28.773567,1120.475220,759.233459,475.973389,1049.802490,721.901978,293.796082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,782.388550,475.349487,28.812273,906.695618,523.761414,66.387337,861.081360,450.726074,28.766903,1120.630005,759.364075,475.872650,1050.204834,722.195374,293.585266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,782.395874,475.364410,28.777899,906.638794,523.790039,66.528091,861.038513,450.715576,28.742044,1120.683716,759.465393,475.971588,1050.552368,722.545898,293.238190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,782.375183,475.352539,28.813166,906.619507,523.856384,66.773590,861.020386,450.719635,28.739452,1120.596191,759.699829,476.061127,1051.147217,722.783630,292.867676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,782.317810,475.367310,28.866734,906.516479,523.847900,66.991646,861.033997,450.714355,28.813095,1120.649048,759.914307,476.018555,1051.898560,723.090637,292.257263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,782.336914,475.341217,28.856075,906.337219,523.822571,67.295418,861.005737,450.725800,28.843597,1120.808594,760.056641,475.831757,1052.446045,723.635803,291.956299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,782.274109,475.340607,28.880955,906.136475,523.763184,67.750053,860.982300,450.656219,28.837889,1120.967041,760.162354,475.720520,1052.664063,724.274658,291.900299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,782.411560,475.471558,29.029129,905.630493,523.635315,68.744904,861.054443,450.593170,28.863928,1121.219116,760.339661,475.571472,1053.054443,724.990234,291.777618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,782.314026,475.490570,29.096195,905.534607,523.578674,69.926117,861.180176,450.663330,28.837538,1121.358276,760.556641,475.513611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
