Grasp126
Date:,2025/04/23
Time:,11:18:29
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,745.671265,501.804199,29.688686,877.925476,530.553284,61.888622,827.067017,458.896240,31.186863,1054.004395,804.908325,485.718872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,745.689758,501.821808,29.771248,877.869995,530.481323,61.989136,827.051208,458.901611,31.222916,1053.995239,805.307861,486.394867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,745.719238,501.843201,29.742634,877.781372,530.473816,62.069450,827.014038,458.918579,31.235373,1054.081909,805.561890,486.637360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,745.667419,501.858582,29.894533,877.740479,530.506348,62.501251,826.969360,458.940063,31.192278,1054.721436,806.243652,486.542358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,745.696777,501.797363,29.831442,877.592102,530.464294,62.773624,826.969971,459.015564,31.147432,1055.264648,806.484314,486.625916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,745.639282,501.867584,29.776436,877.531311,530.425232,62.858994,826.899963,459.004913,31.210203,1055.598511,806.554810,486.753510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,745.606201,501.848663,29.814590,877.451477,530.376770,63.013229,826.822327,459.024902,31.102371,1055.561768,806.946289,487.203217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,745.595764,501.924103,29.846867,877.341614,530.362793,63.240299,826.792908,459.070007,31.144438,1055.623047,807.211365,487.482605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,745.513855,501.951660,29.880804,877.206238,530.293396,63.478832,826.693420,459.095734,31.113161,1056.063965,807.325439,487.719025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,745.461426,501.946014,29.831139,877.043823,530.288025,63.667126,826.589783,459.029907,30.892118,1056.411621,807.537354,487.831879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,745.382507,501.957428,29.897985,876.852844,530.177551,63.991177,826.550415,459.012665,30.832136,1056.785034,807.967224,487.929871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,745.245911,502.082031,29.895254,876.684631,530.048706,64.280441,826.399353,459.020630,30.826180,1057.138550,808.608948,488.095795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,745.149414,502.128082,29.970442,876.451050,529.920959,64.714905,826.290039,459.032410,30.868465,1057.465454,809.037170,488.331726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,744.968872,502.146210,30.053278,875.807373,529.864014,65.655136,826.203979,458.984192,30.741205,1057.916016,809.388367,488.625214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,744.770813,502.269104,30.028612,875.509338,529.739380,66.369919,826.098511,459.167450,30.904158,1058.900146,809.828247,488.603516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,744.598328,502.276367,30.101406,875.181824,529.605103,67.242142,825.965759,459.142334,31.003416,1059.610840,810.142761,488.859009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,744.406372,502.397949,30.181934,874.654297,529.407043,68.522354,825.775635,459.133392,30.959181,1060.343750,810.448059,489.148132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,744.169800,502.431122,30.167379,874.178101,529.315247,69.545135,825.664673,459.184387,30.945492,1061.102295,810.817078,489.242310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
