Grasp120
Date:,2025/04/23
Time:,14:06:04
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,886.429321,722.871521,56.396221,954.711609,796.924133,85.265701,818.088745,795.246704,65.019890,1192.026978,863.001099,398.718079,1163.953979,901.816101,243.522614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,885.869751,722.273254,59.708279,954.142883,797.099426,86.780838,817.816040,795.119080,67.040497,1191.955566,863.007935,398.776215,1163.879883,902.044922,243.612457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,885.483521,721.711426,61.409866,953.463989,797.127136,87.972275,816.746765,795.078735,69.430717,1191.792480,863.121887,398.757599,1163.749512,902.213440,243.681366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,885.029846,720.969177,63.315060,952.713013,797.085205,89.222557,816.019470,794.926331,71.878136,1191.545898,863.163025,398.640961,1163.436523,902.366150,243.682190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,884.556885,719.927612,65.807266,951.964783,796.779724,91.145256,814.817932,794.711182,74.949486,1191.280151,863.232971,398.502014,1162.983521,902.514038,243.728653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,884.277893,718.652100,68.232552,950.758606,796.686035,92.827217,813.442810,794.662170,77.615540,1190.916870,863.378784,398.223480,1162.370728,902.632019,243.805313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,883.882874,717.439270,69.837921,949.828430,796.360718,94.124840,812.403870,793.864014,79.665443,1190.645142,863.400879,398.202393,1161.594604,902.727295,243.793976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,883.446411,715.897644,72.310738,949.060486,795.490234,94.897537,811.496216,793.069946,82.310806,1190.472900,863.502014,398.065155,1160.758545,902.671265,243.704163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,883.037048,714.370056,74.222298,947.615479,794.570801,96.639023,810.851318,791.846924,84.319405,1190.146484,863.522644,398.023865,1160.188477,902.570129,243.601730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,882.817810,712.165222,76.714371,946.896790,793.494507,97.795525,809.571472,790.658813,86.219215,1189.788818,863.582581,397.986908,1159.756470,902.436829,243.591797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
