Grasp125
Date:,2025/04/23
Time:,14:06:36
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,926.342407,511.285583,67.727226,870.687561,438.889221,31.100801,794.433350,506.255096,31.452816,1074.726807,808.369507,395.596161,1012.956909,737.465393,254.769028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,926.313965,511.312347,67.732529,870.794556,438.960114,31.129658,794.363892,506.279297,31.451889,1074.869873,808.199707,395.573669,1013.103577,737.312500,255.000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,926.354858,511.248566,67.699295,870.820679,438.925079,31.063562,794.344055,506.269989,31.395765,1074.958862,808.137512,395.696289,1013.056091,737.296204,254.851456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,926.314087,511.265106,67.660492,870.862122,438.914764,31.034304,794.408569,506.255890,31.419634,1075.094971,808.026855,395.698975,1013.144836,737.205994,254.797379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,926.321777,511.254486,67.689705,870.835999,438.937500,31.035561,794.391541,506.264343,31.400267,1075.212402,807.908936,395.687469,1013.323853,737.043945,254.914642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,926.355835,511.207367,67.696907,870.844299,438.930634,31.070787,794.363281,506.267548,31.374941,1075.293091,807.874023,395.645325,1013.345947,736.919495,254.896072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,926.392212,511.202698,67.626488,870.815613,438.910614,31.061911,794.426331,506.257721,31.440533,1075.209717,807.821838,395.780640,1013.305176,736.832336,254.782700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,926.406494,511.201874,67.621407,870.792603,438.866302,31.073374,794.410767,506.250885,31.372835,1075.436401,807.669312,395.669983,1013.396240,736.739563,254.940399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,926.447449,511.193390,67.575958,870.881958,438.879425,31.050890,794.415100,506.245728,31.304787,1075.714966,807.639160,395.559906,1013.415710,736.731995,255.007248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,926.469849,511.196564,67.514359,870.865112,438.839508,31.060226,794.409851,506.255341,31.322695,1075.853149,807.550842,395.479919,1013.510315,736.645325,254.916031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,926.518127,511.187958,67.527100,870.892151,438.877228,31.046719,794.394897,506.158417,31.329338,1075.975098,807.432312,395.499451,1013.472412,736.530518,254.823532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,926.519287,511.180267,67.498245,870.858582,438.842346,31.061829,794.339966,506.142273,31.389452,1076.075317,807.418152,395.467590,1013.605774,736.497681,254.800690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,926.517273,511.098022,67.490280,870.877502,438.802765,31.074001,794.350891,506.148773,31.396019,1076.184448,807.320801,395.404205,1013.707886,736.489929,254.758133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
