Grasp125
Date:,2025/04/23
Time:,16:09:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,808.420227,453.074860,28.181942,867.356384,523.621887,60.322041,732.199585,511.117889,28.651398,1127.291260,717.701904,384.627838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,808.438904,453.054047,28.093687,867.426514,523.610474,60.346638,732.194458,511.115051,28.641369,1127.248901,717.774292,384.642487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,808.471375,453.081940,28.097878,867.472778,523.592346,60.322006,732.194458,511.114868,28.639963,1127.289429,717.880493,384.398193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,808.434387,453.074219,28.131460,867.426147,523.614075,60.366230,732.218506,511.098053,28.616785,1127.304199,717.828430,384.598175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,808.418091,453.074219,28.180584,867.416809,523.611450,60.358719,732.155579,511.136780,28.693172,1127.358032,717.790100,384.589050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,808.443848,453.091125,28.173498,867.423706,523.610046,60.348473,732.121155,511.143433,28.735722,1127.244385,717.907288,384.527222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,808.427002,453.080292,28.176445,867.414185,523.684753,60.338074,732.147339,511.128387,28.746738,1127.161621,717.961975,384.425720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,808.419128,453.074158,28.182150,867.493591,523.737915,60.279324,732.181519,511.116669,28.718941,1127.271484,717.933350,384.507721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,808.446594,453.091919,28.167046,867.469971,523.723816,60.289547,732.248230,511.105499,28.704557,1127.270264,717.961426,384.375549,1069.685425,705.872559,236.137939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,808.428101,453.081116,28.174025,867.432678,523.717407,60.342937,732.206970,511.116577,28.695927,1127.267212,717.982300,384.320709,1069.429810,706.039795,236.187820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
