Grasp126
Date:,2025/04/23
Time:,16:09:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,800.493164,475.875763,28.685324,868.306824,539.659729,61.642651,732.933777,527.409241,29.308399,1124.229126,719.649963,371.816376,1089.203735,713.095642,219.161957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,800.193848,476.012360,28.604017,868.206055,539.812866,61.755989,732.935242,527.410400,29.310230,1124.229126,719.649963,371.816376,1089.163574,713.096191,219.113205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,800.231262,476.105713,28.552475,868.212891,539.949829,61.792316,732.935791,527.375977,29.235004,1124.201050,719.544800,371.801819,1089.348267,713.049500,219.040161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,800.279175,476.129211,28.568150,868.220520,540.174377,61.895447,732.994446,527.346375,29.146141,1124.199341,719.502014,371.801453,1089.494263,713.007690,218.978485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,800.426270,476.147064,28.579405,868.237915,540.343445,61.929565,732.972229,527.366028,29.161488,1124.173706,719.462036,371.757690,1089.681030,712.858032,218.878006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,800.494202,476.263794,28.613140,868.163818,540.574524,62.033867,733.020630,527.366272,29.171949,1124.138062,719.475525,371.730713,1089.966919,712.754211,218.811417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,800.563110,476.377594,28.605892,868.044800,540.753296,62.188805,733.002747,527.361145,29.182859,1124.166504,719.393738,371.746948,1090.505127,712.629089,218.605591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,800.685303,476.354340,28.540506,867.975647,540.810730,62.293205,732.987183,527.371338,29.172798,1124.161621,719.392639,371.736176,1090.888550,712.657715,218.318741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,800.793030,476.441650,28.625603,867.968628,540.973755,62.348614,733.091187,527.443726,29.194151,1124.206665,719.364746,371.670685,1090.937988,712.753113,218.297516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,800.917480,476.556488,28.635725,867.892029,541.234741,62.439548,733.120117,527.459717,29.184883,1124.247559,719.288330,371.651337,1090.860718,712.850525,218.384384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,801.016357,476.560699,28.650038,867.922180,541.472839,62.514194,733.131165,527.497131,29.357401,1124.281860,719.289978,371.586212,1091.105225,712.945190,218.590668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,801.187988,476.668335,28.725471,867.910034,541.767212,62.615826,733.080444,527.510498,29.378450,1124.342285,719.273132,371.599854,1090.988770,712.933594,218.611755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,801.351257,476.711548,28.853928,867.915161,542.107117,62.675533,733.195862,527.463440,29.307833,1124.395020,719.275330,371.544281,1091.115234,712.866760,218.618530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,801.478394,476.787537,28.813623,868.023071,542.481750,62.874062,733.320251,527.424805,29.224951,1124.490845,719.252808,371.604309,1091.259155,712.934326,218.568207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,801.688354,476.791382,28.584183,868.093628,542.867004,63.114628,733.402893,527.424377,29.198000,1124.504272,719.272583,371.608856,1091.415527,712.971741,218.447876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,801.946106,476.936432,28.741756,868.123230,543.361145,63.454769,733.477783,527.477173,29.517523,1124.632813,719.253357,371.575226,1091.883667,713.027649,218.363754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,802.270874,476.992737,28.779919,868.145752,543.803345,63.807800,733.559570,527.457275,29.636835,1124.780396,719.234741,371.574982,1092.296997,713.124573,218.332291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
