Grasp124
Date:,2025/04/24
Time:,13:13:58
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,941.527039,570.156494,116.980164,883.381165,486.006287,88.193153,859.753357,498.723877,58.420761,1159.887451,705.540161,439.325378,1113.070435,739.876709,222.862427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,943.943726,573.268250,118.822884,884.898132,489.541870,90.751190,,,,1160.863159,706.681152,439.664795,1115.904419,741.756531,223.298096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,946.148193,576.157410,119.308716,886.168640,493.001404,92.591331,,,,1162.124146,707.697754,439.601318,1118.877563,744.044189,223.290787,867.021118,505.298370,60.860512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,948.742493,579.527832,120.643227,887.674255,496.661957,93.969872,,,,1162.968384,708.678772,439.628632,1122.814087,745.663635,223.289505,868.870422,508.756378,61.851070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,950.540466,582.842163,121.116562,888.707092,500.739471,95.437592,,,,1163.704102,709.429626,439.406158,1126.657959,747.409546,223.126266,871.615173,513.007019,63.176910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,953.233521,586.266907,121.864975,889.422241,504.769165,97.037071,,,,1164.622681,710.251587,439.612488,1130.029297,749.305908,223.154907,873.537292,517.645874,64.247498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,954.893677,589.784119,122.959335,890.230164,508.838593,98.154800,,,,1165.655029,711.116943,439.646118,1133.419678,751.345825,223.146454,875.524841,522.056824,64.989357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,956.726196,593.010437,123.439178,890.906799,513.164490,99.073235,,,,1166.314819,711.761780,439.061340,1136.430054,752.642639,223.493927,877.500000,526.341858,65.685318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,958.998108,596.655212,123.537216,891.496460,517.674683,99.774384,,,,1167.208008,712.343567,439.476685,1139.243286,755.489563,223.974533,878.530701,531.158569,66.153633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,960.291443,600.228882,124.020454,891.801086,521.901855,100.526398,,,,1168.020630,713.054443,440.152527,1143.051514,755.867310,223.846863,879.039063,535.980591,66.769135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,961.452026,603.744324,123.925949,892.283752,526.254211,100.788025,,,,1169.220093,713.950745,440.187744,1145.774292,757.830322,224.228973,879.717102,540.979919,67.861572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,963.287048,607.439758,124.172470,892.247437,530.653870,101.355232,,,,1170.294189,714.543701,440.386169,1148.717041,759.362366,224.573517,879.764099,546.282959,68.582199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,964.495422,610.722229,124.609329,892.685120,534.996155,101.070572,,,,1170.816284,715.101257,440.348755,1150.857422,760.795288,224.834305,879.953186,551.212402,68.876602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,965.593872,614.382568,124.906067,892.808105,539.291626,100.871773,,,,1171.620239,715.632324,440.717712,1154.217163,761.832214,224.719406,879.662598,556.626648,68.958771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,966.398743,617.503784,124.408226,892.969727,543.609070,100.696190,,,,1172.245605,716.399048,440.907379,1156.734741,762.805237,225.038605,879.607300,562.101196,69.006287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,967.632751,621.203369,123.882469,892.980774,548.070190,100.588593,,,,1173.046875,716.757446,440.856598,1159.052612,764.077148,225.635422,879.237976,567.295471,68.901276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
