Grasp123
Date:,2025/04/24
Time:,14:48:14
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,899.824280,505.216888,65.627708,762.190979,490.191345,30.958719,1011.978088,631.135742,268.439362,835.027649,435.526611,31.955225,1083.986084,688.293091,461.371368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,899.788696,505.654999,66.178993,762.486084,490.624542,32.082363,1012.497925,632.188843,268.696381,834.974670,435.674561,33.373646,1084.405273,688.548584,461.236633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,899.495117,506.154968,68.073219,762.337158,491.374329,33.199390,1013.239868,633.313110,269.067291,834.650452,436.160675,34.820759,1084.906494,688.764465,461.067780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,899.217834,507.003296,69.689400,762.300049,492.325531,34.249168,1014.116455,634.503235,268.939056,834.608276,436.703094,36.333363,1085.430298,689.007263,461.058411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,899.415771,507.997009,70.480820,762.215576,493.254272,36.592468,1015.116638,635.436279,269.199707,834.206543,437.381561,38.533916,1086.190308,689.402344,460.877869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,899.752991,509.232117,72.357178,762.272522,494.243835,39.733128,1016.219910,636.954224,268.988922,833.803345,438.159668,41.091915,1087.039917,689.674988,460.603210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,899.768738,509.987701,74.397438,761.960938,495.891205,43.615662,1017.915649,638.250244,268.684418,833.589844,438.775879,44.353535,1087.594116,690.028992,460.766174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,899.992493,510.966675,76.102531,761.843933,497.598877,47.596004,1019.426453,639.484375,269.033966,833.224304,439.307709,47.409351,1088.119019,690.333557,460.900513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,900.490356,512.385315,78.296623,761.597229,499.250397,52.099937,1021.084900,640.997375,269.084412,833.163086,440.079620,50.968609,1088.838989,690.708801,461.076843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,900.681274,513.343384,80.162491,761.828674,500.971497,57.160599,1022.719116,642.436462,269.289520,833.248657,440.898193,54.902409,1089.903687,691.164917,461.023102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,901.492371,514.385986,83.252357,762.582214,502.295105,61.614151,1023.965942,644.518433,269.394958,833.244019,441.981171,59.056614,1091.253418,691.759460,461.079315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,902.202942,515.768982,85.584976,763.067444,503.971283,66.179207,1026.257324,646.012329,269.338013,833.331848,442.819427,63.824261,1092.084106,692.510315,460.774078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,903.115051,516.865540,88.772461,763.776428,505.373016,71.316193,1028.462280,647.910156,269.385254,833.514160,443.531372,68.483231,1092.750610,693.084839,460.613586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,903.916931,517.688110,91.779564,764.745300,506.452972,76.725807,1030.612549,649.371399,270.004883,834.022766,444.199677,73.120773,1093.473633,693.581726,460.889557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,905.393860,518.734192,94.441177,765.840454,507.533722,82.577034,1033.126709,651.328735,270.065491,834.898865,444.930939,77.867912,1094.981079,694.274597,460.936188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,907.037903,519.981323,97.355339,767.380432,508.644806,88.058662,1035.272583,653.229736,270.272888,835.892578,445.711731,82.833366,1096.368774,694.843262,461.010223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,908.346436,520.915039,101.149147,769.330627,508.840240,93.942062,1037.363525,655.360962,270.660461,837.290649,446.576904,88.226845,1098.235962,695.490662,461.156525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,910.242798,522.417847,104.332497,771.454834,509.101898,100.870193,1039.868164,656.991028,270.760681,838.714050,447.317963,93.642258,1098.873047,696.229370,461.301514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,911.569580,523.840820,108.129784,772.598145,509.939758,107.583595,1042.631836,658.570129,271.881195,840.521118,447.839905,99.206001,1099.845703,697.035156,461.208374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,913.182190,524.846985,111.631355,775.180298,510.001801,114.748779,1044.799561,660.929626,272.680084,842.331665,448.430695,104.241348,1101.540527,697.676575,461.244598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,915.942871,526.117065,115.225952,777.762512,510.216064,122.121742,1047.127686,663.128113,272.647614,844.470642,449.576294,109.717262,1103.704712,698.319763,461.410187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,917.669495,527.356812,118.771896,780.540649,510.681671,129.616287,1050.221069,664.792114,273.558167,846.679138,450.288940,115.152657,1104.886475,699.018311,461.730621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,919.239624,529.128174,122.446671,783.859741,511.070526,137.631119,1053.041016,666.449341,274.456512,848.970215,451.076385,120.540703,1105.640259,699.921387,461.402832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,921.579590,530.410217,126.144928,787.209534,511.283203,145.507217,1055.441650,668.841736,274.807465,851.047119,452.509674,126.336906,1108.036865,700.510742,462.030884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,924.486755,531.524475,129.478745,790.175476,512.106750,153.683411,1058.274658,670.473938,275.337646,853.142700,453.610535,132.116974,1109.712646,701.297852,462.272644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,926.468323,533.163513,133.369537,793.910706,513.302246,161.859238,1061.645142,672.071350,276.037231,855.470398,454.956268,137.223038,1111.396484,701.965088,462.868713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,928.608398,534.947388,136.608475,797.153320,514.569580,169.689697,1064.409424,673.901917,276.271576,857.421692,456.575928,142.710632,1113.028198,702.780090,463.154083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,930.395813,536.508423,140.626602,800.953735,516.443848,177.758530,1066.941772,675.843872,277.340820,859.494385,458.254120,147.720078,1114.684204,703.384644,463.275238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,933.306763,537.951294,144.160995,804.798889,518.592773,185.035034,1069.480103,677.053650,278.214874,861.494934,459.721039,152.481689,1116.185303,704.056519,463.526215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,935.317566,539.371094,147.605515,808.191467,520.975403,191.887680,1072.455811,678.969238,279.219696,863.799377,461.527283,157.482803,1118.072266,704.555420,464.181366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,936.774170,541.467224,150.837112,811.062378,523.642273,199.462143,1074.682983,680.784119,279.853424,865.346985,463.333099,162.571640,1119.625488,705.406433,464.388214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,938.471985,543.313477,154.165924,814.575439,526.784241,206.024628,1078.008545,682.021179,280.199707,867.073914,465.511993,167.135132,1121.063599,706.102844,464.440918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,940.317810,545.278137,157.284973,817.464294,530.456909,212.832474,1081.273682,683.560181,280.887512,868.418823,467.402405,171.326553,1122.596558,706.504883,464.909424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,942.308105,546.817139,160.566742,820.159119,534.015137,218.040283,1083.278442,685.018799,281.607269,869.797302,469.617859,175.438599,1124.358887,707.058105,465.394104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,943.903076,548.409607,163.264404,822.638916,537.862671,223.657883,1086.489136,686.147705,282.762177,871.009399,472.161346,179.788223,1126.074707,707.663818,465.774139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,944.924683,550.778381,165.960999,824.910767,542.438782,228.282013,1088.845947,687.563477,283.730865,871.863586,474.572388,183.860687,1127.803589,708.222168,465.633789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,945.829285,552.893250,169.181931,827.132507,546.757690,232.864380,1090.828369,689.100159,284.602112,872.756104,477.606781,187.898453,1129.486572,708.733093,466.520020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
