Grasp120
Date:,2025/04/24
Time:,15:38:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,940.714111,836.666443,81.550537,1119.297241,920.116272,275.760834,801.538818,842.861084,53.860073,1143.819702,864.190735,463.538605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,940.288635,836.150024,82.763451,1119.786865,919.766174,275.438293,801.808777,841.431763,54.862148,1143.750977,864.185669,463.404480,871.109375,768.190735,43.500256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,939.980835,835.593079,84.115730,1119.590942,920.067017,275.572205,800.868774,840.223083,57.479797,1143.671753,864.198364,463.338776,871.655701,766.340515,45.319252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,939.284302,834.711304,85.666046,1119.800415,919.986816,275.623260,800.691833,838.874756,59.822388,1143.547729,864.281372,463.297028,871.809937,764.544922,48.334957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,938.867493,833.790649,87.037849,1120.026855,919.927673,275.608246,800.586853,837.037415,61.942772,1143.238037,864.224304,463.064026,871.708679,762.643555,51.593491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,938.753296,832.791748,88.179581,1120.143188,919.834656,275.560638,800.039307,835.033325,64.092430,1142.919312,864.329712,462.759308,871.891785,760.184631,54.199364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,938.617432,831.792786,89.602097,1120.102661,919.799500,275.562164,799.484131,832.884094,66.163940,1142.908203,864.308594,462.849243,872.483887,757.789001,56.849117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,937.942993,830.238159,91.277153,1120.017944,919.678955,275.576813,798.790222,830.549561,69.127983,1142.583130,864.288330,462.593567,873.132629,754.973389,59.524796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,937.351440,828.869873,92.378166,1119.866821,919.559814,275.531738,798.318665,827.470825,71.237198,1142.242798,864.345276,462.418579,874.282532,751.724060,63.142246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,937.056641,827.506714,93.911362,1119.757690,919.372803,275.453583,798.224243,824.315186,72.872620,1142.025024,864.368652,462.346252,875.803650,748.607178,66.593903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,936.873657,825.865234,95.091629,1119.546509,919.091980,275.302521,797.766479,820.782898,75.350967,1141.764771,864.367798,462.319916,877.355042,745.447266,69.589104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,936.296265,824.098450,96.221367,1119.418579,918.771729,275.145203,797.226807,817.498840,77.853783,1141.628784,864.392639,462.365936,878.804688,742.017395,72.625610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,935.156433,822.141296,97.703888,1119.335815,918.315918,274.919983,796.753235,814.024719,80.164139,1141.280518,864.411743,462.234070,879.908997,738.670654,76.733597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,934.446045,820.053345,99.326920,,,,796.128235,810.393921,82.638283,1141.067017,864.433716,462.204895,880.702148,735.720947,80.323334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,934.306335,818.073792,100.697838,,,,795.791809,806.660278,85.003792,1140.864380,864.452759,462.117035,882.567261,732.192017,83.212929,1116.737793,918.038696,275.727692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,933.986511,815.776611,102.014290,,,,795.402344,803.001953,87.361008,1140.488647,864.523438,462.039520,883.957275,729.117981,86.193069,1115.433594,917.891541,275.516632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,932.666077,813.539612,103.619469,,,,794.505432,799.562805,89.501007,1140.234253,864.558289,462.015198,885.073242,725.833984,89.865509,1114.673828,917.479980,275.319183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,932.010925,811.534302,104.603157,,,,793.990906,795.787048,92.039597,1139.813965,864.569092,461.992828,885.959045,722.376648,93.164207,1113.982910,916.943787,275.080902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,931.382446,808.760376,105.680801,,,,793.640869,792.091492,94.284218,1139.557495,864.611145,462.037292,887.058838,719.632080,95.636734,1113.214844,916.363281,274.881073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,930.987976,806.538879,106.638489,,,,792.587341,788.968140,96.069572,1139.207886,864.579956,462.002930,888.970337,716.362488,97.533295,1111.883057,915.439331,274.713501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,929.987244,803.880005,107.668831,,,,792.388672,785.311157,97.889679,1138.570068,864.466919,461.711884,889.306824,713.340759,100.600319,1111.052002,914.573853,274.459259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,928.781128,801.354126,109.167824,,,,791.683105,781.929626,100.845856,1137.954834,864.305420,461.357788,889.426880,710.041321,103.748634,1110.312012,914.083557,273.981201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,928.085144,798.868896,110.263893,,,,790.360046,779.270508,102.931801,1137.280884,864.187073,460.958282,889.478394,708.374695,106.708176,1108.823730,913.528870,273.724060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,926.706848,796.314697,111.118340,,,,789.935364,775.759094,104.470940,1136.675781,864.102539,460.534760,890.223877,704.970154,108.674690,1107.313721,912.818420,273.458191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,925.906555,793.751465,112.007874,,,,789.240417,772.813477,105.256248,1136.179565,864.085510,460.379852,889.491699,701.919312,110.283501,1106.049805,912.096130,272.826294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,924.922485,790.855042,112.774681,,,,788.450195,769.825745,106.025986,1135.582153,864.089905,460.309631,889.447144,698.698975,112.767906,1104.723633,911.178711,271.936188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,924.369080,788.083252,112.989830,,,,787.006836,766.998840,107.035011,1134.581055,864.052734,459.955658,890.126648,695.382202,114.325562,1103.717407,910.354309,271.331482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,922.961914,785.127563,113.592377,,,,785.547485,764.325500,108.650917,1133.312378,863.920898,459.326996,889.984863,692.517090,114.882576,1102.804321,909.644470,270.662231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,921.588806,782.667175,114.172226,,,,784.052795,761.657837,109.878899,1132.219849,863.659668,458.982452,889.192261,689.973877,115.874733,1101.230835,908.399841,269.929932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,920.354431,780.026611,114.419952,,,,,,,1131.395386,863.494141,458.817596,889.620605,686.784119,116.473808,1099.249634,907.569519,269.461365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,919.212341,777.252380,114.832596,,,,,,,1130.604004,863.296570,458.509094,889.556885,684.023132,116.958130,1097.354004,906.816833,268.976532,782.904175,755.605713,110.059486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,917.671326,774.432434,115.599167,,,,,,,1129.423462,863.186218,457.874634,888.566589,680.898682,117.337021,1095.640747,905.753296,268.423126,781.598999,752.721375,110.822960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,917.054443,771.749023,115.463730,,,,,,,1128.298096,862.964478,457.198517,888.403198,677.531921,117.588860,1094.383789,904.490601,267.717865,780.257568,749.969849,111.469002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,916.475525,768.790039,115.469223,,,,,,,1127.426880,862.732910,456.777893,888.139648,674.199585,117.711472,1092.655762,903.121338,266.892853,778.941956,747.739441,111.780548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,915.374451,766.305542,115.308968,,,,,,,1126.333862,862.516541,456.154388,887.118286,671.576538,118.006981,,,,778.134583,745.065125,112.263954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,914.265381,763.702820,115.268997,,,,,,,1125.247437,862.318787,455.240295,886.024414,669.234924,117.651482,,,,777.362854,741.584290,112.892159,1089.552979,900.873901,264.968628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,912.518188,761.032654,115.228073,,,,,,,1123.946533,862.126404,455.069031,885.135620,666.165222,116.733376,,,,776.477234,738.751099,113.069916,1087.789185,899.826538,264.200470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,911.110229,758.413635,115.688499,,,,,,,1122.471802,861.819031,454.567627,884.865051,662.607910,115.974167,,,,775.466675,736.047424,112.929153,1086.189209,898.709106,263.523468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,910.128235,756.008789,115.846779,,,,,,,1121.247192,861.398926,453.913757,883.930115,659.451965,114.952789,,,,774.138550,733.358643,114.168076,1084.459961,897.318909,262.644714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,909.637512,753.594177,115.411057,,,,,,,1120.469482,861.131714,453.413452,883.336548,656.624878,114.069283,,,,772.581909,730.557068,114.867874,1083.326660,895.699402,262.021881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,908.586426,750.736938,114.738014,,,,,,,1119.570313,860.951416,453.054626,881.118103,654.345459,113.003784,,,,772.133911,727.854980,114.412498,1081.664307,894.223389,261.079315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,908.110168,748.105713,113.998451,,,,,,,1118.051025,860.664490,452.089233,879.868225,651.556396,112.314003,,,,771.776306,724.665283,113.813713,1079.855225,893.084167,259.995087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,906.873230,745.686096,113.850464,,,,,,,1116.949341,860.469482,451.087860,878.959839,648.795898,111.033585,,,,771.043884,721.645813,114.170143,1078.157959,892.067505,259.067627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,905.536987,743.067383,113.482391,,,,,,,1116.277832,860.242432,450.738464,877.931396,645.985352,109.727180,,,,770.040894,718.764465,114.601631,1076.667603,891.023254,258.180023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,904.709290,740.825195,113.521179,,,,,,,1114.961182,859.869263,450.041229,876.799866,643.221497,108.422478,,,,767.817444,716.293518,115.253609,1075.179199,889.487793,257.367249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,903.395447,738.365540,114.029839,,,,,,,1113.545166,859.404602,449.279449,875.402832,640.260620,107.601585,,,,767.068359,713.889038,115.310959,1073.626587,888.293213,256.392700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,901.747253,735.908203,113.521454,,,,,,,1112.528442,859.040405,449.029480,874.232361,637.499756,106.226036,,,,766.637756,711.247253,114.620346,1072.353149,887.078491,255.598984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,900.235962,733.767273,113.301018,,,,,,,1111.282104,858.790100,448.251251,872.845581,635.140015,105.175598,,,,766.490051,708.208252,114.449821,1070.475830,885.760010,254.858246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,899.583557,731.479004,112.826920,,,,,,,1109.848267,858.607971,447.511139,870.843872,633.076050,103.820427,,,,765.460815,705.500671,114.309944,1068.726440,884.808655,253.864777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
