Grasp121
Date:,2025/04/24
Time:,16:09:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,937.463562,685.054016,265.298798,820.258423,411.864899,29.268332,728.202332,458.345367,28.261095,857.594788,499.694244,62.046616,1034.075806,782.377686,423.605103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,937.295471,685.121033,265.631012,820.237732,411.977966,29.185719,728.106262,458.380615,28.220402,857.291016,499.683655,62.457836,1033.967041,782.305298,423.754425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,937.140625,685.231689,265.863129,820.151123,411.936951,29.213024,728.054382,458.367706,28.144697,857.118530,499.663025,62.676815,1033.835327,782.155823,423.925812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,936.949463,685.407043,266.014038,820.075256,411.906952,29.200291,727.968201,458.367096,28.175554,857.049011,499.778442,63.040325,1033.297485,782.145569,424.396698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,936.929138,685.608093,266.115082,820.053955,411.880585,29.180672,728.155151,458.413910,28.162523,856.893372,499.878876,63.544998,1032.843506,782.113708,424.752472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,936.833862,685.947144,266.229431,819.948303,411.911682,29.153482,727.851257,458.307922,28.190739,856.724915,499.560394,64.513992,1032.667725,782.095459,424.996857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,936.764099,686.444946,266.100433,819.914612,411.835510,29.142767,727.621704,458.314850,28.398138,856.379517,499.486755,65.188545,1032.646362,782.093750,425.168854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,936.736328,686.843933,266.343689,819.893494,411.818665,29.117096,727.424316,458.360443,28.482153,856.099854,499.523163,65.613983,1032.702271,782.149719,425.346771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,936.757080,687.355774,266.523834,819.894287,411.825867,29.109772,727.333496,458.346466,28.414007,855.915283,499.579987,65.943222,1032.551880,782.340271,425.624664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,936.701843,687.972473,266.732849,819.832397,411.829071,29.084848,727.195007,458.298676,28.550026,855.617676,499.616943,66.221687,1032.571655,782.459961,426.088318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,936.426392,688.503052,266.925201,819.793823,411.808289,29.027948,726.984558,458.329681,28.662556,855.293701,499.754944,66.829048,1032.796631,782.756104,425.967743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,936.633057,689.087952,267.097168,819.710388,411.849548,29.012817,726.722778,458.363190,28.777575,854.984314,499.821777,67.362595,1033.025635,783.041504,425.882111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,936.809143,689.670044,267.282074,819.576599,411.947327,28.979267,726.466064,458.213470,28.813364,854.577942,499.859283,68.159012,1033.397827,783.258911,425.910553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,936.896912,690.481140,267.436920,819.473267,412.012756,28.968475,726.307556,458.296967,28.887672,854.186829,499.869049,69.523521,1033.672974,783.531372,425.969574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,936.991943,691.247742,267.635651,819.398560,412.106812,28.943029,726.125122,458.297455,28.990622,853.643982,499.895294,70.624168,1033.789673,783.895630,426.165833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,937.154663,692.089478,267.875244,819.294495,412.277618,28.946379,725.920715,458.354828,29.159313,853.098694,499.912689,71.289627,1034.168823,784.075806,426.202789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,937.889771,692.476135,267.980774,819.194702,412.295898,29.010319,725.669373,458.396545,29.184046,852.597961,499.630981,72.422295,1034.601196,784.221619,426.349884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,937.995300,693.412842,267.773010,819.165466,412.307922,29.260193,725.518738,458.450287,29.184412,852.115417,499.833984,73.969147,1034.802490,784.497742,426.386627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,938.107971,694.753723,267.800140,819.139893,412.174377,29.718727,725.306519,458.305084,29.422668,851.563782,500.002472,75.109062,1035.121704,784.733398,426.396881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,938.715515,696.117615,267.458282,819.071045,411.860840,30.442907,725.257324,458.256989,29.823696,850.706238,499.886261,76.791870,1035.965088,784.725891,426.256744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,938.853271,696.807922,268.087097,819.019409,411.481079,32.264378,724.997009,458.065277,30.273026,850.489014,499.792114,78.378532,1036.760864,784.990112,426.374176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,939.009094,698.132751,269.010162,818.777649,411.322083,34.238869,724.871460,457.860718,30.981968,850.203979,499.959290,79.940315,1036.772339,785.411194,426.272095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,939.214294,699.461914,269.043121,818.584656,410.969147,36.235489,724.768555,457.628357,31.623528,849.465698,500.048401,81.352722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
