Grasp117
Date:,2025/04/26
Time:,15:57:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,1137.126831,753.152161,328.921783,1189.226563,833.369751,205.844620,869.879089,789.306091,35.123474,937.443420,731.127991,34.355915,1000.437073,793.487122,70.160889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1137.172852,753.149780,328.969849,1189.440308,833.309021,205.654037,869.939575,789.410767,35.203423,937.444092,731.006897,34.323059,1000.366821,793.365112,70.310150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1137.254395,753.145386,329.036285,1189.653198,833.303406,205.545853,869.828735,789.484436,35.352688,937.416260,730.802917,34.359341,1000.282837,793.240601,70.383003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1137.253052,753.203247,329.043152,1189.794922,833.292969,205.555008,869.740845,789.648315,35.604954,937.278442,730.541077,34.371552,1000.187073,793.129700,70.516243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1137.270264,753.233032,329.036926,1189.958984,833.298157,205.580521,869.464355,790.133484,36.164005,937.223938,730.283752,34.436134,1000.134155,793.006653,70.691193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1137.377319,753.261902,329.092651,1190.055664,833.269775,205.632706,868.593689,790.489380,37.337688,937.005066,729.864319,34.508633,999.583252,792.721252,71.087906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1137.480713,753.330872,329.201355,1190.140015,833.302307,205.587585,868.333923,791.195740,38.157959,936.972839,729.316528,34.432953,999.482605,792.689453,71.233971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1137.453491,753.273010,329.257629,1190.059082,833.388306,205.249557,867.881287,792.557739,39.577412,936.911987,728.624390,34.570938,999.494385,792.621033,71.272354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1137.515137,753.363037,329.325958,1190.041992,833.405457,205.055954,867.129028,793.956909,41.966179,936.747925,727.819336,34.652195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1137.655884,753.456848,329.344238,1190.019531,833.410889,205.001938,867.198242,794.923523,43.918365,936.431213,726.815308,34.740677,,,,998.549927,792.073181,72.048683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
