Grasp125
Date:,2025/04/28
Time:,14:03:07
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,827.764587,344.599609,30.049055,907.444336,339.513428,30.455410,933.797974,428.588013,64.030708,992.948914,629.267639,236.618454,1099.264038,716.820618,420.740234,,,,,,,,,,,,,,,,,,,,,
2,827.844421,344.581696,30.416874,907.425049,339.522125,30.431993,933.778381,428.613342,64.133369,992.948914,629.267639,236.618454,1099.017456,717.117737,420.747742,,,,,,,,,,,,,,,,,,,,,
3,827.840332,344.558960,30.479532,907.415771,339.453491,30.452330,933.712952,428.582306,64.072716,992.884766,629.256348,236.616074,1098.796997,717.372925,420.785004,,,,,,,,,,,,,,,,,,,,,
4,827.738770,344.492584,30.079958,907.421936,339.496735,30.445595,933.776550,428.598175,64.089859,992.793152,629.260742,236.593246,1098.610474,717.528381,420.749939,,,,,,,,,,,,,,,,,,,,,
5,827.730347,344.496124,30.043375,907.442566,339.518738,30.451916,933.778931,428.596100,64.015289,992.742249,629.278564,236.607941,1098.464355,717.753540,420.718536,,,,,,,,,,,,,,,,,,,,,
6,827.705688,344.535309,30.004036,907.429443,339.523956,30.434448,933.800232,428.591583,64.016312,992.729248,629.293396,236.650742,1098.275635,717.960022,420.654724,,,,,,,,,,,,,,,,,,,,,
7,827.697266,344.601501,30.012810,907.416992,339.452789,30.453510,933.740906,428.590027,64.050499,992.623840,629.290955,236.635986,1098.166504,718.079956,420.628326,,,,,,,,,,,,,,,,,,,,,
8,827.817139,344.573425,30.397926,907.430847,339.419617,30.489912,933.701721,428.628357,64.039078,992.629822,629.291992,236.693832,1098.138428,718.255737,420.642303,,,,,,,,,,,,,,,,,,,,,
9,827.786011,344.591583,30.447325,907.408569,339.436829,30.497059,933.705688,428.631683,63.995296,992.574463,629.302551,236.663727,1098.077271,718.410889,420.633026,,,,,,,,,,,,,,,,,,,,,
10,827.763916,344.583954,30.400265,907.323059,339.494446,30.514439,933.707764,428.623077,63.966572,992.458679,629.304626,236.697800,1097.984375,718.545532,420.573334,,,,,,,,,,,,,,,,,,,,,
11,827.780518,344.643860,30.407475,907.374268,339.546814,30.509956,933.692993,428.615234,63.958187,992.495728,629.296631,236.733505,1097.831421,718.685181,420.527344,,,,,,,,,,,,,,,,,,,,,
12,827.722656,344.532227,30.093243,907.356689,339.554810,30.507004,933.647949,428.608582,64.010475,992.451782,629.300415,236.718384,1097.774658,718.803833,420.531494,,,,,,,,,,,,,,,,,,,,,
13,827.730713,344.512726,30.021053,907.309631,339.524323,30.529242,933.658508,428.677002,63.974831,992.421875,629.313599,236.748016,1097.784912,718.930969,420.325256,,,,,,,,,,,,,,,,,,,,,
14,827.847961,344.568054,30.378265,907.333740,339.535065,30.524103,933.745544,428.644196,64.023819,992.371460,629.343506,236.785950,1097.651611,719.106140,420.179688,,,,,,,,,,,,,,,,,,,,,
15,827.767456,344.546356,30.263517,907.330933,339.550964,30.495047,933.727600,428.623810,63.995888,992.328491,629.344177,236.741074,1097.283936,719.280762,420.207642,,,,,,,,,,,,,,,,,,,,,
16,827.803284,344.568695,30.388004,907.309265,339.526794,30.523113,933.715149,428.625183,63.984898,992.293457,629.326782,236.742188,1097.136963,719.408630,420.154297,,,,,,,,,,,,,,,,,,,,,
17,827.851074,344.559662,30.420187,907.351135,339.525543,30.484694,933.725525,428.618164,63.952374,992.278259,629.307922,236.785599,1097.109985,719.470337,420.159180,,,,,,,,,,,,,,,,,,,,,
18,827.848877,344.578430,30.364901,907.420227,339.521973,30.435186,933.733032,428.618011,63.942097,992.249878,629.325562,236.812744,1096.965332,719.597290,420.165253,,,,,,,,,,,,,,,,,,,,,
19,827.836548,344.651245,30.336735,907.408997,339.516571,30.451317,933.761230,428.633575,63.928356,992.225525,629.219055,236.900711,1096.773926,719.664246,420.085754,,,,,,,,,,,,,,,,,,,,,
20,827.845398,344.601440,30.344753,907.429810,339.441895,30.483225,933.802368,428.622223,63.914055,992.175598,629.216309,236.900742,1096.697876,719.726135,420.104584,,,,,,,,,,,,,,,,,,,,,
21,827.899719,344.640778,30.333393,907.419556,339.420288,30.476358,933.810730,428.617767,63.910004,992.170349,629.203979,236.890060,1096.497559,719.817871,420.057739,,,,,,,,,,,,,,,,,,,,,
22,827.880615,344.565399,30.363667,907.438599,339.410889,30.468681,933.866028,428.618774,63.836487,992.147278,629.224487,236.807617,1095.957031,719.988892,420.044159,,,,,,,,,,,,,,,,,,,,,
23,827.878845,344.554169,30.352690,907.481750,339.518646,30.442865,933.864441,428.626404,63.870995,992.164673,629.222229,236.755234,1095.481201,720.076416,420.113098,,,,,,,,,,,,,,,,,,,,,
24,827.882263,344.561340,30.344131,907.448059,339.463593,30.465960,933.841553,428.635925,63.893925,992.116760,629.200562,236.830734,1095.462036,720.131897,420.069763,,,,,,,,,,,,,,,,,,,,,
25,827.908142,344.548431,30.381775,907.438660,339.411682,30.471357,933.835205,428.616821,63.884369,992.093445,629.207153,236.836151,1095.391846,720.223877,420.081055,,,,,,,,,,,,,,,,,,,,,
26,827.864929,344.569519,30.333214,907.417786,339.420868,30.470888,933.841187,428.622467,63.858856,992.085022,629.178711,236.907303,1095.232056,720.310547,420.112823,,,,,,,,,,,,,,,,,,,,,
27,827.988220,344.645081,30.391283,907.437744,339.498657,30.463110,933.861633,428.691467,63.811897,992.047119,629.166504,236.876373,1095.212891,720.372681,420.013550,,,,,,,,,,,,,,,,,,,,,
28,827.904114,344.579224,30.346670,907.402649,339.523285,30.460957,933.871399,428.732056,63.806976,991.988953,629.215942,236.779678,1095.172485,720.379456,419.999847,,,,,,,,,,,,,,,,,,,,,
29,827.902222,344.542908,30.380678,907.376465,339.529449,30.503668,933.825562,428.634338,63.853737,991.987610,629.231323,236.758713,1095.172607,720.414978,420.025574,,,,,,,,,,,,,,,,,,,,,
30,827.892883,344.533142,30.400225,907.351624,339.460571,30.504990,933.786865,428.697693,63.865288,991.939941,629.210693,236.849884,1095.154541,720.427856,419.937897,,,,,,,,,,,,,,,,,,,,,
31,827.890869,344.534973,30.401098,907.307861,339.412598,30.543406,933.843018,428.736816,63.865421,991.927673,629.204041,236.819595,1095.062256,720.571228,419.926483,,,,,,,,,,,,,,,,,,,,,
32,827.891968,344.536865,30.398333,907.333313,339.511688,30.535063,933.807617,428.732666,63.845669,991.905457,629.221802,236.808731,1095.023560,720.606567,419.954315,,,,,,,,,,,,,,,,,,,,,
33,827.860840,344.555969,30.404243,907.339111,339.485229,30.536245,933.801575,428.766754,63.862431,991.927490,629.223083,236.832397,1094.971436,720.684509,419.925934,,,,,,,,,,,,,,,,,,,,,
34,827.841675,344.538696,30.393373,907.309692,339.505066,30.539404,933.751709,428.752045,63.805267,991.942139,629.209412,236.802551,1095.055054,720.727905,419.864990,,,,,,,,,,,,,,,,,,,,,
35,827.771179,344.555908,30.388937,907.260132,339.539551,30.520134,933.774109,428.742157,63.761925,991.948547,629.206604,236.789597,1094.300903,720.919800,420.118378,,,,,,,,,,,,,,,,,,,,,
36,827.840393,344.560394,30.408451,907.292480,339.526642,30.531845,933.759583,428.747711,63.780499,991.904358,629.234314,236.838882,1094.562500,720.853943,419.971283,,,,,,,,,,,,,,,,,,,,,
37,827.825745,344.556854,30.418324,907.258972,339.466095,30.543636,933.748169,428.747681,63.795956,991.853577,629.213684,236.844940,1094.869385,720.795471,419.774506,,,,,,,,,,,,,,,,,,,,,
38,827.815125,344.555664,30.421835,907.276306,339.501526,30.529530,933.774414,428.761444,63.783302,991.801514,629.199585,236.833618,1095.000488,720.813904,419.739838,,,,,,,,,,,,,,,,,,,,,
39,827.734619,344.507050,30.071262,907.303284,339.519470,30.533604,933.814758,428.762360,63.744514,991.733276,629.227173,236.826111,1094.208130,721.019348,419.987610,,,,,,,,,,,,,,,,,,,,,
40,827.858154,344.575714,30.252039,907.343140,339.542999,30.517879,933.857788,428.746674,63.724186,991.694824,629.121033,236.907669,1094.459229,720.856812,419.914490,,,,,,,,,,,,,,,,,,,,,
41,827.890503,344.570953,30.350487,907.311157,339.572327,30.490335,933.803650,428.763733,63.757381,991.646179,629.104248,236.950836,1094.753784,720.910583,419.814209,,,,,,,,,,,,,,,,,,,,,
42,827.862244,344.557953,30.409657,907.345032,339.546387,30.485550,933.777588,428.766785,63.778099,991.672485,629.097900,236.940643,1094.829224,720.814026,419.768280,,,,,,,,,,,,,,,,,,,,,
