Grasp121
Date:,2025/04/30
Time:,17:42:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,952.081543,529.903503,114.387367,830.169983,485.104065,74.481590,897.832397,444.989655,77.812889,1123.804199,772.408875,460.808014,1055.628052,733.230530,254.052048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,952.873169,532.379761,118.044205,831.486450,486.080994,80.030891,898.772827,446.737457,83.470444,1125.894531,773.331604,461.463013,1057.934326,736.085388,255.118240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,954.481628,535.199951,121.466415,833.035889,487.775421,85.966957,899.575317,449.046539,89.422272,1127.812256,774.268860,461.520111,1059.951416,738.821411,255.760239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,955.700378,537.869202,125.174767,834.752319,489.597382,91.797577,900.470703,451.258484,95.341393,1130.404541,775.015991,461.738800,1062.850220,741.380798,256.151672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,957.526672,540.588745,128.729340,836.155579,491.768707,98.274315,901.634827,453.387512,101.133995,1132.232544,776.049133,462.459106,1065.961060,744.144470,256.367493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,958.935120,543.294312,132.360519,837.523987,493.955322,104.922256,903.023865,455.544220,106.866249,1134.305908,777.058655,462.697296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,961.002075,546.357117,136.050552,839.277161,496.585510,111.275330,904.333618,458.053528,113.015701,1136.696777,777.828735,463.343903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,962.262024,549.516113,139.936783,840.938538,499.592316,117.950050,905.851624,460.813812,118.867981,1138.496338,778.790222,463.733215,,,,1074.811523,752.370422,257.862762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,964.118103,553.036865,143.591339,842.692078,502.534119,124.231812,907.167969,463.796478,124.992058,1140.776733,779.857178,464.819489,,,,1077.783447,755.317810,258.608185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,965.933167,556.486877,146.999146,844.242188,506.008728,130.964310,908.423096,466.825531,131.245377,1142.919312,780.584290,465.269562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,967.632324,559.934998,150.369888,845.804688,509.839600,137.538620,909.894836,470.038086,136.807632,1145.237549,781.328491,465.957886,,,,,,,1084.422729,761.260986,260.299072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,969.371521,563.601318,153.582413,847.053711,514.138611,143.934784,910.945557,473.529572,142.805527,1146.926270,782.476807,466.751404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,970.852417,567.288269,156.928589,848.009033,518.939758,150.481934,912.128418,477.328308,148.101517,1149.554321,783.232300,467.565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,972.450806,571.151672,160.319580,849.054443,523.910706,156.502640,913.166138,481.319031,153.652893,1151.884399,783.944885,467.934906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,973.609497,574.731445,164.008560,849.957153,529.221680,162.544464,914.207458,485.364288,158.817474,1153.896118,784.886902,469.148956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,974.652893,579.099365,167.112213,850.249207,535.103882,169.190994,915.022949,489.423462,163.694397,1156.048706,785.761658,469.835938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,976.156006,583.132996,169.374741,850.497742,541.238525,174.957764,916.149414,493.555237,168.245514,1158.618042,786.402466,470.639740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,977.694336,587.017273,172.073334,850.896484,547.970764,180.941452,917.053955,497.827759,173.129593,1160.657349,787.209229,471.123352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,978.690735,591.388062,174.758041,850.959656,554.874329,186.354370,917.893066,502.434814,177.507675,1162.758667,788.021362,472.254547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,979.030396,596.109802,177.618378,851.306335,562.189392,191.566071,918.851807,506.925995,181.417557,1165.162964,788.559570,472.892395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,979.753723,600.817627,179.380600,851.666199,569.750916,196.818512,919.866943,511.497955,185.388916,1168.000732,789.018250,473.817169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,980.782532,605.257019,181.746964,851.480713,577.401672,202.051498,920.084473,516.157166,189.325653,1169.734253,789.678528,474.599731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,851.627930,585.397705,206.507690,920.805054,521.138672,192.973206,1172.095825,790.227478,475.558990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,851.601379,593.503540,210.631714,921.256409,526.343262,196.710983,1174.261963,790.683228,475.939178,,,,,,,,,,981.622559,614.804810,184.753860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,851.780762,601.673889,214.330170,921.385498,531.664124,199.657227,1176.478394,790.847168,476.886261,,,,,,,,,,982.515442,619.795227,186.280838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,851.334290,610.399475,218.010620,921.735413,537.138428,202.370636,1178.356201,791.148254,477.469788,,,,,,,,,,982.291870,624.696167,188.091415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,850.903503,618.720398,221.804184,921.771790,542.720459,204.322968,1180.487183,791.181152,478.001404,,,,,,,,,,981.881531,629.841370,189.159821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,850.193054,627.448364,224.294281,921.150208,548.502258,205.824356,1182.469971,791.515137,478.635010,,,,,,,,,,981.857727,634.973145,190.193726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,849.812378,636.379883,226.596878,920.362488,554.547180,207.468323,1183.929077,791.648560,479.273254,,,,,,,,,,981.469116,640.215942,190.618103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,849.226929,645.423706,228.066071,919.046875,560.484741,209.123093,1185.710938,791.770203,480.143005,,,,,,,,,,981.214172,645.600708,191.550095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,848.530884,654.328613,229.511902,918.094116,566.369019,209.887833,1187.321411,792.021545,480.370636,,,,,,,,,,980.572571,650.806824,192.531189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,847.718811,663.470825,230.263931,916.806885,572.245483,210.779587,1188.725830,792.070435,480.460754,,,,,,,,,,979.000549,656.094604,192.772781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,847.240356,672.646301,231.110748,915.348389,578.310303,211.346558,1190.277466,791.967529,481.065308,,,,,,,,,,978.108765,661.067078,192.658218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,914.439148,584.054810,212.357986,1191.223999,792.048218,481.681488,,,,,,,,,,976.903442,666.107727,192.967758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,912.264221,589.852539,212.484482,1191.992920,792.040588,481.864105,,,,,,,,,,975.505615,671.168579,193.877090,846.007874,690.371887,230.694397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,910.179382,595.583374,212.899887,1192.744995,792.181946,481.787842,,,,,,,,,,974.438110,675.832581,192.874237,845.007385,699.200806,230.574326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,908.571289,601.062561,213.002121,1193.810791,792.167847,482.107849,,,,,,,,,,973.753235,680.320374,192.157852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,906.830017,606.470642,212.627426,1194.812134,792.070068,482.212067,,,,,,,,,,972.739319,684.979248,191.776947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,905.361389,611.414795,212.852219,1195.403320,792.106750,482.252136,,,,,,,,,,970.679504,689.779175,191.880783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,903.659485,616.243408,213.264740,1195.770630,792.193420,482.247498,,,,,,,,,,969.137207,693.682678,191.446793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,901.903625,620.841187,213.004364,1195.974731,792.359802,482.114716,,,,,,,,,,967.252747,697.742371,190.808868,,,,841.121643,735.461304,225.282303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,900.914429,624.527649,212.043228,1196.074463,792.557251,481.792786,,,,,,,,,,965.777710,701.280029,190.302292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,898.844604,628.038696,211.765839,1196.083984,792.733826,481.527802,,,,,,,,,,964.143311,704.371338,189.459915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,897.630432,631.139282,210.958618,1196.019897,792.971802,481.202667,,,,,,,,,,962.834534,707.421753,188.367706,,,,,,,1170.714355,814.357544,279.953583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,896.320190,633.657959,210.113297,1195.953857,793.234741,480.612518,,,,,,,,,,960.680176,710.471863,187.817062,,,,,,,1170.036133,815.256165,279.408936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,895.409790,635.715820,208.788513,1195.793579,793.588562,480.026672,,,,,,,,,,958.878418,712.795227,187.081390,,,,,,,1169.483765,815.921814,278.846191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,893.604797,637.317627,207.973480,1195.586182,794.048523,479.502045,,,,,,,,,,957.039001,714.859558,186.622925,,,,,,,1168.867432,816.499878,278.551758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,891.601257,638.272156,207.759430,1195.369385,794.497620,479.062683,,,,,,,,,,954.333252,716.678833,186.533646,,,,,,,1168.048218,816.957947,278.085449,827.182739,757.097595,215.930679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,1195.073730,794.898926,478.229584,,,,,,,,,,952.368042,718.264648,185.655609,,,,,,,1166.727539,817.976013,277.941223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,1194.640259,795.185120,477.553162,,,,,,,,,,950.602356,719.524414,185.065384,,,,,,,1164.571899,818.646545,278.058655,,,,890.836914,638.730774,204.085938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,1194.255249,795.532654,476.633636,,,,,,,,,,948.199463,720.584473,184.583740,,,,,,,1163.486572,819.060181,277.277374,,,,889.411255,638.699646,203.228241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,1193.698364,795.888550,476.080048,,,,,,,,,,946.026978,721.310303,184.097046,,,,,,,1162.239014,819.387085,276.375000,,,,888.788452,638.908081,201.473740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,1193.507080,796.102722,475.796326,,,,,,,,,,944.263672,721.723450,183.027481,,,,,,,1160.632324,819.584656,275.522614,,,,887.799194,638.432007,199.910065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,1193.129639,796.335266,475.303741,,,,,,,,,,941.989746,721.972534,182.742111,,,,,,,,,,,,,887.016724,637.524719,197.728287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,1192.313354,796.673706,474.315704,,,,,,,,,,939.117065,720.609619,181.351929,,,,,,,,,,,,,886.254272,636.425354,196.912216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,1191.486572,796.958374,473.364014,,,,,,,,,,937.906433,721.541809,180.896637,,,,,,,,,,,,,885.274719,635.592773,195.231659,807.944458,747.841003,212.208893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
