Circle61
Date:,2025/04/28
Time:,13:58:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,811.374695,-22.968681,24.852968,,,,,,,,,,,,,,,
2,811.309875,-22.958525,24.872591,,,,,,,,,,,,,,,
3,811.248413,-22.932373,24.824347,,,,,,,,,,,,,,,
4,811.256226,-22.648855,25.115898,,,,,,,,,,,,,,,
5,811.235718,-22.969343,24.878241,,,,,,,,,,,,,,,
6,811.239807,-23.077997,24.814665,,,,,,,,,,,,,,,
7,811.224792,-23.060001,24.845524,,,,,,,,,,,,,,,
8,811.182556,-23.067818,24.809301,,,,,,,,,,,,,,,
9,811.175537,-23.061792,24.813168,,,,,,,,,,,,,,,
10,811.166260,-23.049931,24.838888,,,,,,,,,,,,,,,
11,811.186401,-23.075523,24.790590,,,,,,,,,,,,,,,
12,811.186157,-23.066675,24.806286,,,,,,,,,,,,,,,
13,811.179688,-23.061031,24.819441,,,,,,,,,,,,,,,
14,811.166382,-23.050127,24.841303,,,,,,,,,,,,,,,
15,811.158203,-23.050121,24.844744,,,,,,,,,,,,,,,
16,811.194458,-22.759256,25.147604,,,,,,,,,,,,,,,
17,811.179260,-22.673523,25.247194,,,,,,,,,,,,,,,
18,811.092346,-22.987192,24.966236,,,,,,,,,,,,,,,
19,811.154785,-23.078091,24.824606,,,,,,,,,,,,,,,
20,811.180725,-23.065723,24.815876,,,,,,,,,,,,,,,
21,811.167969,-23.053118,24.833729,,,,,,,,,,,,,,,
22,811.162781,-23.047749,24.844955,,,,,,,,,,,,,,,
23,811.174316,-23.058529,24.825748,,,,,,,,,,,,,,,
24,811.201416,-22.762621,25.139442,,,,,,,,,,,,,,,
25,811.250122,-22.698517,25.199905,,,,,,,,,,,,,,,
26,811.215454,-22.998745,24.902416,,,,,,,,,,,,,,,
27,811.324890,-22.882097,24.934820,,,,,,,,,,,,,,,
28,811.272949,-23.051744,24.783880,,,,,,,,,,,,,,,
29,811.262756,-23.106714,24.738512,,,,,,,,,,,,,,,
30,811.267578,-23.098236,24.749308,,,,,,,,,,,,,,,
31,811.295166,-22.779949,25.089298,,,,,,,,,,,,,,,
32,811.255981,-22.785206,25.220943,,,,,,,,,,,,,,,
33,811.228333,-23.154627,24.850571,,,,,,,,,,,,,,,
34,811.253174,-23.256804,24.725607,,,,,,,,,,,,,,,
35,811.230835,-23.304337,24.807501,,,,,,,,,,,,,,,
36,811.258423,-23.468008,24.732670,,,,,,,,,,,,,,,
37,811.315186,-23.546711,24.615879,,,,,,,,,,,,,,,
38,811.332520,-23.546989,24.586420,,,,,,,,,,,,,,,
39,811.275024,-23.610443,24.680309,,,,,,,,,,,,,,,
40,811.264709,-23.727310,24.710161,,,,,,,,,,,,,,,
41,811.261902,-23.919180,24.760990,,,,,,,,,,,,,,,
42,811.208740,-24.032930,24.814838,,,,,,,,,,,,,,,
43,811.172668,-24.249136,24.831591,,,,,,,,,,,,,,,
44,811.147522,-24.576103,24.888767,,,,,,,,,,,,,,,
45,811.190002,-24.868460,24.844086,,,,,,,,,,,,,,,
46,811.318787,-25.305454,25.040310,,,,,,,,,,,,,,,
47,811.416931,-25.733984,25.365700,,,,,,,,,,,,,,,
48,811.385559,-26.144526,25.527756,,,,,,,,,,,,,,,
49,811.343384,-26.436052,25.445152,,,,,,,,,,,,,,,
50,811.210693,-26.661257,25.340117,,,,,,,,,,,,,,,
51,811.163330,-26.865772,25.051613,,,,,,,,,,,,,,,
52,811.172302,-27.136230,24.833235,,,,,,,,,,,,,,,
53,811.232544,-27.578665,24.556028,,,,,,,,,,,,,,,
54,811.204651,-28.242464,24.439709,,,,,,,,,,,,,,,
55,811.057068,-28.933588,24.608326,,,,,,,,,,,,,,,
56,810.806030,-29.455633,24.718019,,,,,,,,,,,,,,,
57,810.701416,-30.010315,24.681993,,,,,,,,,,,,,,,
58,810.679565,-30.533012,24.606466,,,,,,,,,,,,,,,
59,810.687134,-30.955620,24.675039,,,,,,,,,,,,,,,
60,810.584595,-31.441372,24.742542,,,,,,,,,,,,,,,
61,810.534302,-32.221004,24.793427,,,,,,,,,,,,,,,
62,810.423706,-33.047871,24.805216,,,,,,,,,,,,,,,
63,810.361633,-33.808121,24.787733,,,,,,,,,,,,,,,
64,810.265503,-34.595123,24.674149,,,,,,,,,,,,,,,
65,810.240234,-35.261723,24.853996,,,,,,,,,,,,,,,
66,810.154541,-36.167370,24.379578,,,,,,,,,,,,,,,
67,810.148743,-37.095222,24.367517,,,,,,,,,,,,,,,
68,809.864441,-38.000698,24.396990,,,,,,,,,,,,,,,
69,809.613342,-38.720612,24.530313,,,,,,,,,,,,,,,
70,809.447998,-39.421082,24.521273,,,,,,,,,,,,,,,
71,809.255554,-40.324741,24.481318,,,,,,,,,,,,,,,
72,809.000854,-41.484867,24.575319,,,,,,,,,,,,,,,
73,808.834045,-42.428162,24.518412,,,,,,,,,,,,,,,
74,808.432312,-43.165188,24.544773,,,,,,,,,,,,,,,
75,808.096375,-44.190159,24.405830,,,,,,,,,,,,,,,
76,807.816040,-45.438313,24.568054,,,,,,,,,,,,,,,
77,807.647949,-46.516872,24.890202,,,,,,,,,,,,,,,
78,807.314880,-47.517002,24.096966,,,,,,,,,,,,,,,
79,807.287231,-48.823341,24.069962,,,,,,,,,,,,,,,
80,806.974426,-50.048450,24.370752,,,,,,,,,,,,,,,
81,806.561279,-50.970322,24.483612,,,,,,,,,,,,,,,
82,806.200256,-52.020164,24.228924,,,,,,,,,,,,,,,
83,805.840515,-53.453430,24.524504,,,,,,,,,,,,,,,
84,805.303711,-54.541737,24.481424,,,,,,,,,,,,,,,
85,805.123657,-55.608234,24.579899,,,,,,,,,,,,,,,
86,804.871704,-56.973671,24.687868,,,,,,,,,,,,,,,
87,804.549377,-58.140732,24.754349,,,,,,,,,,,,,,,
88,804.238098,-59.437824,24.625481,,,,,,,,,,,,,,,
89,803.794739,-60.821358,24.709806,,,,,,,,,,,,,,,
90,803.341797,-62.122990,24.656679,,,,,,,,,,,,,,,
91,802.933350,-63.168209,24.729820,,,,,,,,,,,,,,,
92,802.399292,-64.789169,24.612146,,,,,,,,,,,,,,,
93,801.907349,-65.950111,24.833206,,,,,,,,,,,,,,,
94,801.332825,-66.975334,24.549179,,,,,,,,,,,,,,,
95,800.710754,-68.279526,24.438232,,,,,,,,,,,,,,,
96,800.020935,-69.696693,24.580854,,,,,,,,,,,,,,,
97,799.330505,-70.779984,24.337877,,,,,,,,,,,,,,,
98,798.777344,-71.893646,24.396112,,,,,,,,,,,,,,,
99,798.081421,-73.188362,24.406078,,,,,,,,,,,,,,,
100,797.421997,-74.272362,24.358442,,,,,,,,,,,,,,,
101,796.813110,-75.569931,24.621695,,,,,,,,,,,,,,,
102,796.223328,-76.784309,24.384211,,,,,,,,,,,,,,,
103,795.430237,-77.769638,24.212317,,,,,,,,,,,,,,,
104,794.595825,-78.785240,24.149126,,,,,,,,,,,,,,,
105,793.760498,-80.096069,24.160357,,,,,,,,,,,,,,,
106,792.867249,-80.992653,23.952179,,,,,,,,,,,,,,,
107,792.136108,-81.979385,24.065245,,,,,,,,,,,,,,,
108,791.461243,-83.129578,24.221310,,,,,,,,,,,,,,,
109,790.757874,-84.201340,24.279516,,,,,,,,,,,,,,,
110,789.948975,-85.225601,24.065310,,,,,,,,,,,,,,,
111,788.836121,-86.037491,24.106459,,,,,,,,,,,,,,,
112,787.891418,-86.948677,24.273399,,,,,,,,,,,,,,,
113,787.115356,-87.979012,24.067945,,,,,,,,,,,,,,,
114,786.309692,-88.891350,23.923174,,,,,,,,,,,,,,,
115,785.491638,-89.906738,23.961073,,,,,,,,,,,,,,,
116,784.520874,-90.781601,23.822208,,,,,,,,,,,,,,,
117,783.641052,-91.641884,23.863623,,,,,,,,,,,,,,,
118,782.712097,-92.432899,23.736647,,,,,,,,,,,,,,,
119,781.789307,-93.373062,23.802816,,,,,,,,,,,,,,,
120,780.894287,-94.192245,23.827789,,,,,,,,,,,,,,,
121,780.005249,-94.986992,23.910791,,,,,,,,,,,,,,,
122,779.123352,-95.930588,23.910622,,,,,,,,,,,,,,,
123,778.286743,-96.828171,24.015831,,,,,,,,,,,,,,,
124,777.579895,-97.716377,23.923676,,,,,,,,,,,,,,,
125,776.504089,-98.435509,23.666182,,,,,,,,,,,,,,,
126,775.602051,-99.196823,23.656765,,,,,,,,,,,,,,,
127,774.772522,-100.249855,23.499529,,,,,,,,,,,,,,,
128,773.923157,-101.117142,23.478855,,,,,,,,,,,,,,,
129,773.160461,-101.909416,23.575325,,,,,,,,,,,,,,,
130,772.312927,-102.682014,23.572247,,,,,,,,,,,,,,,
131,771.293579,-103.847290,24.014833,,,,,,,,,,,,,,,
132,770.401611,-104.370583,23.616287,,,,,,,,,,,,,,,
133,769.499451,-104.993797,23.483440,,,,,,,,,,,,,,,
134,768.673523,-105.789841,23.455124,,,,,,,,,,,,,,,
135,767.788940,-106.491531,24.003994,,,,,,,,,,,,,,,
136,767.025330,-107.417610,23.638617,,,,,,,,,,,,,,,
137,765.961670,-108.054253,23.387455,,,,,,,,,,,,,,,
138,764.908081,-108.709404,23.257929,,,,,,,,,,,,,,,
139,763.895630,-109.536606,23.259398,,,,,,,,,,,,,,,
140,762.987915,-110.188057,23.220247,,,,,,,,,,,,,,,
141,762.264893,-110.781425,23.233435,,,,,,,,,,,,,,,
142,761.447998,-111.642090,23.190638,,,,,,,,,,,,,,,
143,760.367615,-112.282394,23.298397,,,,,,,,,,,,,,,
144,759.297241,-112.844780,23.371819,,,,,,,,,,,,,,,
145,758.430054,-113.382317,23.113304,,,,,,,,,,,,,,,
146,757.574097,-114.132339,22.666607,,,,,,,,,,,,,,,
147,756.787598,-114.789284,22.830347,,,,,,,,,,,,,,,
148,755.710571,-115.420166,23.080879,,,,,,,,,,,,,,,
149,754.866394,-116.095291,23.008343,,,,,,,,,,,,,,,
150,753.902100,-116.638229,22.959442,,,,,,,,,,,,,,,
151,753.038940,-117.217407,22.848665,,,,,,,,,,,,,,,
152,752.206116,-117.755852,22.892891,,,,,,,,,,,,,,,
153,751.288147,-118.395622,22.853884,,,,,,,,,,,,,,,
154,750.245483,-119.073509,22.866789,,,,,,,,,,,,,,,
155,749.267822,-119.501282,22.752216,,,,,,,,,,,,,,,
156,748.283997,-119.996140,22.644892,,,,,,,,,,,,,,,
157,747.495850,-120.460045,22.757053,,,,,,,,,,,,,,,
158,746.584595,-121.170410,22.827572,,,,,,,,,,,,,,,
159,745.593201,-121.736984,22.897682,,,,,,,,,,,,,,,
160,744.723389,-122.180725,22.736223,,,,,,,,,,,,,,,
161,743.551208,-122.509689,22.704725,,,,,,,,,,,,,,,
162,742.429993,-122.938271,22.401476,,,,,,,,,,,,,,,
163,741.519775,-123.447105,22.481461,,,,,,,,,,,,,,,
164,740.840149,-123.963753,22.620607,,,,,,,,,,,,,,,
165,739.779358,-124.338547,22.933023,,,,,,,,,,,,,,,
166,738.578247,-124.725906,22.584082,,,,,,,,,,,,,,,
167,737.382690,-124.991516,22.363499,,,,,,,,,,,,,,,
168,736.387329,-125.351578,22.373299,,,,,,,,,,,,,,,
169,735.529907,-125.763199,22.435354,,,,,,,,,,,,,,,
170,734.292786,-126.183372,22.526766,,,,,,,,,,,,,,,
171,733.204285,-126.659256,22.499956,,,,,,,,,,,,,,,
172,732.039124,-126.793686,22.291803,,,,,,,,,,,,,,,
173,730.940918,-127.088478,22.269459,,,,,,,,,,,,,,,
174,729.865906,-127.492012,22.346466,,,,,,,,,,,,,,,
175,728.581726,-127.784035,22.064478,,,,,,,,,,,,,,,
176,727.268799,-127.852493,21.888397,,,,,,,,,,,,,,,
177,726.029236,-128.229889,21.962234,,,,,,,,,,,,,,,
178,724.939148,-128.711426,22.260220,,,,,,,,,,,,,,,
179,723.674988,-128.850006,22.300669,,,,,,,,,,,,,,,
180,722.316833,-128.823730,22.092546,,,,,,,,,,,,,,,
181,721.023682,-128.943130,21.894018,,,,,,,,,,,,,,,
182,719.962585,-129.170502,22.002747,,,,,,,,,,,,,,,
183,718.528564,-129.316208,21.728756,,,,,,,,,,,,,,,
184,717.169250,-129.278473,21.735855,,,,,,,,,,,,,,,
185,716.027893,-129.492859,21.767288,,,,,,,,,,,,,,,
186,714.955444,-129.769409,21.919643,,,,,,,,,,,,,,,
187,713.712891,-129.966507,22.080275,,,,,,,,,,,,,,,
188,712.435608,-129.980026,21.838108,,,,,,,,,,,,,,,
189,711.213562,-130.075531,21.687656,,,,,,,,,,,,,,,
190,710.214661,-130.153229,21.656343,,,,,,,,,,,,,,,
191,709.038330,-130.228271,21.868572,,,,,,,,,,,,,,,
192,707.779236,-130.291382,21.655630,,,,,,,,,,,,,,,
193,706.652222,-130.432877,21.498762,,,,,,,,,,,,,,,
194,705.564880,-130.689438,21.358276,,,,,,,,,,,,,,,
195,704.432373,-130.755402,21.795839,,,,,,,,,,,,,,,
196,703.229858,-130.879318,21.911753,,,,,,,,,,,,,,,
197,702.080505,-131.118210,21.491806,,,,,,,,,,,,,,,
198,701.005554,-131.142059,21.355328,,,,,,,,,,,,,,,
