Sequential05
Date:,2025/04/15
Time:,13:34:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
1,863.241943,696.428467,139.738052
2,862.626892,696.399292,140.050858
3,861.957092,696.238770,140.607025
4,861.288879,696.125244,141.130386
5,860.552795,695.982605,141.853287
6,859.768738,695.938293,142.450806
7,859.097229,695.918091,143.004044
8,858.220459,695.499878,144.182220
9,857.177917,695.629944,144.441055
10,856.171082,695.531494,144.940979
11,855.160950,695.411011,145.734375
12,854.169128,695.080566,146.848343
13,853.327209,695.242249,147.461990
14,852.290405,695.149902,148.056290
15,851.116089,694.877747,148.941772
16,849.945984,694.668091,149.971985
17,848.673096,694.171997,151.783829
18,847.456360,694.305969,152.264893
19,846.435486,694.124512,152.617920
20,845.374756,693.706848,153.627609
21,843.973022,693.810608,153.954773
22,842.553528,693.938721,154.991776
23,841.080505,693.869568,156.223877
24,839.743958,693.919739,157.320908
25,838.294495,693.649048,158.792023
26,836.633362,693.911804,159.248093
27,835.749207,694.043518,159.897125
28,834.641418,693.858521,161.117722
29,833.242065,694.173340,162.169235
30,831.386108,694.282227,163.619598
31,829.876038,694.138733,165.285828
32,828.537903,694.207642,166.291214
33,826.725891,694.464294,166.960327
34,825.158508,694.695068,167.703476
35,823.634460,694.896973,169.639877
36,821.938477,695.195435,170.453247
37,820.130798,695.077209,171.763397
38,818.507202,695.247803,173.010162
39,817.234375,695.208740,174.353500
40,815.395203,695.491882,175.039810
41,813.463867,695.669434,176.753586
42,811.874146,695.773132,177.824738
43,810.046387,695.798645,178.616409
44,808.052734,695.951904,179.580826
45,806.528809,696.113525,180.375107
46,804.529114,696.213989,181.893143
47,802.586853,696.155762,183.074097
48,800.493713,696.484131,183.684143
49,798.594910,696.468079,184.545349
50,796.612793,696.323975,186.127060
51,794.463623,696.609497,186.806366
52,792.569458,696.817688,187.574707
53,790.084045,697.147949,188.288315
54,788.097961,697.052185,188.967773
55,785.906494,697.403931,189.379440
56,783.657166,697.584717,189.707916
57,781.527283,697.775757,190.378052
58,778.761047,698.140808,190.614471
59,776.511230,698.147034,191.816147
60,773.877563,698.734680,191.621658
61,771.350403,698.817810,192.727661
62,768.948975,699.183105,192.676392
63,766.060486,699.701904,192.592819
64,763.780151,699.897278,192.861572
65,760.845337,700.110535,193.521210
66,758.279236,700.527100,193.142822
67,755.831116,700.619995,193.477676
68,752.944885,701.187500,193.028702
69,750.362793,701.591980,192.458679
70,747.423035,701.780457,192.410110
71,744.695679,702.082214,192.470413
72,742.026733,702.316895,192.288193
73,739.056152,702.603882,192.236908
74,736.137024,702.950378,191.532959
75,733.615479,703.289001,190.866684
76,730.578003,703.561096,190.466217
77,727.811951,703.664551,190.442764
78,724.825684,704.182922,189.826767
79,722.482788,704.389221,188.567307
80,719.625061,704.685425,187.903900
81,717.109741,705.134888,187.059036
82,714.375305,705.103821,186.633331
83,711.727783,705.050171,185.913895
84,709.279114,705.374756,184.529816
85,706.568726,705.695435,183.867111
86,704.383240,705.696838,183.530487
87,701.527161,705.715759,183.197586
88,699.145752,705.768250,182.125061
89,696.477661,706.113953,181.325943
90,694.268677,706.071167,180.954987
91,691.745239,706.079773,180.413910
92,689.161133,706.128235,179.358658
93,686.846802,706.242859,178.863007
94,684.478271,706.470764,177.635208
95,682.212097,706.282349,177.363510
96,680.083374,706.392822,176.252502
97,677.320374,706.271057,175.938721
98,675.397156,706.466248,175.422531
99,672.861511,706.164368,175.152939
100,670.707886,706.184082,174.041397
101,668.459412,706.156006,174.078049
102,665.935303,706.020447,173.997925
103,664.358337,706.063782,172.994980
104,662.291138,705.815613,172.567703
105,660.333252,705.642639,171.523438
106,658.290955,705.415283,171.237518
107,656.555908,705.131409,170.721878
108,654.521057,704.932861,169.856049
