Weight44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;17:18:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;856.824585;739.491150;121.856209;971.912476;919.065552;258.896515;757.759216;670.849854;96.483948;1037.125488;918.233765;450.764008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;856.868103;739.479797;121.809372;971.861511;919.076721;258.930420;757.836060;670.871765;96.447426;1036.957153;918.272949;450.819946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;856.803528;739.578430;121.737206;971.830933;919.186890;258.931793;757.855164;670.878662;96.429909;1036.744873;918.278137;450.761536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;856.826721;739.510559;121.723030;971.814880;919.217896;258.935913;757.847412;670.876282;96.434647;1036.607056;918.260498;450.721283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;856.821777;739.474976;121.702782;971.777344;919.213989;258.874481;757.837646;670.872498;96.445076;1036.616089;918.229309;450.739349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;856.881348;739.481689;121.705734;971.759583;919.301086;258.878967;757.833557;670.870728;96.450294;1036.542358;918.211975;450.705627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;856.870056;739.493286;121.682854;971.736511;919.337708;258.784210;757.833862;670.870789;96.450119;1036.504272;918.133545;450.689850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;856.821594;739.564026;121.648445;971.706238;919.348633;258.768890;757.835388;670.871460;96.448250;1036.377319;918.166626;450.641693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;856.832520;739.589172;121.634346;971.656738;919.325684;258.873169;757.822510;670.879395;96.496651;1036.287964;918.133362;450.620453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;856.861572;739.605652;121.641266;971.560547;919.343445;258.777496;757.789917;670.869019;96.517700;1036.252197;918.130859;450.635742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;856.927856;739.611816;121.648689;971.529114;919.447266;258.731476;757.811096;670.863647;96.477547;1035.664917;918.335388;450.788635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;856.869141;739.575073;121.600456;971.532166;919.439636;258.826721;757.822205;670.877747;96.495636;1035.551880;918.086609;450.858734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;856.841614;739.577759;121.623611;971.365723;919.534851;258.759949;757.769043;670.881775;96.475586;1035.581177;918.021484;450.811035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;856.820862;739.492859;121.623878;971.264038;919.563904;258.758575;757.812683;670.869812;96.461258;1035.532471;917.970520;450.790863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;856.899597;739.567688;121.641960;971.084045;919.639343;258.765930;757.825745;670.877991;96.495377;1035.440186;917.849365;450.632721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;856.886230;739.486816;121.684525;970.839966;919.658997;258.741211;757.768250;670.880432;96.479034;1035.730835;917.682251;450.283600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;856.863892;739.497864;121.658844;970.654419;919.737122;258.769379;757.775085;670.971863;96.451004;1035.834473;917.589722;450.043396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;856.931335;739.478027;121.738670;970.459045;919.856323;258.708984;757.845642;670.997681;96.461548;1035.640259;917.472656;450.040039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;856.937500;739.375122;121.766304;970.276917;920.184937;258.071838;757.791626;671.010925;96.517441;1035.439331;917.297913;449.980591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;857.044556;739.334473;121.914421;970.379089;920.257385;257.961700;757.662903;671.002869;96.557274;1035.171387;917.123596;449.929749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;857.215881;739.199097;122.160683;970.308289;920.276489;257.945099;757.742493;671.069824;96.648964;1034.724487;917.139893;450.061188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;857.315247;739.062439;122.360741;970.053040;920.348511;257.842896;757.828003;671.112671;96.676903;1033.921387;917.201782;450.091949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;857.447754;738.973633;122.636658;969.758606;920.465454;257.830475;757.875244;671.115417;96.672745;1033.219116;917.235779;450.123535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
