Weight60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:14:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;922.754517;767.316528;72.441078;1107.546143;881.419128;228.687195;1137.578735;826.142273;438.485840;792.703003;744.800049;32.203514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;922.784668;767.378418;73.114861;1107.786011;881.646851;228.669250;1137.561768;826.049011;438.534302;792.656067;744.941345;32.244556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;922.496460;767.647644;74.035225;1108.026367;881.897522;228.665039;1137.614746;826.035950;438.266418;792.461365;745.216003;32.465187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;922.083008;767.620056;75.188782;1108.498413;882.060242;228.623459;1137.464111;826.148438;438.263428;792.364502;745.366211;32.692642;862.671570;701.005310;30.653738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;921.647888;767.608398;76.206268;1108.775024;882.319763;228.682556;1137.268066;826.216125;438.318542;792.414490;745.464417;32.906799;864.224243;698.412537;31.430658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;921.355896;767.508301;77.228592;1109.187744;882.756287;228.881348;1137.262695;826.221863;438.273254;792.355347;745.737671;33.611519;866.091980;695.730591;31.616602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;921.306519;767.381836;78.265442;1109.445190;883.275085;228.826401;1137.280029;826.303711;438.176941;792.224121;745.822327;35.313274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;921.226318;767.341675;79.486755;1109.804688;883.779358;228.971344;1137.615967;826.651550;437.643616;791.744995;746.010864;37.675316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;921.271423;767.102173;81.018486;1110.285278;884.265076;229.264511;1137.589111;826.577759;437.750305;791.025513;746.206848;40.417046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;921.003052;766.805359;82.303871;1110.612915;884.590149;229.603699;1137.456543;826.703125;437.891571;790.195435;746.272400;43.961578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;920.628601;766.649841;83.617104;1110.826294;884.921936;229.684708;1137.514893;826.734497;437.333038;789.545410;745.957397;47.821922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
