Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:39:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;857.246399;722.322693;132.407043;747.143433;665.396484;113.706528;1065.583130;859.984375;443.921997;1032.377319;890.071594;258.328400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;855.405151;722.713745;133.380463;745.615967;665.737305;113.883270;1064.883545;860.184937;444.221100;1031.567749;890.426331;258.218262;824.336121;628.431152;104.809776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;853.511414;723.246643;134.014648;744.244141;666.308105;113.668579;1063.929932;860.340210;443.950073;1030.421631;890.982117;258.314941;822.922180;628.119385;106.911995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;851.924866;723.665405;134.845505;742.618469;666.621094;114.679008;1062.996826;860.353455;443.700470;1029.107300;891.403992;258.621124;821.483215;627.516846;108.658188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;850.303772;724.081299;135.631927;740.408142;666.705078;115.725998;1061.814697;860.535767;443.415558;1027.731445;891.610657;259.014587;819.735657;627.853699;109.854813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;848.010742;724.597656;136.227036;738.425232;667.344055;115.703880;1060.616455;860.829468;443.464691;1026.442627;892.003540;259.175934;817.954041;628.340027;111.447792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;846.430115;724.679199;136.850250;736.879883;667.472778;116.525513;1059.764282;861.041565;443.805359;1024.549561;892.634460;259.135010;816.135315;628.745789;113.216949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;844.199402;724.959473;138.433868;734.683167;667.620483;117.725922;1058.867554;861.157227;444.118011;1023.652649;892.668030;258.845764;813.957886;629.223145;114.235809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;842.146179;725.456909;139.833282;732.826172;668.020813;118.509888;1057.683350;861.099304;443.616730;1021.815369;892.640808;259.845276;811.784851;629.027161;115.171791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;839.947510;725.385132;140.850143;730.322876;668.130920;120.274704;1056.157227;861.319214;443.389221;1019.630127;893.366577;260.080933;809.806641;629.384583;116.631996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;837.575073;725.672119;141.322845;728.075317;668.482483;121.387367;1054.930908;861.532715;443.604767;1018.096130;893.580444;260.402466;807.583557;629.486938;117.990639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;835.569397;725.691406;142.184555;726.035095;668.477661;122.998329;1053.931519;861.709534;444.026825;1016.380493;893.877869;260.547119;805.451355;629.756042;119.215202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;833.412720;725.983337;143.185135;724.042725;668.668762;124.633934;1052.510010;861.806030;443.716187;1014.930603;894.200317;260.438873;803.338318;630.506042;119.528152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;830.957764;726.320435;144.577560;721.233398;668.562744;126.881500;1050.921143;861.960632;443.392792;1013.755188;894.320801;260.157867;800.475708;630.898193;120.643044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;827.907532;726.182129;145.556488;718.653503;668.867554;128.213120;1049.478638;862.078125;443.492065;1011.371460;894.620728;260.450348;798.049683;630.718689;121.697571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
