Weight63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:11:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;878.151978;698.706421;104.120216;760.775208;674.862732;111.407288;819.935242;615.321655;99.864243;1004.521606;867.607605;230.948517;1035.775269;880.303162;407.951477;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;878.048645;698.749878;104.358833;760.816345;674.890747;111.262611;819.668335;615.432739;99.753090;1004.011292;867.868530;231.260193;1035.230835;880.449524;408.153931;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;877.983398;698.735046;104.617493;760.850220;674.890808;111.335709;819.567993;615.465088;99.852280;1003.648865;867.995911;231.367264;1035.004761;880.554260;408.301636;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;878.108093;698.693970;104.944672;760.814087;674.788879;111.354225;819.541260;615.555908;99.894211;1003.641479;868.101257;231.528580;1034.862793;880.621887;408.371185;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;878.117004;698.674500;105.256119;760.736572;674.792847;111.378685;819.511230;615.663879;100.483002;1003.348450;868.276489;231.911865;1034.543335;880.534790;408.434448;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;878.286499;698.662842;105.783646;760.781921;674.699036;111.488258;819.526123;615.578430;100.380287;1002.835693;868.510925;232.376053;1034.194092;880.384644;408.546448;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;878.327026;698.681763;106.246620;760.712402;674.680908;111.591873;819.754639;615.749329;99.979973;1002.313110;868.490601;232.870834;1033.616821;880.588013;408.890289;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;878.241882;698.759338;106.829102;760.592712;674.602112;111.782562;819.510803;615.822144;100.374001;;;;1033.051392;880.892273;409.137238;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;878.117371;698.814209;108.018272;760.479736;674.461975;112.070892;819.247314;615.919128;100.433167;;;;1032.442017;881.000732;409.405090;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;877.822266;698.906311;108.913345;760.314819;674.428162;112.402298;818.840027;615.989258;101.295723;;;;1031.884399;880.526917;409.258545;1000.575195;869.562744;234.504807;;;;;;;;;;;;;;;;;;;;;;;;
11;877.456116;699.161499;109.532288;760.122620;674.255066;113.386162;818.499207;615.903748;102.184029;;;;1031.298828;881.137634;409.424805;1000.444275;870.013062;234.748245;;;;;;;;;;;;;;;;;;;;;;;;
12;877.165466;699.314636;110.054497;759.586853;674.148865;114.023735;818.213196;616.097229;102.911964;;;;1030.098267;880.769958;409.586029;1000.181885;870.518311;235.017593;;;;;;;;;;;;;;;;;;;;;;;;
13;876.909607;699.501709;110.728821;758.955078;674.214172;114.734207;817.850464;616.348877;103.538223;;;;1029.289551;880.957336;409.494598;999.973755;870.917236;235.334488;;;;;;;;;;;;;;;;;;;;;;;;
14;877.038452;699.659363;111.557358;758.542786;674.352051;115.348793;817.530090;616.672607;104.233612;;;;1028.756348;881.156860;409.439545;999.257507;871.417297;235.599457;;;;;;;;;;;;;;;;;;;;;;;;
15;876.570496;700.047241;112.302353;758.110535;674.509460;115.942825;817.155090;616.944885;105.165840;;;;1028.534790;881.251953;409.622131;998.746948;871.642151;235.372147;;;;;;;;;;;;;;;;;;;;;;;;
16;875.968994;700.338440;113.032776;757.397888;674.867310;117.163841;816.475464;617.140564;106.614586;;;;1027.917480;881.570618;409.975677;997.825867;872.385986;235.494904;;;;;;;;;;;;;;;;;;;;;;;;
17;874.962891;700.739136;113.977150;756.916687;675.056152;118.774406;815.893738;617.286987;108.038628;;;;1026.775635;881.790283;410.151733;997.099121;873.052246;235.842819;;;;;;;;;;;;;;;;;;;;;;;;
18;874.397888;701.234924;114.634544;756.307617;675.377625;120.178368;815.263794;617.584473;109.442406;;;;1025.561523;882.078308;410.176392;997.142395;873.422058;235.604355;;;;;;;;;;;;;;;;;;;;;;;;
19;873.386108;701.454895;116.568710;755.882080;675.573853;121.760506;814.486633;617.936829;111.142776;;;;1024.363403;882.431091;410.156647;996.555176;874.257324;236.185272;;;;;;;;;;;;;;;;;;;;;;;;
20;873.379456;700.711304;118.400864;754.953308;675.963501;123.919060;813.626404;618.230164;112.970818;;;;1023.773438;882.628723;410.055298;995.796631;874.905518;236.566925;;;;;;;;;;;;;;;;;;;;;;;;
21;872.330261;701.317200;118.944527;753.630371;676.107422;126.804115;812.763611;618.474365;114.638374;;;;1023.419128;882.923584;409.857025;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;870.973511;701.283997;120.681244;752.302368;676.225159;129.189575;811.309875;618.767944;116.975006;;;;1022.860413;883.194092;409.885956;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;869.847900;701.614929;122.174164;751.089661;676.265686;132.063477;810.059509;618.968262;118.965508;;;;1022.309021;883.335876;410.049805;;;;993.050720;875.524902;238.988892;;;;;;;;;;;;;;;;;;;;;
24;867.875854;702.350281;123.268906;749.647644;676.340942;134.507004;808.541748;619.129761;120.975288;;;;1021.137817;883.605225;410.412109;;;;992.523926;876.004333;239.319214;;;;;;;;;;;;;;;;;;;;;
25;865.098328;703.687134;125.180588;747.844666;676.348755;137.890869;806.693726;619.331360;123.181946;;;;1020.013062;883.726746;410.499023;;;;991.314941;876.564026;239.733521;;;;;;;;;;;;;;;;;;;;;
26;862.478455;704.424438;126.570862;745.911682;676.395203;140.009857;804.401733;619.382935;125.421204;;;;1019.068176;883.718201;410.472260;;;;989.759583;876.925476;240.310379;;;;;;;;;;;;;;;;;;;;;
