Weight61;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;
Time:;14:03:57;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;882.023926;671.298401;167.007248;1116.391846;761.736816;435.059998;1066.285156;835.570190;259.077789;766.429138;612.967468;159.726746;801.633301;637.661743;92.241989;;;;;;
2;881.918091;671.393738;167.138748;1116.257446;761.927734;435.044250;1066.206177;835.690857;259.124786;767.648254;612.585083;160.008362;800.524780;637.712341;93.289040;;;;;;
3;881.723633;671.425354;167.237106;1116.079224;762.096558;435.032379;1065.594238;835.757996;258.752136;767.837158;612.281616;160.653946;799.739197;637.731506;93.787140;;;;;;
4;881.572876;671.439148;167.411453;1115.844727;762.251404;434.970367;1065.595947;835.890747;258.981537;767.179871;612.483398;160.538773;799.499268;637.749268;93.948502;;;;;;
5;881.304932;671.566101;167.660843;1115.390625;762.429932;434.815521;1065.344482;836.082031;258.860168;766.912109;612.805603;160.148529;799.860718;637.739075;93.477654;;;;;;
6;881.036194;671.673035;167.896484;1115.343384;762.452576;434.875732;1065.035645;836.133972;258.654327;766.911865;612.855347;159.935455;800.051270;637.721802;93.510704;;;;;;
7;880.836609;671.720825;168.163589;1115.301758;762.481689;434.670319;1064.762451;836.289185;258.586945;767.355896;612.895325;159.874390;799.784851;637.656128;93.699234;;;;;;
8;880.616516;671.902527;168.425980;1115.117065;762.560059;434.598663;1064.560913;836.322876;258.654755;768.076599;612.675842;160.071259;799.177612;637.568298;94.024864;;;;;;
9;880.266785;671.848938;169.117050;1114.792969;762.730896;434.555725;1064.375732;836.491943;258.575897;768.388672;612.364929;161.179047;798.541626;637.504517;94.373329;;;;;;
10;879.912354;671.951477;170.163086;1114.301147;762.933533;434.283051;1064.075806;836.836426;258.596008;;;;;;;815.574768;610.794678;111.719765;755.166748;638.410767;143.409256
11;879.229370;672.178589;170.731598;1113.463501;763.242615;434.155121;1063.797852;837.110657;258.671539;;;;;;;815.501465;610.846863;111.951363;754.919617;638.315918;143.299179
12;878.753784;672.564270;170.962967;1113.102539;763.411743;434.046692;1063.447510;837.598328;258.993805;;;;;;;815.313782;610.902832;112.175003;754.697693;638.218262;143.316208
13;878.458496;673.072083;170.878036;1112.804077;763.607361;434.021088;1062.934204;838.019104;259.122223;;;;;;;815.088867;610.938293;112.512520;754.313965;638.234009;143.346924
14;878.123230;673.396729;171.016098;1112.397949;763.804565;434.059540;1062.381226;838.292847;259.200409;;;;;;;814.750671;611.002197;112.913177;753.861694;638.352966;143.519089
15;877.607971;673.690918;171.551910;1112.105103;763.946167;434.090668;1061.854492;838.714111;258.897034;;;;;;;814.298706;611.085876;113.406265;753.401306;638.682190;143.622528
16;876.659119;673.749939;172.394943;1111.759766;764.101501;434.115692;1061.265503;838.699646;259.401855;;;;;;;813.675171;611.329102;114.228859;753.014648;639.072144;143.506622
17;875.757019;673.832703;173.144302;1111.567261;764.173035;434.076935;1060.540283;838.857544;259.910828;;;;;;;813.013184;611.606812;115.133606;752.511597;639.516785;143.625381
18;874.715942;674.014282;173.606003;1111.318970;764.275818;434.070343;1060.030518;839.103149;259.934967;;;;;;;812.236511;611.855591;115.885902;751.509949;639.909302;144.273468
19;873.517151;674.550903;174.453552;1110.837158;764.255310;433.735809;1059.151733;839.512695;259.830566;;;;;;;811.234009;611.956909;116.603035;750.129456;640.165161;145.001923
20;872.342285;675.043030;175.074600;1109.734619;764.546509;433.482666;1058.537720;839.786560;260.130157;;;;;;;810.118164;611.895508;117.493523;749.023804;640.524719;145.135971
21;871.370117;675.645630;175.244965;1108.640625;764.774231;433.290924;1057.276855;840.135132;260.071808;;;;;;;808.764954;612.058167;118.900696;748.079285;641.111267;145.249100
22;870.171570;675.967651;176.212433;1107.732056;764.908264;433.326752;1056.250977;840.272156;260.190094;;;;;;;807.457458;612.491699;119.995735;746.921204;641.748596;145.864090
23;868.334106;676.312134;176.921921;1107.046021;765.007141;433.411865;1055.069458;840.358459;260.617065;;;;;;;805.743408;612.770691;121.409775;745.602722;642.095154;147.241653
24;866.969116;677.040344;177.998428;1106.335449;765.130554;433.566559;1054.156860;840.660156;260.977386;;;;;;;804.274536;612.820374;122.399506;743.961060;642.481262;148.483139
25;865.095703;677.700317;178.997314;1106.278564;765.016296;433.719574;1053.392578;840.921814;261.286102;;;;;;;802.614319;613.070251;123.523262;742.019958;643.112610;149.210266
26;863.396973;678.175110;179.911026;1105.371460;765.230896;433.562988;1052.222900;841.032410;261.219452;;;;;;;801.015869;613.466431;124.575745;740.787903;643.614319;149.646439
27;861.777832;678.565735;180.850922;1104.187134;765.506226;433.485168;1050.417603;841.348572;261.203186;;;;;;;798.945801;613.550415;126.214798;739.276001;644.240906;150.420258
28;859.865845;679.178650;181.645874;1102.972900;765.624268;433.415527;1049.035767;841.488525;261.674713;;;;;;;796.933105;613.722534;127.737297;737.018738;644.630615;152.320480
29;857.797180;679.377136;182.603378;1101.760742;765.624878;433.368256;1047.907227;841.589294;262.015289;;;;;;;794.765625;613.880066;129.140717;734.821106;644.909485;154.341385
30;855.702759;679.699463;183.774017;1101.208130;765.517395;433.706879;1046.256348;841.783142;262.271149;;;;;;;792.110046;614.154907;130.706192;732.465088;644.988037;156.019028
31;853.446228;680.124878;185.064117;1100.645020;765.621521;433.693420;1044.244629;841.944336;262.226715;;;;;;;789.694275;614.661804;132.434433;730.056152;645.493469;156.916779
32;850.681702;680.030334;186.849136;1099.676880;765.762695;433.587280;1042.511475;841.867126;262.597870;;;;;;;787.180420;614.621521;133.367905;727.697876;645.980530;158.743011
33;848.446960;680.433350;187.477005;1098.339844;765.958130;433.496368;1040.623169;842.024719;263.118378;;;;;;;784.241516;614.995300;135.218506;724.811401;646.300110;160.660110
34;845.722595;680.692444;188.847565;1096.890747;765.882813;433.447632;1038.958862;841.970764;263.431183;;;;;;;781.277710;615.279907;137.026718;722.133606;646.249268;163.023697
35;842.972900;681.012390;189.918060;1095.777466;765.861877;433.498749;1036.258789;842.234741;263.558411;;;;;;;778.141418;615.561890;138.458771;719.143372;646.844299;164.230927
36;840.055298;681.268066;191.149673;1094.957886;765.911621;433.548553;1033.957886;842.102295;263.715820;;;;;;;775.024048;615.859070;139.788147;716.407654;647.334229;165.808426
37;836.963318;681.546082;192.836700;1093.572021;766.031616;433.582092;1031.705811;842.283752;264.511627;;;;;;;771.620728;616.140808;141.197876;712.959473;647.352173;168.366013
38;833.872925;681.880615;193.658752;1091.840820;766.146362;433.283997;1028.812988;842.055481;264.621033;;;;;;;768.200623;616.596008;143.124466;709.656433;647.801575;170.056351
39;830.542480;682.136108;194.864914;1090.725220;765.871521;433.462006;1026.461182;842.188904;265.172791;;;;;;;764.474548;616.863953;144.490433;706.175720;648.255432;171.549240
40;826.716553;682.577698;196.450256;1089.035889;766.092041;433.490143;1023.165466;842.146851;265.632599;;;;;;;760.322205;617.221985;146.370193;702.230591;648.429565;174.420563
41;823.172302;682.880310;197.552521;1087.275391;766.168274;433.673004;1020.640686;842.015564;266.024384;;;;;;;756.375183;617.840942;148.175156;698.190247;649.010803;176.533096
42;819.509094;683.121521;198.580994;1085.905518;765.973267;433.506622;1017.763916;841.857544;266.819641;;;;;;;752.371338;618.074097;149.179977;694.366821;649.620422;177.755005
43;815.559082;683.463135;199.775818;1084.148804;766.043091;433.386963;1013.840576;841.702271;267.347717;;;;;;;748.060425;618.444153;150.669876;690.668335;650.218994;178.968033
44;811.384949;683.864380;201.055176;1082.349854;766.033264;433.752899;1010.838074;841.513062;267.765106;;;;;;;743.395325;618.797241;152.190674;686.399231;650.824463;180.535858
45;806.941650;684.364197;202.269913;1080.829468;765.974915;433.722168;1007.571777;841.201111;268.113831;;;;;;;738.679688;619.323669;153.987228;681.547363;651.168518;183.047821
46;802.373230;684.640991;203.459671;1078.890747;766.039551;433.612854;1003.833801;840.979980;268.847687;;;;;;;734.258362;619.852844;155.461151;676.839233;651.650085;185.192047
47;797.985107;685.033203;204.335953;1076.632690;766.010254;433.761017;999.938904;840.900574;269.608765;;;;;;;729.375366;620.324768;156.981339;671.823059;652.453125;187.325729
48;793.503845;685.448059;205.348221;1075.535522;765.767029;433.744324;996.076904;840.873962;270.246185;;;;;;;724.397400;620.845276;158.309662;667.091614;653.179565;188.802658
49;788.808044;685.971313;206.462738;1072.951050;765.950256;433.758575;992.357971;840.544250;270.832306;;;;;;;719.347107;621.297607;159.516113;662.213867;653.774048;189.997147
50;784.011353;686.278076;207.221390;1070.725464;765.941223;433.882507;988.310974;840.183960;271.207916;;;;;;;714.310059;621.724731;160.548737;657.448181;654.388672;191.373734
51;779.143738;686.520203;207.714111;1069.413330;765.755493;434.106079;984.269592;839.695679;271.762634;;;;;;;709.334839;622.141113;161.651886;652.427307;655.064392;192.841507
52;774.283203;686.854553;208.364288;1066.863159;765.816956;433.611816;980.185364;839.201111;272.364044;;;;;;;704.772156;622.227478;163.311707;647.398926;655.537781;193.930161
53;769.510742;687.348938;208.348740;1065.270508;765.601624;433.599091;975.887329;839.030579;272.737762;;;;;;;699.031494;622.741760;163.997879;642.633484;655.963257;194.844254
54;764.672668;687.698730;208.879120;1063.235229;765.669312;433.642181;971.768555;838.768433;273.958801;;;;;;;693.774048;623.265198;164.452911;637.641174;656.454102;195.855774
55;759.566467;687.870483;209.685974;1060.550903;765.544128;433.294891;967.224854;838.544434;274.805115;;;;;;;688.395264;623.839722;164.960953;632.409790;656.891357;196.919571
56;754.297180;687.985474;210.379791;1059.079834;765.438599;433.311371;962.666138;837.996826;275.339111;;;;;;;682.955078;624.321594;165.191147;627.223328;657.260620;197.541061
57;749.093384;688.294250;210.806992;1056.226318;765.464172;433.153168;958.335815;837.348938;276.082855;;;;;;;677.407837;624.756836;165.229462;621.839111;657.557739;198.337067
58;743.825745;688.817383;210.372879;1054.478882;765.131958;432.939606;953.695190;836.861450;276.783905;;;;;;;672.065918;625.161194;165.367630;616.121216;657.899902;199.285934
59;738.585754;688.734924;210.765625;1051.804932;765.127563;432.895264;948.978271;836.353882;277.467926;;;;;;;666.458862;625.534119;165.637650;610.795532;658.255371;200.021820
60;733.177979;688.548828;211.158386;1049.168335;765.108765;432.767975;944.487976;835.494141;278.258575;;;;;;;660.932861;625.716858;165.562393;605.220886;658.611877;201.006561
61;727.748718;688.405457;211.523743;1047.213989;764.896118;432.444031;939.963257;834.634644;278.868530;;;;;;;655.538086;626.285400;165.888336;599.901917;658.851013;201.416779
