Grasp24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:06:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;913.255493;811.833008;61.606434;1085.470093;893.702942;189.819534;775.049072;803.657288;33.633999;1169.462646;835.245300;451.655457;837.964844;749.887390;32.903526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;913.238525;811.838196;61.642624;1085.574097;893.679993;189.879059;774.997498;803.601501;33.629799;1169.475342;835.240845;451.658264;838.032043;749.861816;32.972248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;913.236633;811.705688;61.701012;1085.600464;893.676025;189.898727;775.035034;803.535156;33.602798;1169.465698;835.244507;451.656403;838.041199;749.851379;32.971828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;913.227600;811.709045;61.648903;1085.580322;893.679077;189.883835;775.063843;803.546326;33.607796;1169.473022;835.241455;451.657593;838.033325;749.869934;33.017445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;913.231201;811.730774;61.619083;1085.421997;893.703125;189.881256;775.064758;803.556274;33.612839;1169.486206;835.251587;451.657898;837.968323;749.883606;33.097015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;913.250977;811.697998;61.691956;1085.517212;893.675110;189.944031;775.076965;803.532959;33.662331;1169.477905;835.242188;451.658630;837.402893;751.090637;32.398308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;913.273621;811.713989;61.602806;1085.502197;893.636353;189.963516;775.042480;803.581604;33.700794;1169.474731;835.240295;451.658295;837.817749;750.329163;32.729492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;913.249084;811.729065;61.570427;1085.543091;893.663269;189.956833;775.094116;803.528992;33.669125;1169.496338;835.247559;451.660034;838.025879;749.816040;33.036167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;913.282410;811.719543;61.570984;1085.356934;893.626404;189.753403;775.055115;803.578064;33.684750;1169.431274;835.239380;451.623993;838.071716;749.784363;33.094177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
