Grasp52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:42:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;933.636536;805.061035;107.641098;797.543396;782.292725;102.476204;892.692627;714.539429;88.298820;1192.281250;900.810791;424.653900;1112.542236;920.099670;271.435547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;933.923279;802.984741;109.541656;797.428589;778.814026;105.282722;893.935791;711.854248;90.615128;1191.941528;900.733032;424.641907;1112.454102;919.698425;271.158020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;933.900452;800.529907;111.127983;797.566406;775.437317;108.674469;896.034912;708.541931;93.003487;1191.509277;900.725159;424.571442;1112.126465;919.227295;271.048431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;933.213501;797.968506;113.210617;797.098328;772.604736;111.816620;897.420959;705.095337;96.122513;1190.994141;900.764832;424.460693;1111.664795;918.822327;271.060638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;932.806885;795.947327;114.137474;797.248718;769.502686;114.680214;897.964539;702.387512;98.750229;1190.220215;900.668457;424.511353;1110.889038;918.377075;271.012878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;932.366821;793.758301;115.453857;796.942078;766.837891;116.886871;899.377075;699.786316;100.807152;1189.458862;900.597351;424.541565;1110.201050;917.756042;270.911438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;931.345093;791.228027;116.711105;796.178772;764.242371;119.074539;900.338745;696.773743;103.850800;1188.697144;900.492126;424.464661;1109.750977;916.957947;270.543823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;930.773315;789.261230;118.532364;795.395325;762.188171;121.232780;900.332031;694.097168;106.650932;1187.950195;900.366211;424.292908;1109.301025;916.142334;269.946289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;930.423889;787.174744;119.851921;794.776855;759.736328;122.823715;900.747864;691.434021;108.634178;1187.520630;900.312134;424.074036;1108.811157;915.381714;269.536652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;929.077271;784.850830;120.729385;793.905762;757.957947;124.836586;900.488159;689.068604;110.711708;1186.982422;900.134033;423.863800;1108.069702;914.610291;269.462250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;928.342468;782.705139;121.999649;792.823608;756.052856;126.581734;899.855713;687.398376;112.493065;1186.330933;899.932922;423.378021;1107.096802;913.674561;269.172394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;927.379517;780.503601;122.952454;792.223206;754.604980;127.679108;899.363647;685.106873;114.349045;1184.988770;899.827087;422.597168;1106.521118;912.698059;268.612366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;926.246887;778.722168;123.632698;790.959412;752.894958;129.374588;898.552490;682.662842;116.819107;1183.913330;899.669922;422.323425;1105.979370;911.755737;267.963318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;925.150757;776.724854;124.390411;789.203735;751.450256;130.065430;898.247498;679.937195;119.107452;1183.137695;899.534180;422.202423;1104.979614;910.789551;267.342651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;923.454102;774.780579;125.767509;787.904175;750.808960;130.749756;896.875977;677.995300;120.548683;1182.130615;899.110779;421.767090;1104.081299;909.974731;266.879608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;922.433228;772.798645;126.424759;786.545776;749.797302;131.975235;895.941040;675.766113;122.434364;1180.922241;898.599182;421.185028;1103.403931;908.874451;266.070557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;920.856506;771.063965;126.917870;785.459106;748.353394;132.050491;893.899963;674.463501;123.382645;1179.973389;898.214478;420.881561;1102.291748;907.725769;265.446167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
