Grasp124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:38:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;918.686157;570.678955;143.951630;1084.382935;812.744690;458.995911;835.437317;473.829224;97.593018;1011.066040;810.109558;272.819153;898.574036;489.442383;78.629356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;917.999207;572.094788;146.988174;1085.144043;813.263977;459.400452;833.775757;474.462311;103.157257;1011.371704;811.821167;274.311462;897.426331;488.363983;84.008209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;917.255005;573.295410;150.536438;1085.699585;813.802185;459.790283;832.464172;475.378113;109.099815;1012.562683;813.513916;275.312683;895.700439;488.347107;88.305107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;916.530701;574.406860;154.364304;1086.128296;814.297424;460.039063;831.667419;476.105133;114.635399;1013.822571;815.200867;275.723755;893.655884;489.599915;92.752701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;915.790405;575.950806;158.158554;1086.569946;814.757385;460.100708;830.584473;477.116425;119.766716;1014.547974;817.033020;276.813599;891.502991;491.477661;96.848404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;915.149597;577.327515;162.086090;1087.069458;815.157288;460.364288;829.165527;478.393372;124.860046;1015.685913;818.740967;277.850861;889.659790;493.539978;100.120163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;914.420715;578.418030;165.494812;1087.692749;815.607727;460.826019;828.378662;479.504364;129.660263;1016.689697;820.635132;278.721436;887.578247;495.723755;103.425537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;913.631836;579.915283;168.772308;1088.604004;816.263977;460.810211;826.977844;480.941833;134.014679;1017.254211;822.261414;279.785065;885.312195;497.685669;106.920212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;912.763550;581.243530;172.664459;1089.239014;816.899902;461.848358;825.811462;482.914917;138.555817;1018.648621;823.970337;281.064392;883.237793;499.629974;110.773117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
