Grasp120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:44:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;1054.775757;812.057495;282.483185;774.195374;826.996826;32.240498;1096.585571;729.217163;438.624084;907.972656;805.454895;65.693085;829.371399;758.362793;29.427422;;;;;;;;;;;;;;;;;;
2;1054.794922;811.986328;282.443390;774.356934;827.043335;32.195927;1096.799194;729.142700;438.625275;908.119507;805.356079;65.242157;829.449707;758.405884;29.266302;;;;;;;;;;;;;;;;;;
3;1054.777954;812.044434;282.451752;774.396057;827.039795;32.178661;1096.876831;729.080994;438.571411;908.140198;805.426147;65.400993;829.446838;758.377808;29.316689;;;;;;;;;;;;;;;;;;
4;1054.822876;812.105957;282.528107;774.386230;827.035339;32.182613;1096.935181;729.098022;438.577606;908.203918;805.381775;65.209816;829.395386;758.361023;29.401472;;;;;;;;;;;;;;;;;;
5;1054.807495;812.047424;282.459198;774.390625;826.991882;32.363445;1096.874634;729.083740;438.567932;908.161926;805.421021;65.489403;828.891968;758.185242;29.865179;;;;;;;;;;;;;;;;;;
6;1054.830811;811.995056;282.505341;774.369568;827.028198;32.236118;1096.908691;729.032104;438.612152;908.030640;805.451721;65.566124;829.036682;758.305786;29.806557;;;;;;;;;;;;;;;;;;
7;1054.780640;812.003479;282.483734;774.412964;827.049377;32.165909;1096.868286;729.030029;438.566132;908.133972;805.338501;65.351082;829.288086;758.371094;29.540962;;;;;;;;;;;;;;;;;;
8;1054.811890;812.004639;282.520569;774.392212;826.972961;32.163609;1096.912964;729.041687;438.574677;908.140991;805.341064;65.212357;829.445740;758.342163;29.437998;;;;;;;;;;;;;;;;;;
9;1054.838135;811.990540;282.507843;774.391174;826.979980;32.359997;1096.917847;728.971680;438.605927;908.167114;805.398193;65.527008;829.404053;758.322205;29.473112;;;;;;;;;;;;;;;;;;
10;1054.851563;811.983215;282.502808;774.399780;826.981201;32.407993;1096.864380;728.973450;438.559662;908.158508;805.337341;65.399017;829.410156;758.354126;29.424377;;;;;;;;;;;;;;;;;;
11;1054.897461;811.951904;282.482605;774.775391;826.857971;31.745924;1096.824707;728.873230;438.536499;908.150085;805.331726;65.360229;829.387939;758.366638;29.407103;;;;;;;;;;;;;;;;;;
12;1054.946777;811.945435;282.523285;774.485413;827.012268;32.017956;1096.812012;728.757019;438.625061;908.075928;805.363892;65.687363;829.414063;758.400513;29.313343;;;;;;;;;;;;;;;;;;
13;1054.930664;811.942078;282.560547;774.355896;827.081299;32.209538;1096.810547;728.651489;438.629059;908.012024;805.300781;65.602478;829.381409;758.341980;29.460737;;;;;;;;;;;;;;;;;;
14;1054.709473;811.973816;282.744904;774.334961;827.053467;32.228271;1096.813232;728.528259;438.623718;907.938171;805.374756;65.761078;829.343872;758.349487;29.481596;;;;;;;;;;;;;;;;;;
15;1054.637939;811.987976;282.867706;774.215454;827.078979;32.206585;1096.728027;728.372620;438.647400;907.881226;805.461304;65.967918;829.347290;758.361633;29.456688;;;;;;;;;;;;;;;;;;
16;1054.584229;812.100403;283.030823;774.194946;827.119629;32.205990;1096.658691;728.260193;438.611053;907.787537;805.448364;66.083649;829.366089;758.364502;29.431156;;;;;;;;;;;;;;;;;;
17;1054.546631;812.215271;283.189148;774.242737;827.097534;32.231831;1096.687378;728.160461;438.635925;907.739868;805.453918;66.207886;829.273560;758.494873;29.475006;;;;;;;;;;;;;;;;;;
18;1054.569824;812.318237;283.325775;774.254761;827.089783;32.235149;1096.638550;728.061523;438.681244;907.617859;805.555298;66.346817;829.287476;758.514648;29.409571;;;;;;;;;;;;;;;;;;
19;1054.565063;812.417053;283.468292;774.233459;827.097595;32.239422;1096.602539;727.947632;438.800171;907.503052;805.655334;66.555695;829.283325;758.600403;29.422932;;;;;;;;;;;;;;;;;;
20;1054.603882;812.643372;283.700958;774.313049;827.038269;32.422501;1096.610229;727.836853;438.805939;907.356506;805.862244;66.802849;829.218872;758.651184;29.556240;;;;;;;;;;;;;;;;;;
21;1054.674072;812.905579;283.935974;774.119568;827.116272;32.224243;1096.601929;727.733521;438.909485;907.081360;806.157410;67.431335;829.133972;758.763184;29.573359;;;;;;;;;;;;;;;;;;
22;1054.887573;813.151245;284.301300;774.040161;827.216919;32.183273;1096.674438;727.725220;438.971832;906.788208;806.377502;67.863762;829.040588;758.896851;29.649128;;;;;;;;;;;;;;;;;;
23;1055.209473;813.582947;284.599274;773.966431;827.229797;32.218327;1096.706543;727.721619;439.099426;906.578735;806.588013;68.284439;828.920715;759.013367;29.917479;;;;;;;;;;;;;;;;;;
24;1055.650024;813.959229;284.926880;773.879822;827.261292;32.262157;1096.803955;727.691711;439.213196;906.504822;806.787659;68.638992;828.640320;759.477539;30.219551;;;;;;;;;;;;;;;;;;
25;1056.444092;814.253967;285.465637;773.599976;827.466309;32.189392;1096.852661;727.705444;439.288727;906.283813;807.106628;69.106094;828.275696;760.137329;30.433281;;;;;;;;;;;;;;;;;;
26;1057.197876;814.581726;285.872803;773.238647;827.677979;32.261734;1097.049927;727.691101;439.401581;905.902161;807.396179;69.983360;827.611755;761.190857;30.822041;;;;;;;;;;;;;;;;;;
27;1058.081421;815.080872;285.927704;773.056824;827.876343;32.171135;1097.370605;727.679077;439.455872;905.518127;807.800171;71.572800;;;;;;;;;;;;;;;;;;;;;
28;1059.018921;815.614319;285.907806;772.818848;828.074646;32.104973;1097.608398;727.665039;439.434174;904.847473;807.991821;73.062447;;;;;;;;;;;;;;;;;;;;;
29;1060.561401;816.237671;286.147278;772.455933;828.292175;32.075130;1097.994263;727.691528;439.427124;904.029968;808.350159;74.461967;;;;;;;;;;;;;;;;;;;;;
30;1062.255005;816.901001;286.283386;772.054810;828.580078;32.134941;1098.564941;727.783508;439.317810;902.959290;808.781433;76.222916;;;;;;;;;;;;;;;;;;;;;
31;1063.646851;817.440002;286.380188;771.517273;828.910156;32.352409;1099.238770;727.926880;439.142365;902.182129;809.286377;78.217552;;;;;;;;;;;;;;;;;;;;;
32;1066.182861;817.900879;286.454559;770.966125;829.305908;32.490505;1099.963257;728.086426;438.926575;900.938599;809.665649;81.200371;;;;;;;;;;;;;;;;;;;;;
33;1068.097656;818.471130;286.559692;770.367554;829.867737;32.752407;1100.463867;728.342285;438.793152;899.678162;810.109680;83.691055;;;;;;;;;;;;;;;;;;;;;
34;1070.561523;819.366211;286.413483;769.798401;830.313965;33.079056;1100.768555;728.494141;438.836884;898.436951;810.340454;86.744156;;;;;;;;;;;;;;;;;;;;;
35;1072.998535;819.953369;286.565338;769.487610;830.675598;33.311470;1101.689087;728.776367;438.339447;896.939270;810.680176;89.806351;;;;810.755615;768.499084;63.571735;;;;;;;;;;;;;;;
36;1075.360718;820.426880;286.575806;769.228394;831.156067;33.706993;1102.845581;728.935791;437.860046;895.108765;811.115906;93.642471;;;;809.436768;769.148621;68.132683;;;;;;;;;;;;;;;
37;1077.793091;820.688965;286.499817;768.752991;831.198730;34.322670;1103.991211;729.184814;437.562347;893.703125;811.972595;96.934113;;;;807.623291;770.221680;73.692696;;;;;;;;;;;;;;;
38;1080.115601;821.406982;286.742615;768.770447;831.298767;34.700623;1105.252686;729.566162;437.681274;891.656372;812.554749;101.139496;;;;805.446594;771.581238;79.614021;;;;;;;;;;;;;;;
39;1082.535400;821.709900;286.314270;769.015259;830.874878;35.622387;1106.906250;729.832886;437.557007;889.793640;812.994385;105.194626;;;;803.257446;772.750000;85.868462;;;;;;;;;;;;;;;
40;1084.972046;822.233704;287.166962;769.504944;829.610046;36.947659;1108.614868;729.948364;437.394348;888.784485;813.384521;108.598007;;;;800.794556;773.885437;92.605659;;;;;;;;;;;;;;;
41;1087.461792;822.303528;287.114716;769.342529;827.923889;38.940319;1109.631104;730.184509;437.147522;887.499817;813.733521;112.717773;;;;799.039490;775.398804;98.348923;;;;;;;;;;;;;;;
42;1089.923462;822.447510;287.559448;768.516724;826.379211;42.032471;1110.892456;730.302124;436.811127;885.761780;814.211670;116.739250;;;;797.767944;776.273438;104.383392;;;;;;;;;;;;;;;
43;1091.945923;822.257446;287.484833;767.832397;824.391479;45.960022;1112.752686;730.383484;436.762543;884.726990;814.162048;120.771461;;;;796.640930;776.353210;110.169907;;;;;;;;;;;;;;;
44;1094.121582;822.276733;287.453094;766.103760;822.091919;51.115559;1114.092407;730.465210;436.954437;883.909851;813.674500;125.295448;;;;795.924255;775.901428;115.721016;;;;;;;;;;;;;;;
45;1095.971924;822.215820;287.970673;764.432556;819.678223;56.688362;1115.369873;730.431396;436.810181;883.139404;812.718140;129.518967;;;;795.244385;774.946106;121.364090;;;;;;;;;;;;;;;
46;1098.276367;821.976929;287.699707;762.698669;816.842529;63.071785;1116.884766;730.508240;436.229919;882.656006;811.744080;132.864853;;;;794.529114;772.858276;126.995354;;;;;;;;;;;;;;;
47;1100.236328;822.062622;288.123901;760.596008;813.517517;69.276436;1117.876709;730.719971;436.452209;882.318359;810.351501;136.395523;;;;794.152466;770.917664;132.714722;;;;;;;;;;;;;;;
48;1101.668091;821.874390;288.929413;758.165161;810.854797;76.203888;1119.198120;730.355591;436.410034;882.177673;808.500977;140.180237;;;;794.090881;767.328308;137.909805;;;;;;;;;;;;;;;
49;1103.611572;821.582764;289.063416;756.630615;807.550049;83.032158;1119.408203;730.367065;437.436066;881.721252;806.196289;144.207458;;;;794.143066;763.541382;143.440414;;;;;;;;;;;;;;;
50;1105.598267;821.490601;289.535736;754.945801;803.707764;89.605148;1121.089111;730.452942;436.987183;881.387817;803.648438;148.181686;;;;794.838440;759.385681;148.012482;;;;;;;;;;;;;;;
51;1106.696167;821.459045;290.064636;752.982605;799.799866;96.643829;1122.258789;730.446655;436.639648;881.300537;801.006592;151.767914;;;;795.760925;754.954224;152.732300;;;;;;;;;;;;;;;
52;1107.622803;821.316711;290.547394;752.169250;795.917664;103.052849;1122.848267;730.468018;436.646698;881.292297;798.102051;155.930206;;;;796.326965;750.091858;157.637741;;;;;;;;;;;;;;;
53;1109.094116;821.089478;291.559662;750.984131;791.395996;109.745224;1123.331421;730.541077;436.765167;880.952820;794.784546;159.931244;;;;797.074524;744.901001;162.653824;;;;;;;;;;;;;;;
