Grasp121;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:02:48;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;897.384399;381.833344;31.506495;910.336121;466.865051;82.477173;968.051270;668.532532;260.896301;815.015991;380.466980;30.145689;1088.649902;759.227966;438.644501;;;;;;;;;;;;
2;896.947021;381.889557;31.279932;909.623047;466.413788;84.949608;968.146545;670.171570;260.609863;814.953918;380.346588;30.267612;1089.145264;759.458252;438.528687;;;;;;;;;;;;
3;896.427612;382.259766;31.191067;909.072693;466.029633;86.625450;968.232727;671.579529;260.490662;814.954895;380.333038;30.232319;1089.597168;759.758667;438.499725;;;;;;;;;;;;
4;895.893982;382.792969;31.523525;908.464844;465.738983;88.423874;968.250488;672.952759;260.875610;815.018982;380.369446;30.527468;1090.111084;760.209656;438.307373;;;;;;;;;;;;
5;895.482971;383.164429;31.797083;907.583984;465.731079;90.496590;968.188599;674.854004;261.175995;815.148438;380.338409;30.664782;1090.920410;760.561584;438.453156;;;;;;;;;;;;
6;895.160706;383.479492;32.155430;906.233582;465.451996;93.153519;968.146667;676.468689;261.377686;815.395142;380.341156;31.017025;1091.583984;760.929626;438.550690;;;;;;;;;;;;
7;894.863037;383.673370;32.749748;905.388245;465.406494;95.045052;968.274475;678.408325;261.473969;815.755554;380.360779;31.977028;1092.246948;761.171265;438.820374;;;;;;;;;;;;
8;894.482239;383.850464;33.943409;904.508972;465.641510;97.345360;968.162964;679.871948;261.617584;815.838135;380.475525;33.610268;;;;;;;;;;;;;;;
9;894.318726;384.098999;35.269104;903.707764;465.832275;99.457397;968.333679;681.595459;261.677551;815.406799;380.408356;35.224926;;;;1093.589355;762.159607;438.980621;;;;;;;;;
10;893.946167;384.189606;36.513504;902.612183;466.101074;101.997864;968.661316;683.202637;261.525787;815.309570;380.032166;37.243317;;;;1094.349365;762.676636;438.738922;;;;;;;;;
11;893.151978;384.141663;38.216103;901.462585;466.269592;104.925842;969.155029;685.072449;261.827942;814.651306;379.971985;40.670021;;;;1095.071899;763.099243;438.643219;;;;;;;;;
12;892.056763;384.466064;40.962936;900.537903;466.668793;107.199280;969.810669;686.906860;261.609161;813.575317;379.832458;43.795315;;;;1094.990967;763.485840;439.007751;;;;;;;;;
13;891.053650;384.848389;43.771843;899.653748;467.249207;109.491333;969.258667;688.890564;262.233673;812.658813;379.936005;47.112244;;;;1095.108276;763.775085;439.435913;;;;;;;;;
14;890.144714;385.207581;46.474209;898.813477;467.857422;112.127251;968.890930;690.602722;262.711609;811.723267;380.299561;50.864567;;;;1095.674072;764.179932;439.570496;;;;;;;;;
15;888.928406;385.536896;49.260342;897.976501;468.678070;114.574371;969.243164;692.297302;263.096283;810.249023;380.463745;54.939335;;;;1096.319458;764.516602;439.856598;;;;;;;;;
16;887.325500;385.927704;52.852692;897.105652;469.645233;117.189468;969.863831;694.137695;263.411285;809.012085;381.135681;58.111263;;;;1097.326660;765.004517;439.844666;;;;;;;;;
17;885.990051;385.998047;55.565540;896.183105;470.282837;120.279869;970.557007;695.999573;263.311005;807.814270;382.243835;61.149059;;;;1097.852661;765.521606;440.358765;;;;;;;;;
18;884.585815;386.963257;58.959957;895.250488;470.873260;123.158783;970.936035;697.765686;263.530823;806.598206;383.540100;64.499573;;;;1098.279907;766.100281;440.653412;;;;;;;;;
19;882.954285;387.764404;62.130039;894.375244;471.998901;126.622322;970.935486;699.835510;263.781769;805.439209;384.657532;68.105377;;;;1098.531616;766.506165;440.819336;;;;;;;;;
20;881.331848;388.505859;65.215073;893.387817;473.143402;128.657837;971.255371;701.906433;263.850494;804.126770;385.497162;71.336334;;;;1099.437744;766.767151;440.737030;;;;;;;;;
21;879.669617;389.690338;68.171425;892.745544;474.422150;131.772903;971.834106;704.415894;264.159393;802.648254;386.952118;74.924721;;;;1100.013306;766.929749;441.082214;;;;;;;;;
22;878.518066;391.031494;71.352982;891.915466;475.741791;134.640152;972.346802;706.319275;264.351715;801.617371;388.989532;77.703995;;;;1100.656372;767.420715;441.580048;;;;;;;;;
23;876.645142;392.328918;74.619698;891.043945;477.311951;137.030960;972.632385;708.548828;264.413849;800.885193;390.219543;80.808846;;;;1101.237427;768.157898;442.184814;;;;;;;;;
24;874.933044;393.485016;77.574455;890.663452;478.516968;139.979141;973.248230;710.807983;264.582733;799.750793;392.115021;83.703743;;;;1102.273315;769.495300;442.407440;;;;;;;;;
25;873.433838;395.282227;80.323029;889.942871;480.152924;142.802185;973.677734;712.941284;264.936890;798.845764;393.985962;86.708916;;;;1102.913940;770.387024;442.797729;;;;;;;;;
26;872.143005;396.946594;82.792831;889.031006;482.036133;145.923035;974.135437;715.570618;265.379211;798.264465;395.237640;90.143822;;;;1103.413330;770.844971;443.160278;;;;;;;;;
27;870.298889;398.934784;85.549622;888.389404;483.540558;148.912918;974.785461;718.046753;265.694336;797.396362;397.414124;93.848160;;;;1103.501221;771.491028;443.695129;;;;;;;;;
28;868.887207;401.209839;88.883812;887.374878;485.259186;151.713760;975.516907;720.474548;265.968597;796.809082;398.896149;97.057625;;;;1104.320313;772.026428;443.937805;;;;;;;;;
29;867.080505;402.891205;91.494843;886.703064;487.495209;154.804901;976.449219;723.265503;266.006287;796.596863;400.887207;99.729851;;;;1104.918823;772.517700;444.127991;;;;;;;;;
30;865.627808;405.042725;94.334427;885.989868;489.299347;157.683228;977.766602;725.927490;265.737061;796.266602;402.884979;102.658195;;;;1105.959351;772.986328;444.458710;;;;;;;;;
31;863.738953;407.280060;97.642540;885.049500;491.538849;160.861099;978.509766;728.357178;266.083038;796.078064;405.107056;105.704254;;;;1106.727905;773.492188;444.627502;;;;;;;;;
32;862.037842;409.974030;100.735435;884.405640;493.614166;164.053543;979.511414;731.154480;266.358246;795.609192;407.127502;108.743248;;;;1107.045654;774.178284;444.831055;;;;;;;;;
33;860.436584;412.545471;103.406364;883.842590;495.823700;166.955521;980.097900;733.849548;266.483887;795.414673;409.730408;112.258972;;;;1107.504272;774.730713;445.052551;;;;;;;;;
34;858.647583;415.261719;106.522064;883.170044;498.485718;169.801270;981.020447;736.628845;266.299744;794.837097;412.037445;115.273277;;;;1108.465210;775.205750;445.573914;;;;;;;;;
35;856.653564;417.683868;110.045609;882.507813;500.688293;172.808273;982.379578;738.973328;267.013367;794.389954;414.864441;118.376839;;;;1109.815063;775.833679;445.717804;;;;;;;;;
36;854.969727;420.037994;113.202248;881.715698;503.348328;175.794128;983.690979;742.009094;267.253815;793.675476;417.864410;121.679268;;;;1110.724731;776.441040;445.997772;;;;;;;;;
37;853.096863;422.916290;116.324707;881.028442;506.154816;178.594940;984.561035;744.878845;267.610046;792.575684;420.760986;125.014786;;;;1111.416748;777.084229;446.133209;;;;;;;;;
38;851.027527;425.881897;119.494827;880.025452;508.744995;181.422867;985.202271;747.409729;267.619812;791.217346;423.775085;128.340210;;;;1112.303711;777.532959;446.318146;;;;;;;;;
39;849.321411;428.871857;122.647003;879.549072;511.453979;184.028732;986.410034;750.168701;267.774811;790.080872;427.241486;131.605927;;;;1113.345093;777.992249;446.579895;;;;;;;;;
40;847.511963;431.847931;125.094215;879.007690;514.664551;186.670334;;;;788.600647;431.014221;134.611053;;;;1114.242065;778.531128;446.959717;;;;;;;;;
41;845.549988;435.138641;127.614525;878.528625;517.839172;188.716614;;;;786.876160;434.867737;137.794281;;;;1114.893433;779.274963;447.297302;988.916626;755.700745;268.604523;;;;;;
42;843.455872;438.468781;130.520203;878.541260;519.618347;191.400879;;;;785.010498;438.657074;141.223770;;;;1115.709717;780.056213;447.367462;990.093567;757.979553;269.050629;;;;;;
43;841.707703;441.888245;132.997269;877.489746;523.906128;192.851212;;;;783.185486;442.475037;144.733261;;;;1116.495239;780.679382;447.621826;991.481567;760.789001;269.006805;;;;;;
44;840.213074;445.455139;135.022110;876.888428;527.437988;194.605560;;;;781.569641;446.324188;147.596207;;;;1117.398193;781.253418;447.913727;992.429688;763.694397;269.209351;;;;;;
45;838.400208;449.482056;137.502151;876.368286;530.796631;196.955856;;;;780.013245;450.448151;150.248062;;;;1118.477783;781.724609;448.357758;994.166382;766.077148;269.651917;;;;;;
