Grasp12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:17:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;967.663635;843.943848;89.718208;899.466553;766.356140;65.330482;1232.673462;932.714844;235.002304;1192.364868;899.700623;399.656921;833.512085;833.048645;65.456017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;967.087036;843.044250;90.512329;899.503357;764.854309;66.593025;1232.172729;932.657776;235.251633;1192.168823;899.532776;399.843079;832.572571;831.464783;66.437263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;965.665466;841.886963;91.551628;899.704468;762.833862;68.221771;1231.497803;932.591003;235.235413;1191.734131;899.525696;399.839722;831.652161;830.071899;67.091583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;964.719604;840.864746;92.130074;899.189514;761.187988;69.396332;1230.725952;932.412720;234.939255;1191.199341;899.566284;399.600128;831.254028;828.676453;68.198082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;964.371887;840.003174;92.503807;898.722290;759.533630;70.660339;1229.697632;932.317383;234.731293;1190.652344;899.467529;399.369446;830.255859;826.696716;69.463844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;963.380066;838.929626;93.433128;898.622742;757.603760;71.956192;1228.690796;932.122986;234.459930;1190.138672;899.257996;399.221558;829.279785;825.170044;70.183372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;962.130066;837.520569;94.195343;898.689148;755.882568;73.334442;1227.739746;931.983459;234.091110;1189.197754;899.168335;399.416412;828.612000;823.386902;71.431351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;961.617126;836.234436;94.659180;898.671570;753.648071;75.167244;1227.228149;931.730713;233.922043;1188.351318;899.033020;399.617523;827.443359;821.575806;72.992035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;960.629944;835.256287;95.756401;898.044861;751.675354;76.490501;1226.453247;931.466064;234.143097;1187.674072;898.957214;399.482361;826.299377;819.706177;73.884338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
