Grasp32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:44:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;903.511719;449.259949;39.343235;930.439819;541.450195;79.136993;808.130615;496.112244;33.995453;1123.498657;720.225647;355.463898;1051.748291;709.343689;220.302505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;903.477112;449.926025;41.227154;930.041077;542.048279;80.730415;808.357422;496.244263;34.341591;1125.090942;719.352234;355.177582;1053.222290;710.334106;220.493942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;903.585327;450.811035;43.077763;929.708862;543.219299;82.083931;808.943115;496.292358;35.060905;1125.681519;719.601379;354.884369;1054.372070;711.406128;220.587433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;903.830750;451.782623;45.115402;929.622131;544.746643;83.556015;809.525146;496.531067;37.943260;1126.157227;719.895935;355.034790;1054.831421;712.738831;220.935455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;903.989502;452.811890;47.768368;929.824707;546.040771;85.480499;809.756348;497.104675;39.993576;1126.884399;720.599854;355.137115;1055.915771;714.127747;221.337738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;903.676453;453.199097;51.365814;929.845886;547.397644;87.741058;810.410461;497.839081;43.170452;1127.301392;720.907959;355.093933;1057.758911;715.348022;221.632736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;903.513245;454.041840;55.163548;930.383728;548.990417;89.892342;810.657898;498.859222;46.550743;1127.683960;721.205017;355.545868;1059.247803;716.656006;221.750534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;904.359619;455.237762;58.559334;930.872925;550.480957;92.157021;811.129028;499.793365;50.199333;1129.024170;721.428040;355.623779;1060.495361;718.298218;222.008469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;905.369202;456.123444;61.525471;931.898682;552.215271;94.198326;812.083069;500.598816;54.015793;1130.602051;722.462708;355.634125;1062.274780;719.478210;222.587326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;906.125610;457.190155;64.624664;932.948242;553.492126;96.932671;813.317871;501.824615;57.228142;1131.503052;723.203430;355.798706;1064.647827;720.927856;222.416824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;906.960388;458.803558;67.608887;934.276123;555.278259;99.473923;814.723083;503.090057;61.251957;1132.554443;724.294617;355.996490;1066.303711;722.954590;222.498581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;908.492432;460.635468;70.737465;935.608948;556.826843;102.277008;816.427368;503.764465;64.898911;1133.687622;725.222717;355.983093;1067.664673;725.123230;223.233444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;910.503601;461.512207;75.355835;937.122803;558.304993;104.290916;818.353394;504.694366;68.327522;1135.055664;726.113708;356.290192;1069.665894;726.719788;223.684906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;911.501038;461.900177;79.884186;939.081909;560.003357;107.188560;820.892273;505.573425;72.002365;1136.627075;727.147644;356.463989;1071.524902;728.649658;224.325851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;912.769958;463.297394;83.518234;941.469055;561.575256;109.906143;823.552429;506.181458;75.752579;1138.957397;728.152100;356.590881;1075.079102;730.094177;224.304428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;914.871765;464.533783;87.410957;943.285950;563.553833;112.636559;826.916809;506.744385;79.134834;1140.765625;728.862732;357.177094;1077.617432;732.254822;223.607040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;916.650024;466.236633;90.864723;944.712708;566.055054;115.291298;829.529358;507.217377;82.758881;1142.249146;730.151001;357.488312;1079.810547;734.432312;224.185379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;918.946045;467.822815;94.009323;946.395508;567.833008;117.574738;833.067200;507.651733;86.675468;1144.119385;731.439575;357.445404;1081.495117;736.896484;225.316696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;920.712036;470.208466;97.302818;949.129883;569.661194;120.284744;837.009338;508.114960;90.605392;1146.053955;732.409424;357.979431;1083.993286;738.652466;225.624756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;922.146851;471.991699;100.979706;951.915344;571.627136;122.787704;840.528442;508.410461;94.291969;1148.402222;733.233154;358.456573;1088.330078;740.320496;224.887344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;924.615112;473.864746;104.116554;954.308594;573.867065;124.640274;844.467651;509.066284;97.903282;1150.454224;734.678589;358.663330;1090.631592;742.783325;225.847488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
