Sequential43;;;
Date:;2025/04/22;;
Time:;17:13:39;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;914.546814;641.087402;86.755684
2;914.141235;641.285278;87.311607
3;914.131165;641.470520;87.945686
4;914.061462;641.634521;88.347565
5;913.976685;641.835510;88.728661
6;913.947205;642.242493;89.100357
7;913.787964;642.473511;89.970001
8;913.428040;642.834534;90.818810
9;912.708923;643.470459;92.280670
10;912.053223;644.034302;93.279694
11;911.447754;644.528687;94.167091
12;910.891602;644.843140;95.033958
13;910.168152;645.199402;95.795914
14;909.333679;645.784912;96.797653
15;908.384705;646.442017;97.972229
16;907.433167;647.152466;99.027306
17;906.295044;647.661865;99.673149
18;904.818787;648.435059;100.224289
19;903.434204;649.057922;101.692574
20;901.793213;649.418274;103.079132
21;899.704224;649.891235;104.018631
22;897.600708;650.320496;104.909172
23;895.984009;651.130493;106.116623
24;893.626099;651.960266;107.054367
25;890.846069;652.641968;108.043243
26;888.650879;653.281921;109.354195
27;885.772339;653.930542;110.545570
28;882.882019;654.435364;111.660995
29;879.714417;654.857117;113.015251
30;876.539917;655.592285;113.814949
31;873.157654;656.150330;114.821648
32;869.902588;656.742371;116.122581
33;866.243225;657.480591;117.420433
34;862.149231;658.092651;118.627388
35;858.375366;658.711731;119.632706
36;854.626404;659.269958;120.214981
37;850.978882;659.843140;121.415298
38;846.897461;660.225708;122.289642
39;842.708435;660.733948;122.832787
40;838.784668;661.223755;123.727219
41;834.360901;661.758362;124.303833
42;829.947632;662.386658;124.756302
43;825.683594;662.907227;125.744904
44;821.526733;663.219360;126.592850
45;817.440735;663.496277;126.932709
46;813.617004;663.897461;127.392319
47;809.386292;664.214478;127.915070
48;805.051575;664.704041;128.088028
49;800.981323;664.937866;128.024918
50;796.904419;665.041809;128.292175
51;792.759583;665.085632;128.943604
52;788.775146;665.172058;129.707718
53;784.570068;665.230896;129.846313
54;780.803894;665.449707;130.363449
55;777.210144;665.651611;130.493896
56;772.977539;665.624451;130.478943
57;768.920166;665.479370;130.527634
58;765.119141;665.316528;130.330338
59;761.627380;665.242798;130.285553
60;757.693542;665.093018;130.432678
61;754.238464;664.988708;129.769669
62;750.729858;664.691711;129.241638
63;747.109070;664.469299;129.466690
64;743.880310;664.185608;129.868118
65;740.613831;663.884033;129.378571
66;737.258362;663.541138;128.830048
67;734.558228;663.128479;128.143753
68;731.434204;662.745911;127.930672
69;728.131592;662.100891;127.318398
70;725.817993;661.664856;126.973862
71;722.879089;661.294128;126.696571
72;720.082581;660.914307;125.766197
73;717.522766;660.357666;125.527176
74;714.896729;659.674011;124.966179
75;712.915222;659.306274;124.680672
76;710.320923;658.999634;123.614464
77;708.287598;658.576172;122.716240
78;705.898315;658.280640;121.628159
79;703.990601;657.692932;121.188843
80;702.115295;657.281860;120.629456
81;699.695557;657.069031;119.512878
82;698.068481;656.908752;118.904778
83;696.137695;656.677612;118.095596
84;694.427612;656.207703;116.732849
85;693.104431;656.048767;115.295044
86;691.526306;655.966370;114.156021
87;689.881897;655.694946;113.595100
88;688.336121;655.522400;112.608719
89;687.059631;655.483032;111.177124
90;686.008850;655.447693;109.205887
91;684.967834;655.334290;108.400299
92;683.858948;655.352234;107.391060
93;682.847900;655.249878;105.926849
94;682.426941;655.069092;104.810310
95;681.553894;655.278870;103.400230
96;680.596924;655.379578;101.845016
97;679.774109;655.365417;100.827103
98;678.902039;655.433044;99.548561
99;678.540161;655.446716;97.985405
100;678.062927;655.442322;96.096405
101;677.492920;655.410645;94.740707
102;677.142822;655.477844;93.037262
103;676.945862;655.300903;91.290680
104;676.916687;655.064270;90.055794
105;676.887207;655.176270;89.284447
106;676.880371;655.186768;87.818161
107;676.735229;655.169800;86.846718
108;676.310486;655.104614;86.363113
109;675.726440;655.035217;86.154800
110;675.152222;654.985474;85.993034
111;674.570923;655.009705;85.857193
112;673.822754;655.051636;85.501366
113;673.303162;654.898804;84.805984
114;672.916626;654.795410;84.667892
115;672.633850;654.792236;84.546127
116;672.228271;654.744629;84.291039
117;671.993286;654.493591;84.054924
118;671.587585;654.292053;83.992188
119;671.339417;654.063477;83.782440
120;671.187195;653.837891;83.518425
121;671.060120;653.657776;83.453415
122;670.712769;653.641052;83.119400
123;670.640015;653.464233;83.024178
124;670.618103;653.332397;82.933533
125;670.438660;653.337097;82.766647
126;670.493347;653.261597;82.724525
127;670.487061;653.247131;82.636116
128;670.421692;653.252014;82.552238
129;670.453552;653.249634;82.488022
130;670.474365;653.250549;82.471100
131;670.395630;653.270264;82.392456
132;670.423523;653.346863;82.284088
133;670.439087;653.365540;82.243408
134;670.418274;653.459412;82.190659
135;670.367432;653.488647;82.134346
136;670.453674;653.572205;82.130699
137;670.458252;653.581543;82.060272
138;670.410217;653.691406;82.064392
139;670.402527;653.701965;82.040688
140;670.351929;653.799011;81.949699
141;670.339233;653.823975;81.966843
142;670.251831;653.937683;81.852486
143;670.272339;653.955811;81.837372
144;670.225342;653.941650;81.838417
145;670.166870;653.958984;81.768723
146;670.222046;654.030945;81.751190
147;670.209106;654.062561;81.617432
148;670.190857;654.067078;81.557266
149;670.122620;654.059998;81.557343
150;670.114990;654.070496;81.536072
151;670.142334;654.067444;81.485336
152;670.119934;654.053467;81.487999
153;670.142700;654.042114;81.483299
154;670.158997;653.956055;81.441864
155;670.156677;653.929932;81.437576
156;670.199707;653.927246;81.389854
157;670.152405;653.937134;81.413765
158;670.175232;653.931946;81.385201
159;670.218689;653.927124;81.346550
160;670.270630;653.940491;81.290192
161;670.291443;653.840820;81.332901
162;670.366089;653.752930;81.140663
163;670.426941;653.752014;80.993431
164;670.474304;653.766846;80.954475
165;670.496277;653.750671;81.021606
166;670.451477;653.857727;80.958839
167;670.509399;653.866943;80.939049
168;670.492188;653.878906;80.971741
169;670.528625;653.881348;81.003677
170;670.408081;653.942749;81.152718
171;670.430359;653.884094;81.053604
172;670.473389;653.878662;80.976067
173;670.563965;653.871765;81.007919
174;670.601196;653.957886;80.929504
175;670.588501;653.995605;80.867035
176;670.705322;653.979431;80.729424
177;670.793762;653.985413;80.613350
178;670.877747;654.076294;80.571312
179;670.954041;654.049805;80.375221
180;671.031250;654.192688;80.401840
181;671.109985;654.299194;80.378555
182;671.100159;654.304565;80.322182
183;671.178772;654.376343;80.096870
184;671.183044;654.437622;80.183578
185;671.160339;654.545166;80.248978
186;671.160156;654.549561;80.219002
187;671.184509;654.553406;80.161522
188;671.182434;654.638367;80.212364
