Zigzag49;;;
Date:;2025/04/22;;
Time:;17:30:01;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;876.038330;383.071106;29.995020
2;875.993347;383.053040;29.942463
3;875.906433;383.075470;30.008801
4;875.958008;383.055878;29.977922
5;875.951965;383.077576;29.995285
6;875.897400;383.081421;30.029835
7;875.954468;383.066528;30.011889
8;875.880310;383.079071;30.000528
9;875.933289;383.083832;30.113785
10;875.887817;383.077606;30.064888
11;875.830750;383.096069;29.935246
12;875.851135;383.099701;30.021223
13;875.898499;383.078491;30.056168
14;875.838684;383.091431;30.045073
15;875.789429;383.107056;30.012667
16;875.820557;383.107910;30.026083
17;875.807617;383.095917;29.970869
18;875.765381;383.104889;30.008375
19;875.761597;383.094879;30.009171
20;875.769409;383.091827;30.000534
21;875.786316;383.023529;30.088053
22;875.666077;383.011414;30.013411
23;875.644653;383.018433;29.989679
24;875.538330;382.924622;30.021601
25;875.539429;382.900085;30.071171
26;875.549011;382.814850;30.109705
27;875.536926;382.697266;30.098934
28;875.551270;382.577393;30.098341
29;875.558838;382.468048;30.065174
30;875.523315;382.323242;30.074940
31;875.453064;382.106628;30.174833
32;875.421997;381.854706;30.234079
33;875.334106;381.626526;30.346264
34;875.307739;381.255493;30.404007
35;874.745728;380.808929;30.487896
36;874.785217;380.507568;30.377113
37;874.539001;379.688873;30.283831
38;874.488159;378.783752;30.345499
39;874.988831;377.943237;30.086090
40;874.618225;376.940430;30.481358
41;874.087341;375.667633;30.517742
42;873.946289;374.260864;30.356127
43;873.834412;373.069855;30.225359
44;873.441101;371.826019;30.230633
45;873.092896;370.362610;30.191031
46;872.723389;368.994110;30.214190
47;872.605957;367.313171;30.153154
48;872.624329;365.307922;29.952538
49;872.652893;363.574036;30.264627
50;872.074646;361.345154;30.447491
51;871.726624;359.612732;30.304420
52;871.705322;357.496185;30.048622
53;871.660156;355.388519;30.202616
54;871.868164;353.272369;29.912590
55;871.756958;350.756348;29.903728
56;871.227234;348.381409;29.659267
57;871.255371;345.745422;30.110415
58;871.319580;343.152832;30.208054
59;871.396667;340.786224;29.901531
60;871.317749;337.836182;29.588930
61;871.262207;334.999542;29.615978
62;871.348145;332.295563;30.093811
63;871.506042;329.133392;29.901827
64;871.431824;325.828339;29.984224
65;870.927795;323.076294;30.027582
66;871.365723;320.151794;29.701294
67;871.665649;316.942841;29.566256
68;871.339233;313.877930;29.708120
69;870.409241;310.544617;29.698013
70;871.173340;307.688049;29.192625
71;871.656982;304.769836;29.531769
72;871.550842;301.369202;29.658585
73;871.682007;298.154419;29.225546
74;871.671143;295.199097;29.128109
75;872.053955;292.160797;29.355152
76;872.027649;288.901611;29.466238
77;872.230957;285.759857;29.388798
78;872.204346;282.886108;28.954874
79;872.233948;280.089783;28.994896
80;872.690002;276.716583;29.380529
81;872.514221;273.396729;29.089228
82;872.469238;270.549530;29.075899
83;872.543396;267.812286;28.737591
84;872.754822;264.608032;28.578817
85;872.864685;261.395782;29.103346
86;872.977234;258.492004;29.107475
87;873.105530;255.634766;28.440588
88;873.271667;252.493271;28.540438
89;873.391785;249.633179;29.043955
90;873.538757;246.814270;28.791563
91;873.974060;243.946030;28.765099
92;873.695374;241.298004;28.944687
93;873.473145;238.913620;28.652842
94;873.737793;236.072235;28.406540
95;873.927551;233.644623;28.617916
96;873.795288;231.556915;29.022303
97;873.679260;228.955948;28.739891
98;873.858948;226.725769;28.121407
99;873.638550;224.373123;28.039814
100;873.697205;222.573608;28.358259
101;873.737976;220.166412;28.992641
102;873.479492;218.031555;28.723852
103;873.735352;215.863998;28.444410
104;873.993225;214.213318;28.309587
105;873.871704;212.265167;28.468351
106;873.867798;210.446152;28.322653
107;873.822388;208.474594;28.164770
108;874.006531;207.006790;28.370687
109;874.036499;205.186554;28.428596
110;873.994751;203.436829;28.622190
111;874.032410;202.139313;28.428637
112;873.885986;200.591446;28.325968
113;873.664063;199.261581;28.202593
114;873.443237;198.127014;28.131710
115;873.367737;196.683243;28.144098
116;873.586182;195.225235;27.703602
117;873.630554;194.433624;27.932495
118;873.312317;193.087753;27.836695
119;873.297424;191.709091;28.354723
120;873.251160;190.814560;28.494978
121;872.974365;189.881424;28.432713
122;872.732666;188.737091;28.390652
123;872.639465;187.589355;28.422852
124;872.526062;186.840179;28.201530
125;872.448792;185.903076;27.802931
126;872.463562;184.803467;27.819599
127;872.614990;183.699799;27.874310
128;872.600525;182.999557;27.902660
129;872.456909;182.433273;27.961418
130;872.216797;181.550201;27.957153
131;872.178467;180.505737;28.354628
132;871.987244;179.668411;28.672409
133;871.955139;178.998047;28.686554
134;871.891968;178.444916;28.363775
135;871.900696;177.729462;28.129333
136;871.673828;176.803406;27.973038
137;871.671509;176.173141;27.848782
138;871.643677;175.618027;27.904381
139;871.454224;175.172745;27.677576
140;871.498779;174.870056;27.502838
141;871.427795;174.464661;27.450209
142;871.301147;173.982468;27.588564
143;871.162659;173.496704;27.816900
144;871.095459;172.975235;27.956121
145;870.943176;172.625214;28.081200
146;870.781494;172.299927;28.158646
