Trial07
Date:,2025/04/01
Time:,13:56:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
1,1009.008301,663.458862,31.955173
2,1008.951599,663.432983,31.871742
3,1008.960571,663.440002,31.873493
4,1008.961243,663.444641,31.892426
5,1008.988281,663.419861,31.871033
6,1009.030457,663.378174,31.887239
7,1009.010742,663.370605,31.884066
8,1008.968384,663.365051,31.848080
9,1008.951172,663.368469,31.836351
10,1008.905334,663.356201,31.749203
11,1008.894531,663.312500,31.723055
12,1008.833618,663.338989,31.882547
13,1008.756409,663.351379,31.860542
14,1008.534546,663.370972,32.011497
15,1008.458435,663.374023,32.153477
16,1008.408447,663.340454,32.191051
17,1008.252075,663.331055,32.169559
18,1008.135071,663.331482,32.199963
19,1008.095764,663.402893,32.177223
20,1007.607117,663.413330,32.277973
21,1006.884460,663.495483,32.427071
22,1006.084595,663.500671,32.086826
23,1004.874023,663.418030,32.051720
24,1003.840393,663.174011,32.136482
25,1002.408447,662.926392,32.043453
26,1000.984924,662.766296,31.989912
27,999.285706,662.508545,32.155869
28,997.589966,662.164856,31.913652
29,995.711853,661.751709,31.862177
30,993.666443,661.293457,31.967667
31,991.618958,660.752136,31.797247
32,989.411926,660.217224,31.598978
33,987.202820,659.555542,31.521576
34,984.926636,658.886536,31.670702
35,982.691223,658.099976,31.773195
36,980.249573,657.523560,31.738966
37,977.874634,656.707336,31.622295
38,975.745361,655.823181,31.327877
39,973.489014,655.110718,31.345247
40,971.187683,654.391663,31.427071
41,968.870667,653.550659,31.530474
42,966.567261,652.619263,31.740143
43,964.672424,651.592468,31.111429
44,962.283630,650.815186,31.064772
45,959.948914,650.022339,30.940771
46,957.673828,648.881348,30.687475
47,955.419617,647.865112,30.722647
48,953.311523,646.989624,30.436384
49,950.803162,646.044556,30.936914
50,948.637939,644.972290,30.959736
51,946.514099,644.017700,30.544962
52,944.268372,642.851196,30.544628
53,942.259216,641.812805,30.320484
54,940.159790,640.768921,30.383497
55,937.947449,639.525085,30.498314
56,936.100891,638.376465,30.206940
57,933.812500,637.332886,30.095650
58,931.731995,635.982605,30.047363
59,929.815430,634.806152,29.901154
60,927.718201,633.682861,30.015865
61,925.821838,632.303955,29.926022
62,923.873108,631.029724,29.887217
63,921.984985,629.806458,29.944366
64,920.381042,628.260132,30.174107
65,918.690674,627.011597,29.739214
66,917.250000,625.517212,29.678381
67,915.453308,623.938293,29.688995
68,914.067871,622.614258,29.546047
69,912.839355,620.873657,29.273085
70,911.248901,619.553955,29.388556
71,909.653198,618.112000,29.665564
72,908.351196,616.394653,29.834507
73,907.180847,614.984680,29.531588
74,906.110962,613.298462,29.159813
75,904.443237,611.872803,29.404226
76,903.201111,610.212708,29.359243
77,902.224426,608.330322,29.174295
78,901.211365,606.833130,28.981253
79,900.343750,605.120361,28.904255
80,898.970947,603.471069,29.092861
81,898.180542,601.685120,29.449297
82,897.021667,599.925781,29.230394
83,896.229614,598.223999,28.903223
84,895.531311,596.320435,28.745241
85,894.774231,594.585876,28.676020
86,894.163452,592.704285,28.621365
87,892.957703,590.874756,29.210171
88,892.340515,588.950500,29.086294
89,891.256714,587.139526,29.044943
90,890.672546,585.223083,28.853497
91,890.208191,583.397888,28.770344
92,889.597595,581.376099,28.856228
93,889.205688,579.407654,28.823542
94,888.961792,577.298828,28.656677
95,888.245544,575.321594,28.595104
96,888.208862,573.191345,28.236315
97,887.904846,571.218750,28.199644
98,887.533752,569.186768,28.309908
99,886.874634,567.210510,28.533707
100,886.677429,565.116638,28.674742
101,886.173096,562.833984,28.419933
102,885.846252,560.504089,28.273190
103,885.072266,558.539551,28.693314
104,884.731445,556.147461,28.845463
105,884.351135,554.284485,28.847435
106,884.068665,551.745422,28.605017
107,883.856201,549.719360,28.267557
108,883.694885,547.305725,28.424383
109,883.464966,545.213318,28.604548
110,883.173279,543.037170,28.639832
111,882.894165,540.699890,28.521072
112,882.950562,538.460571,28.247871
113,882.783752,536.208374,28.527308
114,882.952515,534.090454,28.490274
115,882.866821,531.632996,28.591637
116,883.101868,529.487793,28.354700
117,883.359802,526.976868,28.377136
118,883.548645,524.954773,28.445581
119,883.748474,522.654480,28.698957
120,884.477844,520.180481,28.256508
121,884.920044,518.034485,28.139639
122,885.618652,515.508118,28.001631
123,886.089905,513.238525,28.071194
124,886.398743,510.918060,28.107143
125,886.757019,508.686676,28.249590
126,887.180542,506.187531,28.577209
127,887.646973,503.903748,28.532192
128,888.502991,501.692566,28.710600
129,889.551331,499.082703,28.315386
130,890.343140,496.939056,28.421009
131,891.319763,494.462830,28.294228
132,892.073608,492.132935,28.282761
133,893.006287,489.858063,28.488058
134,894.070251,487.488831,28.409258
135,895.392883,485.357880,28.555895
136,897.116577,482.716187,28.574757
137,898.261230,480.592194,28.374174
138,899.502686,478.093811,28.494896
139,901.413330,475.928986,28.381353
140,903.114563,473.691376,28.615919
141,904.663086,471.487976,28.630289
142,906.761475,469.179749,28.419107
143,908.693420,466.839142,28.661291
144,910.327271,464.917694,29.168295
145,912.765625,462.501709,28.743359
146,914.663696,460.592377,28.876892
147,916.673279,458.353821,28.946928
148,918.906982,456.355072,28.728830
149,920.887512,454.281738,29.156630
150,923.170898,452.395081,29.152308
151,925.417297,450.406433,29.384010
152,927.998718,448.509033,29.184435
153,930.690613,446.417542,29.054365
154,932.723328,444.906403,29.698135
155,935.849304,442.958801,29.723600
156,938.575562,441.454987,29.642799
157,941.457764,439.811859,29.572357
158,944.530640,438.158783,29.500681
159,947.442322,436.846497,29.896503
160,950.711609,435.390839,29.509993
