Circle64
Date:,2025/04/28
Time:,14:11:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2
Field #,X,Y,Z,X,Y,Z
1,812.970032,-26.400673,22.737463,,,
2,812.978699,-26.573458,22.827166,,,
3,812.834167,-26.706635,22.802324,,,
4,812.705688,-26.922331,22.825876,,,
5,812.709167,-27.216183,22.769159,,,
6,812.659851,-27.470255,22.778336,,,
7,812.580078,-27.799522,22.817480,,,
8,812.455078,-28.129681,22.807020,,,
9,812.362366,-28.497782,22.807253,,,
10,812.156677,-29.051277,22.920427,,,
11,812.097595,-29.582951,22.974117,,,
12,811.913635,-30.081345,22.931236,,,
13,811.754578,-30.446537,22.923454,,,
14,811.493408,-31.006985,22.937820,,,
15,811.313354,-31.588388,23.021776,,,
16,811.040588,-32.107208,22.981741,,,
17,810.948730,-32.911873,22.933683,,,
18,810.805420,-33.679466,22.881165,,,
19,810.611145,-34.270054,22.866217,,,
20,810.661316,-34.946030,22.829235,,,
21,810.316223,-35.446842,22.669994,,,
22,809.896790,-35.954346,22.660856,,,
23,809.586182,-36.997540,22.891922,,,
24,809.228455,-37.920933,22.838717,,,
25,809.070374,-38.560902,22.719477,,,
26,808.708069,-39.094746,22.604273,,,
27,808.449280,-39.754314,22.561079,,,
28,808.105042,-40.893589,22.313736,,,
29,807.740051,-41.712585,22.606390,,,
30,807.329407,-42.671261,22.620565,,,
31,807.158508,-43.537209,22.627613,,,
32,806.800537,-44.585182,22.532906,,,
33,806.567444,-45.771523,22.341646,,,
34,806.196045,-46.717293,22.435814,,,
35,805.608582,-47.647995,22.638866,,,
36,805.141296,-48.792896,22.878605,,,
37,804.959167,-49.853172,22.890755,,,
38,804.631287,-50.947651,22.907202,,,
39,803.909424,-52.183575,22.858284,,,
40,803.369202,-53.353996,22.955509,,,
41,802.897400,-54.386551,22.839584,,,
42,802.363037,-55.450981,22.724115,,,
43,801.728455,-56.758980,22.718630,,,
44,801.128296,-58.044746,22.987724,,,
45,800.652344,-58.980797,23.004383,,,
46,799.519470,-60.359119,23.480762,,,
47,799.129456,-61.484463,23.116699,,,
48,798.672302,-62.588459,22.867582,,,
49,797.865356,-63.806545,22.702702,,,
50,797.057129,-64.933090,22.689159,,,
51,796.190735,-66.039413,22.601261,,,
52,795.620544,-67.194145,22.537949,,,
53,794.743896,-68.421288,22.410702,,,
54,793.841309,-69.644485,22.456207,,,
55,793.037537,-70.811470,22.674042,,,
56,792.304565,-71.858376,22.693523,,,
57,791.100342,-72.992439,22.314243,,,
58,790.252441,-74.231773,22.236429,,,
59,789.509094,-75.346909,22.342550,,,
60,788.730896,-76.701126,22.259771,,,
61,787.815247,-77.990120,22.194643,,,
62,787.058533,-79.054779,22.183811,,,
63,785.950500,-80.280624,22.018309,,,
64,784.926392,-81.520302,22.114498,,,
65,784.193359,-82.597839,22.154362,,,
66,783.215271,-83.818344,22.165855,,,
67,782.384216,-85.170807,22.251419,,,
68,781.517944,-86.395401,22.009975,,,
69,780.760193,-87.827133,21.998035,,,
70,779.809509,-89.173019,21.930937,,,
71,778.889771,-90.192604,21.806139,,,
72,777.771301,-91.506561,21.810669,,,
73,776.886780,-92.722527,21.923220,,,
74,776.280334,-93.952255,21.862743,,,
75,775.102539,-95.153381,22.040308,,,
76,774.227295,-96.512703,22.097172,,,
77,773.188538,-97.679321,21.804468,,,
78,772.267029,-99.012184,21.613853,,,
79,771.396362,-100.220078,21.645153,,,
80,770.364136,-101.374908,21.450621,,,
81,769.268921,-102.572594,21.678999,,,
