Grasp68
Date:,2025/04/22
Time:,16:06:55
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,795.674438,489.224579,30.501829,973.372070,681.446899,307.978973,1014.520996,797.990356,504.498016,891.203247,478.454742,33.978008,905.591797,569.032104,61.663601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,795.534851,489.166290,30.546509,973.464478,681.687134,308.115021,1014.749634,798.068848,504.585358,890.753540,478.498322,34.063972,905.512451,568.781921,61.905853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,795.435364,489.153412,30.599886,973.658875,681.953308,308.345825,1015.000732,798.221802,504.786469,890.599365,478.239532,34.013340,905.332336,568.532043,62.212990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,795.269714,489.069153,30.664650,974.000061,682.324219,308.549194,1014.964233,798.476318,505.249207,890.305115,477.902069,33.927879,905.145752,568.372070,62.433365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,795.103638,488.937714,30.743515,974.267212,682.728943,308.738037,1015.568726,798.746582,505.402527,889.791321,477.640930,33.969627,904.888672,568.035400,62.742298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,794.855225,488.723083,30.768471,974.630188,683.152893,308.908752,1015.298889,799.045898,505.628845,889.320679,477.441833,34.004654,904.441223,567.568359,63.303696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,794.668579,488.419647,31.004526,974.999939,683.659790,308.987579,1015.352600,799.231445,505.764618,888.853943,477.083984,33.873348,903.972839,566.804504,63.820557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,794.242065,488.232971,31.002382,975.604675,684.105530,309.257263,1015.477539,799.528259,505.607422,888.409241,476.691528,33.745522,903.490845,566.018433,64.286064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,793.818909,487.932556,30.969524,976.057068,684.617188,309.472717,1015.853943,799.704651,505.559296,887.982666,476.165253,33.593582,903.238464,565.404846,64.853378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,793.320068,487.775604,30.957071,976.638855,685.392944,309.668701,1016.261597,799.918396,505.458344,887.670776,475.694305,33.276592,902.845520,564.757568,65.488190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,792.650940,487.654388,30.817486,977.021545,686.220703,309.750702,1016.706909,800.193359,505.403290,887.385376,475.154816,32.922665,902.419128,564.141968,66.046806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,792.043945,487.435028,30.716593,977.376160,687.147583,309.868317,1017.174011,800.451843,505.652130,886.748413,474.662201,32.800716,901.982544,563.215759,66.713486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
