Grasp115
Date:,2025/04/23
Time:,10:07:05
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,911.112915,521.443726,74.991547,792.287964,466.972382,30.234655,1134.668213,757.682495,473.279449,869.493286,449.808472,29.545874,1069.789185,728.931213,288.183411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,911.152039,521.493774,74.909569,792.486938,467.156769,29.967339,1134.558105,757.753967,473.338531,869.509277,449.801544,29.504482,1069.948242,729.034912,288.106506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,911.161255,521.502808,74.893921,792.487915,467.181671,29.930794,1134.685669,757.895203,473.301086,869.540466,449.808136,29.508650,1069.963135,729.055359,288.089691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,911.186279,521.482483,74.896477,792.490356,467.164154,29.956106,1134.837769,758.057678,473.038757,869.517517,449.803741,29.503111,1069.879639,729.052246,288.053894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,911.190247,521.475952,74.899185,792.284912,467.007538,30.215046,1134.877808,758.075378,472.865601,869.655273,449.729767,29.585533,1069.796997,729.165649,288.078613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,911.118958,521.485840,74.913719,792.409424,467.142120,30.013376,1134.837646,758.162476,472.885864,869.521301,449.761993,29.519938,1069.737549,729.197327,288.032471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,911.154785,521.393372,74.934204,792.501526,467.186279,29.957790,1134.801270,758.305786,472.937561,869.494446,449.802185,29.500511,1069.743286,729.268188,288.043335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,911.153625,521.468567,74.920403,792.273865,467.016937,30.205324,1134.818970,758.340576,472.917419,869.528259,449.779266,29.448950,1069.669312,729.297302,288.010254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,911.182861,521.485474,74.900589,792.199341,466.978149,30.322746,1134.786865,758.413513,472.850494,869.503967,449.789612,29.477163,1069.654541,729.312866,287.972168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,911.146118,521.502930,74.935455,792.433472,467.115784,30.038826,1134.800293,758.455200,472.761017,869.505249,449.801056,29.505709,1069.630127,729.406860,287.995575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,911.174133,521.480347,74.912865,792.343201,467.030609,30.140591,1134.819946,758.553101,472.782196,869.507935,449.801910,29.509022,1069.611816,729.431763,288.019684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,911.189453,521.475586,74.898438,792.412354,467.143524,30.029549,1134.863403,758.585815,472.752258,869.480408,449.722748,29.519800,1069.557251,729.436890,287.972382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,911.159851,521.492065,74.903961,792.456299,467.172394,29.986031,1134.911865,758.854736,472.421417,869.499878,449.772522,29.518930,1069.491821,729.523621,287.927246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,911.179626,521.480835,74.903137,792.293274,467.125366,30.095379,1134.922607,758.704956,472.575012,869.504761,449.793518,29.455778,1069.451050,729.575745,287.786987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,911.188599,521.476685,74.900009,792.400940,467.148865,30.055838,1135.346924,758.691650,472.220703,869.493591,449.802277,29.475107,1069.386475,729.689026,287.813110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,911.128052,521.450378,74.973091,792.481689,467.187592,29.911924,1135.397583,758.742126,472.142761,869.496460,449.732208,29.527241,1069.367432,729.713928,287.718750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,911.160461,521.472046,74.968369,792.473206,467.204742,29.909611,1135.447632,758.890686,472.052979,869.504639,449.773468,29.524626,1069.259399,729.748657,287.642242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,911.193115,521.488159,74.888275,792.544556,467.375763,29.951946,1135.312988,758.850647,472.222992,869.509216,449.802948,29.506634,1069.176514,729.754089,287.595306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,911.228943,521.526062,74.869438,792.504211,467.213196,29.973141,1135.358398,758.975464,472.094025,869.481750,449.729126,29.514210,1069.163574,729.849365,287.625061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,911.162781,521.530518,74.767242,792.439697,467.146576,30.010530,1135.198730,758.984985,472.113190,869.524353,449.744476,29.465868,1069.139893,729.869568,287.548096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,911.178101,521.464417,74.819328,792.445557,467.258545,29.929951,1135.228027,759.166443,472.320068,869.531433,449.770691,29.479488,1069.182983,729.870300,287.440735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,911.227234,521.527344,74.814384,792.450134,467.210724,29.899126,1135.030884,759.272095,472.514709,869.513611,449.801514,29.501825,1069.136841,729.986633,287.461548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,911.216309,521.560059,74.732506,792.467529,467.236053,29.946331,1134.763794,759.322021,472.533722,869.478271,449.727142,29.520689,1069.103638,730.030029,287.467224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,911.184204,521.440247,74.755684,792.507507,467.170441,29.946815,1134.621582,759.415833,472.639862,869.557556,449.674377,29.482382,1069.052490,730.024902,287.412659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,911.219360,521.519897,74.722519,792.513306,467.221771,29.961100,1134.739502,759.616028,472.492615,869.575500,449.678680,29.501804,1069.000854,730.069275,287.395020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,911.199890,521.525513,74.744225,792.551025,467.349396,30.021677,1134.495117,759.618164,472.636871,869.519409,449.780640,29.510601,1069.053467,730.051514,287.504761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,911.188232,521.512329,74.752571,792.533264,467.364746,30.028708,1134.470581,759.796570,472.498718,869.474365,449.735931,29.518309,1069.000122,730.065918,287.449036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,911.155518,521.524658,74.760246,792.471069,467.275909,29.994005,1134.497192,759.928894,472.420044,869.487549,449.709503,29.540543,1068.986206,730.069031,287.421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,911.181091,521.512695,74.755203,792.476013,467.276062,29.909693,1134.456299,760.032898,472.377197,869.486206,449.770569,29.510508,1068.891602,730.285767,287.354034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,911.191956,521.509277,74.750046,792.460266,467.163727,29.947252,1134.289063,760.089722,472.327362,869.508118,449.816895,29.532980,1068.880249,730.238708,287.367126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,911.201660,521.582458,74.725563,792.437744,467.153198,30.025564,1134.214600,760.254822,472.308289,869.518982,449.806702,29.517218,1068.892456,730.197754,287.370117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,911.163330,521.545593,74.745834,792.393494,467.200836,29.964308,1134.040161,760.328918,472.309937,869.506653,449.691772,29.467360,1068.864746,730.295532,287.401611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,911.147705,521.565125,74.844315,792.401367,467.260681,29.982597,1133.983276,760.433716,472.274841,869.540955,449.745911,29.500755,1068.773071,730.352051,287.342102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
