Grasp116
Date:,2025/04/24
Time:,15:38:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,824.873047,804.207214,35.437157,962.842285,800.579895,70.788406,1196.266968,809.790161,474.976563,888.666321,742.867737,34.295853,1121.854736,856.994812,288.572632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,824.830872,804.317749,35.473206,962.807373,800.590271,70.806488,1196.284912,810.385132,475.049988,888.699951,742.865234,34.221039,1121.793091,857.403809,288.549713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,824.857483,804.240540,35.327961,962.904663,800.685669,70.762482,1196.409790,811.043396,475.009155,888.342896,742.755615,34.651253,1121.836792,857.693359,288.543823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,824.939087,804.282471,35.333591,962.888000,800.721069,70.748558,1196.311646,811.661499,475.119537,888.470093,742.739929,34.506329,1121.772583,858.048767,288.518829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,824.907410,804.296570,35.412479,962.851501,800.720154,70.781052,1196.190918,812.199158,475.168213,888.669434,742.885803,34.374382,1121.790283,858.636963,288.301697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,824.846436,804.288818,35.438210,962.831177,800.689941,70.808044,1196.064819,812.802856,475.148773,888.722534,742.967407,34.357170,1121.978882,859.929382,288.312378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,824.856995,804.312988,35.491276,962.794434,800.697754,70.848282,1195.974243,813.428040,474.964691,888.708679,742.966675,34.375019,1122.090088,860.985107,288.037384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,824.861450,804.350647,35.500645,962.786865,800.790588,70.859734,1195.966187,814.184875,475.018188,888.692444,743.010315,34.355583,1122.357056,860.667847,287.906921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,824.872864,804.361694,35.408943,962.774292,800.828003,70.940559,1195.748413,814.841187,474.873108,888.988953,743.254517,34.244423,1122.685547,860.877136,287.791351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,824.904724,804.408203,35.381306,962.751160,800.829163,70.994720,1195.608765,815.429932,474.802673,889.169373,743.432434,34.093567,1122.772095,861.425720,287.626160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,824.852112,804.511841,35.604389,962.710266,800.774658,71.116272,1195.294922,816.029480,474.658142,889.240662,743.526855,34.101246,1123.487671,861.757996,287.132141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,824.754944,804.518250,35.554390,962.575134,800.773560,71.240463,1195.170410,816.513000,474.840912,889.173523,743.563416,34.122608,1123.990479,862.206543,286.799683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,824.702637,804.527344,35.532230,962.428528,800.794800,71.326904,1194.822510,817.318176,474.716614,889.152710,743.545593,34.100288,1124.012085,862.877075,286.569977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,824.719055,804.661011,35.592442,962.370667,800.846802,71.540367,1194.550537,818.045105,474.597107,888.807251,743.551147,34.742004,1123.998291,863.709106,286.783508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,824.637695,804.754700,35.608562,962.204773,800.867798,71.698555,1194.389771,818.625366,474.566528,888.669983,743.479065,34.988281,1124.047974,864.521057,286.938995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,824.570740,804.874146,35.675941,961.966003,800.894836,71.855995,1194.066528,819.218262,474.592957,889.060547,743.476379,34.287670,1124.270386,865.294495,287.132538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,824.517029,804.991089,35.789543,961.710144,801.077759,72.432037,1193.818481,819.767090,474.428314,889.222168,743.523926,33.986702,1124.675415,865.967224,287.078918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,824.390564,805.133789,35.907845,961.459656,801.115845,72.929832,1193.723877,820.407043,474.502808,889.156738,743.489380,34.009991,1125.345337,866.952515,286.808838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,824.193054,805.417542,36.358204,961.216431,801.167847,73.286537,1193.785767,820.991821,474.370819,889.073853,743.334961,34.109600,1125.408447,868.311096,286.739807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,823.938354,805.556091,36.634960,960.926941,801.169006,73.817879,1193.310913,821.669861,474.522583,888.981873,743.145752,34.181156,1125.959717,869.007690,286.570740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,823.771667,805.735352,36.752583,960.418884,801.246460,74.579323,1192.858276,822.391724,474.667755,888.947632,742.669006,34.209343,1126.406372,869.660400,286.528259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,823.644287,805.969055,36.833080,959.868896,801.383423,75.405731,1192.486206,822.971985,474.778625,889.006165,741.894836,34.442028,1126.900024,870.737915,286.690979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,823.466858,806.385193,37.211845,959.404175,801.540588,76.323494,1192.183472,823.684143,474.896454,889.035767,741.017578,34.505836,1127.528198,871.870361,286.842712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,823.070618,806.877502,37.921726,959.099426,801.700439,77.070274,1191.959473,824.494812,475.164978,889.244324,739.985718,34.752876,1127.882813,872.819397,286.919556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,822.297424,807.228210,39.970661,958.776489,801.874939,77.774391,1191.909302,825.025879,475.288239,889.483276,738.468323,35.228817,1128.299561,873.484924,286.902191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,821.272339,807.737915,42.052895,958.509949,802.124329,78.323654,1191.436157,825.668640,475.271027,889.876770,736.755615,35.909576,1128.688721,874.001282,286.678711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,820.567383,808.067139,43.935020,958.126587,802.295776,79.259964,1190.951782,826.201599,475.311707,890.326111,735.341187,36.860596,1129.518677,875.000061,286.246704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,820.154114,808.033630,46.658287,957.197815,802.277283,81.225349,1190.578735,826.789917,475.429901,890.652405,734.038391,38.164658,1130.847534,875.826294,285.837463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,819.544373,807.997742,49.209579,956.290161,802.151672,82.975014,1190.382568,827.579590,475.450836,890.950134,732.714417,40.032223,1131.731934,876.549316,285.428986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,818.444580,807.560425,52.299400,955.516479,802.224060,84.420273,1190.315430,828.330139,475.289886,891.105652,731.518799,42.244923,1132.006592,877.173706,285.457733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,817.282043,807.207703,55.038692,954.662170,802.293945,85.515137,1190.165161,828.817810,475.227295,891.425415,729.920044,44.699383,1132.148926,877.589172,285.720551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,816.526245,806.557678,57.809460,953.755798,802.375427,87.263535,1190.034058,829.384705,475.135437,891.670532,728.245850,47.403305,1132.297974,878.202942,285.988159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,815.830383,806.077454,60.698673,953.006226,802.369324,89.108284,1190.022827,829.912231,475.061371,891.729614,726.673340,50.571812,1132.697021,878.904602,286.181671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,814.675171,805.151611,63.860023,952.063232,802.163757,90.984138,1189.471558,830.694458,474.830200,892.001770,725.070068,53.353275,1133.111328,879.434082,286.202271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,813.658386,804.147705,67.277534,951.110046,801.864014,92.777008,1189.264771,831.429077,474.834564,892.912964,723.292419,55.398052,1133.483398,879.987488,286.095306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,812.695618,803.415527,69.852081,950.018799,801.421997,94.539482,1189.197266,832.014893,474.701324,893.576416,721.839783,58.271313,1133.781128,880.410278,286.073425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,811.490234,802.019287,73.342316,948.574158,800.841553,97.066254,1188.905029,832.575745,474.587494,893.705566,720.353149,61.599632,1133.682007,880.896667,286.189331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,810.431458,800.365479,76.047302,947.348999,800.537659,98.437347,1188.700073,833.104675,474.526764,894.541443,719.126160,63.211742,1133.548462,881.185974,286.343475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,809.469849,798.730042,78.638748,946.542297,799.831543,99.726097,1188.659546,833.634766,474.449707,895.321838,716.749146,66.409645,1133.325928,881.492432,286.482819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,807.957581,796.635010,81.735817,945.179626,799.207214,101.287483,1188.530151,834.233704,474.517426,895.546082,714.698730,69.892090,1133.057617,881.941040,286.247070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,806.808350,794.703430,84.123459,944.013306,797.900757,103.833260,1188.388428,834.848633,474.551025,895.447693,712.818481,72.612633,1132.840698,882.153992,286.038818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,805.492737,791.923767,86.727585,943.106140,796.753723,105.334869,1188.232178,835.328979,474.590149,895.546204,710.602844,75.402008,1132.486450,882.411255,286.056366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,804.090942,789.885376,89.426193,942.199707,795.833740,106.189468,1187.998779,835.787415,474.500275,896.073669,708.528076,78.129745,1132.065796,882.493225,285.973389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,802.822571,787.107422,91.701706,941.272705,794.692688,107.758110,1187.600830,836.220886,474.445190,895.977722,706.768372,81.099884,1131.627319,882.535950,285.894714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,801.779968,784.528870,94.312576,939.759460,793.290466,109.291702,1187.046753,836.566223,474.227020,895.584656,704.870667,83.703255,1130.925659,882.458252,285.842072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,800.603271,782.049805,95.937958,938.784302,792.024780,110.611160,1186.488892,836.964905,473.853180,895.199707,702.425049,86.543274,1130.655029,881.872864,285.801971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,799.503235,779.261230,97.981583,937.460938,790.634399,111.908020,1186.030029,837.427673,473.547333,895.305481,700.133728,88.686737,1129.573975,881.831421,285.666443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,797.929993,776.662292,99.919197,935.611084,788.945984,113.452705,1185.453735,837.896545,473.142761,894.484192,698.250916,91.397743,1128.318604,882.292603,285.312500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,796.566345,774.204895,101.756172,933.912964,787.660400,115.401985,1185.067261,838.255188,472.893738,893.286865,696.669800,93.825562,1127.376587,882.267090,284.925232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,794.995850,771.452332,103.495399,932.373230,785.907227,116.939423,1184.631958,838.705017,472.819580,893.001038,694.616089,96.064041,1126.404663,881.918335,284.478607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,793.586182,768.918335,105.152061,930.427856,784.445740,118.201981,1184.094360,838.903992,472.663452,892.562866,692.137634,99.103951,1125.467041,881.697815,284.060638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,791.950928,766.516052,106.538887,928.294434,782.700317,119.574921,1183.416992,839.132996,472.328857,891.857971,689.800659,101.000465,1124.673584,881.172913,283.740112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,790.392273,763.993042,108.650452,926.811951,781.223816,120.464043,1182.263794,839.459656,471.655914,891.586487,688.601624,102.401703,1123.797485,880.702820,283.258514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,788.558289,761.850891,109.741173,925.329163,779.122314,121.233765,1181.371094,839.648071,471.230408,890.723938,685.753845,104.886681,1122.739868,880.299683,282.912598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,786.666443,759.450073,111.482925,923.741882,777.758179,122.483475,1180.764771,839.841309,470.845398,889.655151,683.508972,106.989311,1120.984009,879.703552,282.676575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,785.085144,757.093262,112.353409,921.960266,775.998230,123.257057,1180.198120,840.028992,470.457153,888.283936,681.285645,109.410233,1119.614624,879.167419,282.246796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,920.496704,774.555786,124.270920,1178.948120,840.312134,469.600616,886.473389,679.809265,110.997192,1118.610840,878.613953,281.723511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,918.249390,772.670837,125.733597,1177.961792,840.529907,469.011871,885.352783,677.868042,112.064369,1117.106445,877.996887,280.944977,781.566223,752.874207,115.071060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,916.320801,771.251526,126.111725,1177.128174,840.614502,468.896332,884.219543,675.704407,114.108330,1115.595947,877.773071,280.410553,779.430115,751.081238,116.536354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,913.987000,769.524353,126.990944,1175.846191,840.778931,468.349548,883.008484,674.109070,115.216202,1114.191284,877.329285,279.800873,778.256836,749.078430,116.923332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,912.404541,768.131470,127.366470,1174.379395,840.891052,467.734589,881.301392,673.190186,117.508522,1112.717896,876.574036,279.263702,776.612732,747.169922,117.177704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,910.567505,766.282959,127.942894,1173.480469,841.048645,467.217621,880.193787,670.623047,118.726692,1111.430542,875.687012,278.466797,774.640259,745.272156,118.600029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,909.626831,764.640991,128.303726,1172.800781,841.094055,466.889038,878.760742,668.535400,120.100769,1110.026855,875.071350,277.886444,772.741760,743.238403,119.614326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,907.909363,762.890808,129.170654,1171.878906,841.168030,466.270538,878.088196,666.606689,121.188652,1107.589355,874.763367,277.845184,771.684631,741.170959,119.478523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,906.656189,760.900513,129.068527,1170.379395,841.253723,465.492645,876.172729,665.767700,122.217773,1106.084839,874.189575,277.258575,770.231567,739.096436,119.582962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,904.612305,759.123108,129.103134,1169.494141,841.296875,465.067596,874.828125,662.977478,123.341110,1104.725464,873.392578,276.368683,768.881409,737.269470,119.988655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,903.572388,757.466919,129.034149,1168.666260,841.372009,464.687744,873.781128,661.929993,123.381699,1103.143921,872.760071,275.919952,767.276367,735.274292,120.612648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,902.206238,755.822449,129.408630,1167.205200,841.592590,463.853729,872.041870,659.710693,123.813271,1100.969360,872.254761,275.530334,765.723145,733.359924,121.159363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,900.651733,754.237122,129.270538,1165.997681,841.697632,463.623901,871.339417,657.575989,124.491570,1098.898560,871.541504,275.129303,763.936462,731.421326,121.934341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
