Grasp03
Date:,2025/04/08
Time:,12:52:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,191.719788,595.639465,40.932873,190.870514,737.290344,61.586048,151.189087,913.405579,325.143982,128.146774,913.304382,185.708267,272.912476,670.656128,43.718639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,193.877838,595.706055,42.296616,191.904190,737.141602,63.035561,151.152649,913.508545,325.043274,128.246552,913.687866,185.770294,275.156128,672.310913,46.550491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,195.795410,595.708557,44.202793,192.490417,737.075684,64.215096,151.342514,913.539429,324.569000,128.209427,913.956726,186.129089,277.529114,674.060730,49.604263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,197.664185,595.860107,47.042248,193.525299,736.968140,66.300430,151.154861,913.687683,324.792419,128.257065,914.401245,185.882141,279.327454,675.995911,52.480953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,199.931427,595.989929,48.973419,194.102921,736.885315,68.029800,151.086670,913.783020,324.962555,128.573532,914.548035,185.830536,281.606598,677.438171,54.675949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,202.324875,595.936218,50.906963,195.253342,736.758667,70.014442,151.094391,913.793091,324.887939,128.480362,914.631897,186.306396,284.244354,679.206482,57.480091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,204.638367,595.852173,53.393070,196.187302,736.746155,71.070419,151.078812,913.868103,324.757507,128.593002,914.564209,186.218979,286.613312,680.421387,59.891464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,206.862152,595.687866,55.510563,197.993149,736.639771,72.461296,151.082199,913.857727,324.512177,128.792435,914.650940,186.662445,288.684631,681.879150,63.047539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,209.157074,595.514099,57.475471,199.322266,736.589233,74.152847,151.106842,913.787048,324.324066,128.894562,914.619934,186.934753,290.727051,682.833252,66.408722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,211.436523,595.443970,59.546791,200.730225,736.471558,75.544785,151.130630,913.694397,324.253143,129.169876,914.597351,187.000809,292.579041,683.851074,69.630211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,213.651962,595.163757,61.726654,202.488358,736.216370,76.786102,151.135529,913.607056,324.230530,129.584793,914.501343,186.913177,294.366302,684.760681,71.649498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,216.110016,594.871948,63.159649,203.920883,736.017700,77.984329,151.171890,913.532898,324.150269,130.050888,914.409119,186.840210,296.610931,685.257019,73.713638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,218.408234,594.718079,64.924316,205.718201,735.615417,79.078484,151.234680,913.349792,323.963318,130.504745,914.224182,186.680542,298.460693,685.979492,75.946465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,220.175400,594.444580,66.649727,207.064941,735.181946,80.166908,151.448593,913.002930,323.636139,130.912720,913.970398,186.352051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,222.129639,594.108765,68.398705,208.522827,734.853088,81.988228,151.714386,912.653503,323.332764,131.478165,913.611267,185.852219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,224.082336,593.627563,70.002365,210.057083,734.312439,83.197174,152.031403,912.283203,322.810394,132.086456,913.151611,185.727844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,226.438843,593.051086,70.885712,211.498718,733.935059,83.952660,152.359497,911.969116,322.565918,132.674622,912.531433,186.036972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,227.652435,592.657898,73.152847,213.237396,733.158997,84.697853,152.675156,911.590454,322.352875,133.294159,911.974182,186.285660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,228.971771,591.962402,75.105652,214.484909,732.606812,85.554283,152.949799,911.190430,322.032745,133.863312,911.521790,186.205322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,231.181335,590.982544,76.163048,215.857239,731.982605,86.714882,153.184540,910.690430,321.699158,134.409866,911.290100,185.825882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,232.693054,590.379700,77.187782,217.210999,731.376587,87.241936,153.611023,910.133789,321.303467,135.224365,910.628601,185.372437,,,,312.361938,688.274231,91.153160,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,234.131882,589.886475,78.474464,218.889755,730.665588,87.894966,154.145920,909.477051,320.379272,135.902710,909.919983,185.094498,,,,313.807709,688.495422,92.461281,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,235.586731,589.307861,79.458931,220.176270,729.902832,88.403282,154.358704,908.901611,319.776703,137.077087,909.204285,183.952347,,,,315.324829,688.341187,93.868713,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,237.427216,588.371033,79.732674,221.995605,729.069824,88.758194,154.715088,908.321838,319.339233,138.002045,908.718994,182.665253,,,,316.734009,688.196350,94.708603,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,239.188522,587.481201,81.553200,223.297974,728.363403,89.274063,155.010239,907.727905,319.031952,138.888367,908.115601,181.946411,,,,318.323792,688.007141,95.602959,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,240.730606,586.418213,82.340797,224.773331,727.524963,90.059639,155.359222,907.069336,318.693695,139.300247,907.155273,182.180664,,,,320.134308,687.999023,95.892197,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,242.510117,585.820374,83.025513,226.079712,726.570190,90.384186,155.753433,906.380371,318.249878,139.603928,906.115173,182.271805,,,,322.004547,687.801575,95.962029,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,244.567062,585.347229,83.884041,227.545761,725.680115,90.865364,156.060760,905.777344,317.815033,139.977402,905.450500,182.083206,,,,324.027161,687.636169,95.518723,,,,,,,,,,,,,,,,,,,,,,,,,,,
