Grasp05
Date:,2025/04/08
Time:,12:52:37
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,175.015381,545.256470,53.351807,165.395493,686.243286,69.823723,147.987183,911.173279,342.408661,123.527748,870.062744,201.337509,247.385941,619.506287,74.351372,,,,,,,,,,,,,,,,,,,,,
2,173.789276,545.863403,56.400867,164.803558,687.065063,71.075684,147.727371,911.789856,341.559265,122.931618,871.267517,201.658020,247.065964,621.422791,79.062775,,,,,,,,,,,,,,,,,,,,,
3,173.227646,546.414551,59.801533,164.040848,687.828979,73.144951,147.274612,912.475647,340.820984,122.269539,873.357727,201.022812,246.638824,623.165710,83.359360,,,,,,,,,,,,,,,,,,,,,
4,173.263550,546.988098,61.691452,163.248947,688.732117,74.948082,146.853745,913.201172,339.953278,121.533592,875.162781,200.171982,246.225616,625.450806,88.258995,,,,,,,,,,,,,,,,,,,,,
5,173.326324,547.814575,64.743484,163.104538,689.586853,76.181900,146.463409,913.886536,338.828796,120.845551,876.636475,200.116470,246.703156,628.355896,91.845688,,,,,,,,,,,,,,,,,,,,,
6,173.822388,548.777954,67.534927,163.069641,690.750061,78.415100,146.106323,914.590942,337.969513,120.466293,878.544434,199.925659,247.714081,631.098267,94.979149,,,,,,,,,,,,,,,,,,,,,
7,174.897491,549.928772,69.106369,163.195129,691.326721,80.544556,145.708755,915.313293,337.258942,120.035416,880.207031,199.290298,249.015244,633.785645,97.551216,,,,,,,,,,,,,,,,,,,,,
8,176.723022,550.896118,71.098106,163.384628,692.359924,82.580116,145.077988,915.897217,336.725677,119.279518,881.696594,199.193466,249.292480,636.309998,100.758369,,,,,,,,,,,,,,,,,,,,,
9,178.655136,552.335266,72.588875,163.603882,693.474365,84.153687,144.678421,916.626282,336.442780,118.884079,883.078918,198.949432,250.176849,638.940430,104.504936,,,,,,,,,,,,,,,,,,,,,
10,180.045593,553.337341,75.375221,164.260330,694.543701,85.557404,144.413605,917.422791,336.118134,118.695442,884.765503,198.714447,250.257492,641.631653,108.767441,,,,,,,,,,,,,,,,,,,,,
