Grasp120
Date:,2025/04/28
Time:,14:02:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,939.165466,830.323547,69.929672,1181.953491,827.822632,440.166351,1122.865723,898.362854,246.343643,803.903320,839.888672,36.125214,855.300720,788.707703,34.041695,,,,,,
2,939.103516,830.376282,69.741272,1181.893799,827.827698,440.215393,1122.791504,898.367554,246.410416,803.936890,839.888489,36.149357,855.259766,788.696350,34.072952,,,,,,
3,939.133179,830.458374,69.836365,1181.888672,827.828186,440.218597,1122.820801,898.433228,246.461365,803.878113,839.864990,36.135654,855.257263,788.740540,33.947430,,,,,,
4,939.146790,830.497742,69.853035,1181.892944,827.827759,440.215759,1122.805054,898.539429,246.440109,803.924744,839.874451,36.128487,855.314209,788.813660,33.991302,,,,,,
5,939.116699,830.505676,69.846680,1181.843628,827.794922,440.196014,1122.852173,898.593933,246.468674,803.952148,839.968140,36.123039,855.299561,788.865051,33.910385,,,,,,
6,939.084961,830.513794,69.895760,1181.785645,827.829407,440.248993,1122.968018,898.718933,246.516418,803.902222,839.996094,36.075397,855.301819,788.895935,33.909138,,,,,,
7,939.035339,830.602539,69.967850,1181.774048,827.802002,440.246735,1122.845215,898.824341,246.571991,803.937866,839.882202,36.203026,855.314819,788.834595,34.007256,,,,,,
8,939.054260,830.619812,70.073334,1181.764160,827.731750,440.259949,1122.889893,898.939514,246.526596,803.821106,839.955811,36.194798,855.326599,788.817932,34.041183,,,,,,
9,939.014771,830.716980,70.140373,1181.714111,827.741516,440.165009,1122.994385,899.028015,246.559494,803.735413,839.993225,36.143810,855.305298,788.838196,34.091686,,,,,,
10,938.941956,830.721863,70.313812,1181.709839,827.741455,440.167480,1123.132813,899.155884,246.526337,803.789246,839.981812,36.152504,855.257202,788.837036,34.133305,,,,,,
11,938.549255,830.611267,70.727486,1181.715088,827.741028,440.175995,1123.318848,899.375305,246.541489,803.845032,839.972778,36.195717,855.163574,788.868591,34.058205,,,,,,
12,938.544983,830.864624,70.713898,1181.723145,827.737610,440.183655,1123.449951,899.458252,246.620117,803.744446,840.052063,36.201923,855.101440,788.985657,33.968868,,,,,,
13,938.611206,830.918762,70.867294,1181.767334,827.686584,440.090210,1123.760498,899.624390,246.541412,803.638062,840.088623,36.215519,855.124756,788.980896,34.064590,,,,,,
14,938.425537,830.945923,71.169670,1181.766357,827.646667,440.063721,1124.076904,899.842224,246.389145,803.516846,840.061523,36.310364,855.034668,788.947388,34.174137,,,,,,
15,938.087708,830.941467,71.550240,1181.767822,827.643372,439.969177,1124.510742,900.015137,246.220825,803.454834,840.045044,36.366535,854.948120,788.927612,34.249088,,,,,,
16,937.563171,831.067932,72.203438,1181.812744,827.636841,439.921936,1124.938477,900.187622,246.048309,803.364441,840.039856,36.423031,854.809509,788.952026,34.074238,,,,,,
17,937.030640,831.206909,72.736938,1181.871704,827.613586,439.766449,1125.663940,900.256958,245.696686,803.239502,840.047546,36.540821,854.727905,788.983276,34.076008,,,,,,
18,936.760803,831.431702,73.386879,1181.829346,827.625854,439.746918,1126.200073,900.393066,245.521103,803.049011,840.108765,36.618481,854.630188,788.966187,34.036343,,,,,,
19,936.397400,831.245667,74.762756,1181.872559,827.614441,439.741486,1126.611450,900.649597,245.582169,802.914429,840.116882,36.700706,854.500977,789.006531,34.008633,,,,,,
20,935.806763,831.195129,75.761810,1182.031128,827.622314,439.650177,1127.135986,900.774719,245.714539,802.726074,840.098083,36.689941,854.264221,789.154358,33.917377,,,,,,
21,935.289490,831.309021,76.574341,1182.214600,827.669983,439.443481,1127.652588,900.957642,245.640259,802.600281,840.060852,36.750687,853.988831,789.365723,34.142887,,,,,,
22,935.110657,831.289978,77.335228,1182.367676,827.677673,439.311127,1128.341675,901.076355,245.274216,802.489014,839.961670,36.828640,853.698242,789.493347,34.141506,,,,,,
23,934.550659,831.180359,78.710258,1182.669312,827.692078,439.165863,1129.210083,901.130249,244.814163,802.392395,839.847534,36.952610,853.427307,789.428040,34.192619,,,,,,
24,933.960510,830.904236,80.622086,1182.802246,827.722656,439.048676,1130.224609,901.032959,244.499435,802.264526,839.625244,36.945919,853.277161,789.229614,34.231956,,,,,,
25,933.539673,830.846191,81.922318,1182.964355,827.788452,438.954559,1130.800171,901.043457,244.500427,802.226379,839.189636,37.025307,853.059082,789.031433,34.360466,,,,,,
26,933.125854,830.596252,83.051605,1183.286377,827.783447,438.810120,1131.392822,901.040222,244.633606,802.178711,838.697876,37.228146,853.026978,788.796570,34.370907,,,,,,
27,932.469360,830.426208,83.798981,1183.581055,827.774048,438.690765,1132.019287,901.032776,244.863022,802.105774,838.108582,37.611301,853.141357,788.324219,34.290127,,,,,,
28,931.654846,829.974548,85.816101,1183.831665,827.715881,438.515778,1133.124634,901.198120,244.398849,801.791992,837.412415,38.873043,853.379944,787.406128,34.294598,,,,,,
29,930.945984,829.811584,87.706558,1184.043823,827.722717,438.387482,1134.043579,901.138062,243.933838,801.180298,836.845764,40.313580,853.761902,786.027771,33.974506,,,,,,
30,930.474670,829.604736,89.169609,1184.260986,827.694397,438.301025,1134.794556,901.066711,243.660858,800.558411,836.152588,42.092430,854.086731,784.756104,34.036667,,,,,,
31,929.932007,829.065186,91.047089,1184.459961,827.752563,438.128387,1135.122681,900.917664,243.603088,799.577820,835.161743,44.724236,854.197205,783.228088,34.501617,,,,,,
32,929.267883,828.604370,92.391769,1184.761597,827.724121,437.962097,1135.496582,900.844116,243.564194,798.622070,834.328125,47.079140,854.238770,781.502380,35.323421,,,,,,
33,928.380676,828.246460,94.143021,1184.853882,827.705688,437.839203,1136.142578,900.808289,243.362549,797.738464,833.213379,49.589920,854.366638,779.787903,36.306160,,,,,,
34,927.451538,827.722595,96.294075,1184.694824,827.830383,437.541229,1136.925049,900.738525,243.051788,796.724976,832.259644,52.289936,854.566162,778.019043,37.872089,,,,,,
35,927.092407,827.222412,98.006721,1184.924805,827.843079,437.333344,1137.570190,900.557373,242.845566,795.756104,830.973877,55.315113,854.560120,776.508423,39.376606,,,,,,
36,927.044312,826.434082,99.786400,1185.083984,827.807434,437.133423,1138.077515,900.419128,242.419922,794.851257,829.106201,58.053635,854.208557,775.139832,41.009377,,,,,,
37,926.476501,825.570007,101.253273,1185.527954,827.744202,436.973419,1138.477417,900.300476,242.272034,794.221558,827.276123,60.373108,854.064209,773.463867,43.395718,,,,,,
38,925.577759,824.582214,103.255386,1185.728149,827.727722,436.854736,1138.675171,900.174072,242.275681,793.545227,824.985535,63.033501,853.419556,771.609863,45.755032,,,,,,
39,924.829163,823.569519,105.377419,1185.644165,827.760376,436.636993,1138.748169,900.076050,242.180481,792.929993,822.576294,65.692307,852.837463,769.636902,48.197380,,,,,,
40,924.611145,822.837219,107.398491,1185.666016,827.769897,436.422455,1138.854980,899.940125,242.096420,792.229126,819.976929,67.896751,852.915894,767.615662,50.447449,,,,,,
41,924.048828,821.906616,109.086884,1185.745972,827.778015,436.353485,1138.819336,899.832031,242.016937,791.867004,817.270752,70.396126,852.615417,765.439819,52.638145,,,,,,
42,923.109680,820.614075,110.910294,1185.772217,827.780579,436.237946,1138.717407,899.736084,241.906372,790.926331,814.666870,73.568810,852.142090,763.362488,55.349964,,,,,,
43,922.155029,819.414734,112.754280,1185.746460,827.798218,436.070343,1138.726196,899.597168,241.820862,790.225403,812.067200,76.169899,851.834229,760.965698,57.892780,,,,,,
44,922.053101,818.261719,114.573250,1185.622070,827.808472,435.822113,1138.632202,899.414185,241.735916,789.666565,809.537903,78.820457,851.618042,758.719971,59.904667,,,,,,
