Grasp124
Date:,2025/04/30
Time:,17:42:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,807.637390,486.707520,29.464357,934.186279,525.458557,74.240967,891.332275,446.753723,30.355068,1097.957642,752.495789,465.737305,1025.060303,709.226563,263.702942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,807.643066,486.962585,29.647045,933.917786,525.853455,74.748199,891.436707,447.120026,30.469236,1098.803467,752.685791,465.641113,1025.992798,710.360962,263.359070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,807.717590,487.177551,29.789841,933.783691,526.407898,75.943481,891.542969,447.571777,30.674313,1099.759155,753.009766,465.744080,1026.897705,711.432068,263.242584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,808.003662,487.322784,29.989941,933.511169,527.201294,77.361092,891.596802,448.372772,30.930555,1100.775879,753.280029,465.595520,1028.524292,712.834167,263.257263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,808.204590,487.604492,30.151052,932.973938,528.292297,78.660507,891.627014,449.300232,31.018230,1101.496704,753.757019,465.299774,1029.888428,714.044678,263.150574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,808.606873,487.857269,30.366335,932.580078,529.488098,79.900383,891.539978,450.227814,30.958487,1102.585815,754.094055,464.849640,1031.089111,715.412781,263.016754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,809.036987,488.005188,30.827953,931.958191,530.483215,81.396568,891.669678,451.250031,30.937437,1103.699341,754.542480,464.864929,1032.392822,717.233643,263.054626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,809.527344,488.272339,31.053080,931.625427,531.853088,83.146896,891.791382,452.603607,30.963888,1104.856079,755.078491,465.112213,1033.813110,718.644592,263.073395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,810.310364,488.618439,31.278463,931.343323,533.313782,84.636185,891.780640,454.067322,31.047354,1106.095703,755.668884,465.144867,1035.944946,720.373840,262.832825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,811.475586,489.038086,31.576910,931.129150,534.974304,86.482834,891.740173,455.408051,31.695953,1107.955078,756.256775,464.947510,1037.837280,721.800903,262.429077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,813.101013,489.521271,31.724113,930.702393,536.898499,88.380852,891.366211,457.128326,32.660950,1109.083984,756.903442,464.622589,1039.750000,723.802368,262.057495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,814.911560,490.137299,31.635818,930.433411,538.306396,90.071594,890.890991,458.665619,33.187527,1110.075928,757.367676,464.569366,1041.617676,725.531311,261.858643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
