Grasp20
Date:,2025/04/08
Time:,13:08:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,572.949280,589.790588,73.148674,482.840912,694.793762,78.029861,252.021637,745.711121,204.230209,138.847107,824.625000,357.359619,583.259033,688.206421,55.708313,,,,,,,,,,,,,,,,,,,,,,,,
2,571.984314,591.035156,78.295319,481.572540,695.814697,80.960098,249.270279,746.879822,202.640884,137.853851,825.384155,356.632324,582.707703,690.045044,58.847054,,,,,,,,,,,,,,,,,,,,,,,,
3,571.444153,592.483765,83.938148,480.821838,697.308044,83.968094,246.080917,748.042053,200.958969,136.474289,826.293945,356.294861,581.958435,691.360779,63.075073,,,,,,,,,,,,,,,,,,,,,,,,
4,570.525513,593.814087,89.757614,479.856781,698.434753,87.028770,243.078262,749.727661,199.514648,135.217972,827.260315,355.905426,581.101563,693.297485,67.002197,,,,,,,,,,,,,,,,,,,,,,,,
5,569.596191,595.780518,95.754036,478.282196,699.582886,90.238029,240.041153,750.955627,197.825394,134.005753,828.103760,355.255432,580.209900,695.092041,70.773994,,,,,,,,,,,,,,,,,,,,,,,,
6,568.475098,597.788208,101.643303,476.580872,701.207520,94.048477,236.843353,752.439575,196.174072,132.419907,829.019165,354.950623,579.004333,697.006592,74.994751,,,,,,,,,,,,,,,,,,,,,,,,
7,567.411865,599.995239,108.048058,475.081818,702.657471,97.850060,233.963211,754.121338,194.558899,131.084274,830.067566,354.382599,577.545959,698.956360,79.514618,,,,,,,,,,,,,,,,,,,,,,,,
8,565.680908,602.074829,114.567230,472.816132,704.449585,101.990974,230.477066,755.619629,193.266098,129.844406,831.076660,353.637909,576.053589,700.887390,84.348534,,,,,,,,,,,,,,,,,,,,,,,,
9,563.957703,604.632690,121.202347,471.469269,706.130493,106.157387,226.800674,757.530457,191.724884,128.372818,832.088074,352.760986,574.163757,703.020630,89.361931,,,,,,,,,,,,,,,,,,,,,,,,
10,561.923096,606.836060,128.183380,468.884674,707.754211,110.005325,223.059540,759.051941,190.745300,127.235954,833.272095,352.026367,572.229980,704.820862,94.469849,,,,,,,,,,,,,,,,,,,,,,,,
11,559.625854,609.147827,134.896317,466.215576,709.589844,114.390427,219.657852,760.698669,189.628540,125.514267,834.449829,352.056030,570.401367,706.895142,99.768585,,,,,,,,,,,,,,,,,,,,,,,,
12,556.800537,611.499939,141.535202,463.965912,711.352966,119.104935,216.161072,762.449219,188.189453,124.070930,835.690186,351.522980,567.823181,708.996643,105.598511,,,,,,,,,,,,,,,,,,,,,,,,
13,553.503174,613.675781,149.149399,461.109253,713.379211,122.904465,212.330765,764.569946,187.454758,122.790604,837.065125,350.907623,565.129150,711.017273,111.697769,,,,,,,,,,,,,,,,,,,,,,,,
14,550.038757,616.042664,156.336853,458.326935,715.327881,127.006096,208.595276,766.211731,186.533173,121.272102,838.271851,350.611420,562.579285,713.236328,117.524445,,,,,,,,,,,,,,,,,,,,,,,,
15,546.061279,618.097412,163.510498,454.886169,717.047607,132.179810,204.891235,768.215942,185.426376,119.935051,839.727783,350.411591,559.216370,714.944824,123.882584,,,,,,,,,,,,,,,,,,,,,,,,
16,542.081726,620.301941,170.614197,451.228973,718.878418,136.500687,201.059006,770.120605,185.008179,118.462891,841.072388,350.363617,556.240601,716.969666,130.487549,,,,,,,,,,,,,,,,,,,,,,,,
17,537.770752,622.415222,177.803635,447.613647,720.807007,140.443176,196.745880,772.152893,184.531189,117.233269,842.384033,350.136658,552.891296,718.627869,136.852509,,,,,,,,,,,,,,,,,,,,,,,,
18,532.991760,624.581726,184.679947,444.036346,722.686951,143.983459,192.881485,774.227844,183.574127,115.705032,843.750122,349.627350,548.817017,720.475403,143.041656,,,,,,,,,,,,,,,,,,,,,,,,
19,527.731750,626.631287,191.331451,440.192993,724.712524,148.787521,188.742722,776.304443,183.334427,114.072418,844.975281,350.276184,545.025391,721.872925,149.235229,,,,,,,,,,,,,,,,,,,,,,,,
20,522.751038,628.707886,198.140671,436.347107,726.264771,152.903702,185.092056,778.558289,182.650208,112.835808,846.334595,350.490387,541.235718,723.140869,155.386246,,,,,,,,,,,,,,,,,,,,,,,,
