Grasp19
Date:,2025/04/08
Time:,13:24:40
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,511.021606,709.996643,65.566765,173.071075,812.080627,237.206665,504.519867,640.742493,80.741035,410.707184,734.768127,89.664253,140.146439,859.178772,372.517883,,,,,,,,,,,,
2,509.681366,711.591736,69.688980,170.494431,813.567200,236.456833,503.490509,642.171814,85.643227,409.072510,735.967896,91.802032,138.609955,860.375610,372.706482,,,,,,,,,,,,
3,508.309357,713.048645,74.103912,167.809479,815.813232,235.863998,501.607483,643.554260,90.685471,407.358551,736.852661,94.958801,137.125641,861.443604,372.109802,,,,,,,,,,,,
4,507.269226,714.428894,78.655037,164.939850,817.822754,234.922058,500.137421,644.919250,96.021370,405.458313,738.197266,97.914513,135.938553,862.879456,371.415222,,,,,,,,,,,,
5,505.912842,716.036621,82.601624,162.094406,819.702209,234.368484,498.349579,646.282104,101.142387,404.053406,739.712219,100.941292,134.379623,864.098083,371.070984,,,,,,,,,,,,
6,504.456940,717.508728,87.278908,158.913208,821.895447,234.330688,496.402466,647.423889,106.170135,401.869019,740.998840,104.025063,132.734482,865.549988,371.040588,,,,,,,,,,,,
7,502.529602,718.974548,92.058098,156.153336,823.933289,233.948410,494.523895,648.976013,111.411339,399.977173,742.092285,107.189125,131.244614,866.880249,370.733795,,,,,,,,,,,,
8,500.704315,720.226257,96.619370,153.102539,826.141846,233.794022,492.222778,650.340332,116.436035,397.746613,743.722595,110.375580,129.898651,868.229004,370.110321,,,,,,,,,,,,
9,498.880035,721.705139,101.201035,150.288986,828.519592,233.263412,489.792267,651.602051,121.590492,395.672607,745.041565,113.600189,128.438416,869.745850,369.920776,,,,,,,,,,,,
10,497.043243,722.853149,105.680748,147.418167,830.747559,232.824966,487.565277,652.569519,126.740807,393.216949,746.676453,117.147064,126.873077,871.066406,370.022644,,,,,,,,,,,,
