Grasp19
Date:,2025/04/15
Time:,13:18:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,840.518921,466.824890,32.669975,1078.205078,786.071472,396.123413,930.583984,448.766724,31.895660,955.248413,541.714111,65.597000,1076.104492,791.964233,225.446487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,840.322937,466.936096,32.790363,1078.175171,786.195679,396.143677,930.478027,448.748260,31.884653,954.873840,541.490356,65.968262,1076.094238,792.069214,225.480865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,840.466980,466.843597,32.712116,1078.025879,786.228455,396.213959,930.490723,448.748260,31.886551,955.401367,541.710083,65.729767,1076.051880,792.099304,225.506561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,840.530273,466.817719,32.663227,1077.944580,786.219910,396.158112,930.547668,448.722229,31.877512,955.775208,541.875854,65.421188,1076.007324,792.090271,225.497894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,840.554077,466.785034,32.688675,1077.894653,786.243225,396.172882,930.534973,448.732391,31.841547,955.827698,541.908386,65.357529,1076.012817,792.038940,225.430313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,840.523621,466.816162,32.675060,1077.841309,786.277832,396.204926,930.512512,448.755341,31.870607,955.777161,541.919922,65.338493,1075.968872,792.067566,225.406982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,840.470520,466.716187,32.677376,1077.718506,786.399475,396.209259,930.505981,448.756378,31.884943,955.759094,541.908875,65.319267,1075.943359,792.173218,225.445587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,840.498901,466.710266,32.666233,1077.802734,786.547974,396.362122,930.556580,448.763977,31.793737,955.686584,541.929077,65.314491,1075.895874,792.214539,225.484665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,840.484192,466.728607,32.584213,1077.843872,786.684387,396.239044,930.539795,448.756958,31.809217,955.681091,541.904785,65.293747,1075.910156,792.183655,225.507095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,840.506592,466.709290,32.627274,1077.882446,786.528076,396.077484,930.555847,448.782227,31.812086,955.706299,541.909302,65.273300,1075.926025,792.170105,225.499329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,840.506836,466.699768,32.648182,1077.896851,786.564148,396.046265,930.615540,448.722321,31.977516,955.725403,541.924622,65.268806,1075.877686,792.169373,225.433853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,840.481384,466.726776,32.587124,1077.695313,786.644775,396.054016,930.643616,448.665710,31.982800,955.724731,541.936646,65.298218,1075.803589,792.178528,225.473801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,840.469666,466.730927,32.575806,1077.433838,786.701782,396.027466,930.511414,448.687561,31.849354,955.682190,541.888306,65.269035,1075.729858,792.173096,225.528748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,840.441162,466.727509,32.618084,1077.396973,786.738892,396.077667,930.479309,448.732269,31.791046,955.718628,541.867310,65.249527,1075.708984,792.172668,225.547714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,840.462585,466.714691,32.562023,1077.360718,786.755310,396.018860,930.556519,448.786316,31.797922,955.704224,541.884766,65.249512,1075.757202,792.140686,225.546204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,840.463318,466.723175,32.568920,1077.249756,786.865845,396.014679,930.510803,448.752747,31.791340,955.706909,541.879211,65.218468,1075.754639,792.135925,225.437698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,840.442688,466.713593,32.596786,1077.189331,786.917114,396.018250,930.515930,448.732819,31.797943,955.684021,541.858398,65.198029,1075.655151,792.267700,225.474945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,840.404053,466.707825,32.616604,1077.141968,786.916138,395.970337,930.507935,448.732910,31.771114,955.735168,541.842102,65.030930,1075.668335,792.262756,225.521652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,840.464233,466.702972,32.686897,1077.091187,787.013062,395.991638,930.515625,448.794952,31.791740,955.725891,541.799438,65.178535,1075.819824,792.071289,225.641312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,840.402588,466.683899,32.666733,1077.015991,787.037720,395.899841,930.526062,448.766449,31.824493,955.641968,541.856262,65.178459,1075.867432,792.047485,225.676254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,840.386292,466.635529,32.523277,1076.975586,787.125793,395.879700,930.526306,448.740875,31.838877,955.448975,541.643005,65.459419,1075.856201,792.058289,225.609116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,840.373291,466.561462,32.519764,1076.912720,787.150818,395.869080,930.495178,448.725433,31.809645,955.570007,541.716187,65.353615,1075.873901,792.078186,225.604782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,840.410767,466.667084,32.700443,1076.883057,787.237732,395.800385,930.518494,448.739929,31.829601,955.686401,541.721130,65.082237,1075.871338,792.134705,225.516556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,840.400085,466.699768,32.614239,1076.864136,787.279663,395.836029,930.524658,448.735931,31.804644,955.685425,541.747620,64.964851,1075.902954,792.157837,225.507172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,840.229248,466.784912,32.811138,1076.769531,787.334839,395.764679,930.496338,448.749146,31.806664,955.656738,541.815002,65.140182,1075.997925,792.125732,225.466797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,840.190369,466.722992,32.889755,1076.725952,787.463928,395.731293,930.473633,448.737335,31.806440,955.701965,541.738098,65.104004,1076.035400,792.203613,225.455582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,840.542175,466.605835,32.385193,1076.721313,787.487915,395.703827,930.527527,448.712250,31.774712,955.644592,541.707031,64.990585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,840.482422,466.555145,32.324726,1076.686401,787.563477,395.659973,930.517700,448.731659,31.760704,955.622131,541.789978,65.172935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,840.369568,466.585815,32.390472,1076.670410,787.564636,395.617828,930.441467,448.711456,31.781151,955.641663,541.787598,65.277855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,840.387878,466.547516,32.526104,1076.598877,787.609985,395.540436,930.475281,448.723450,31.806604,955.608887,541.867859,65.217598,,,,1075.596436,792.443298,225.512161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,840.390991,466.557434,32.470963,1076.608154,787.666809,395.510956,930.510071,448.752319,31.875788,955.610962,541.896057,65.187599,,,,1075.567017,792.453674,225.529465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
