Grasp17
Date:,2025/04/15
Time:,13:41:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,807.502747,474.320343,30.974861,913.374817,566.820496,64.411530,895.750305,797.560242,260.793274,894.488953,473.002930,32.037048,907.594666,820.410217,440.600983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,807.460205,474.336029,30.993584,913.440979,566.708435,64.480278,895.734558,797.573486,260.742828,894.513306,472.974426,31.992920,907.600464,820.385742,440.501984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,807.533264,474.325562,30.962116,913.406860,566.668457,64.533234,895.693298,797.581055,260.802124,894.464172,472.971191,32.041340,907.617859,820.373047,440.416077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,807.481873,474.343994,30.950035,913.346252,566.703979,64.466980,895.717041,797.576477,260.826599,894.442078,472.966095,32.069332,907.564514,820.391724,440.391724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,807.421021,474.331207,30.983263,913.340149,566.737000,64.464645,895.552795,797.619263,260.754883,894.495972,472.875122,32.046726,907.494141,820.388000,440.456360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,807.425781,474.328186,30.923218,913.398987,566.741516,64.455956,895.563232,797.599731,260.762787,894.481873,472.909149,32.026966,907.445129,820.498413,440.394073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,807.474304,474.327515,30.939678,913.375610,566.729126,64.432426,895.481201,797.651611,260.803284,894.505981,472.967102,31.998850,907.397400,820.511597,440.318848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,807.514404,474.330139,31.006165,913.392700,566.687073,64.516144,895.555664,797.630554,260.779663,894.481995,472.959991,32.003567,907.376099,820.512451,440.348785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,807.476501,474.325378,30.941572,913.421631,566.728210,64.439613,895.491211,797.623047,260.688965,894.504517,472.968933,31.998787,907.342773,820.513489,440.338593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,807.499878,474.322144,30.962490,913.378601,566.734558,64.418854,895.432251,797.721619,260.703827,894.461426,472.974670,32.047897,907.319519,820.607422,440.316895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,807.427124,474.340576,30.951349,913.388672,566.745300,64.418938,895.424683,797.757751,260.749908,894.503540,472.946167,32.023556,907.301086,820.630981,440.320679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,807.485046,474.324585,30.977077,913.439026,566.798401,64.395966,895.408691,797.759827,260.661011,894.517578,472.962952,31.996395,907.312256,820.614929,440.250366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,807.430908,474.291687,30.925529,913.416443,566.747070,64.405998,895.379395,797.762634,260.633026,894.497131,473.002777,32.024860,907.266602,820.701416,440.259064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,807.477661,474.326416,30.911507,913.405762,566.723511,64.448425,895.375732,797.863647,260.648468,894.548645,472.987305,31.991743,907.201843,820.728516,440.226410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
