PTP-1162
Date:,2025/04/28
Time:,11:41:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
1,880.704712,640.020081,104.778442
2,880.742310,640.090820,104.662766
3,880.776550,640.070862,104.804329
4,880.785706,640.043030,104.797485
5,880.717834,640.020691,104.774078
6,880.680237,639.930298,104.796432
7,880.720459,640.039795,104.704094
8,880.752075,640.059875,104.827591
9,880.700623,639.992737,104.773109
10,880.724792,640.025696,104.857712
11,880.770569,639.989685,104.842041
12,880.755249,639.919800,104.913368
13,880.748718,639.955139,104.864609
14,880.705139,639.937378,104.932114
15,880.694092,639.958679,104.893509
16,880.732788,639.920105,104.927612
17,880.713745,639.956909,104.879326
18,880.696655,639.936523,104.938278
19,880.718445,640.063904,104.866890
20,880.729126,640.068787,104.898895
21,880.715271,640.031738,104.932304
22,880.706970,640.038269,104.937653
23,880.735657,640.123779,104.872154
24,880.792603,640.195679,104.749664
25,880.793884,640.180725,104.830688
26,880.726990,640.045593,104.922028
27,880.771545,640.109314,104.970993
28,880.843140,640.138977,105.030769
29,880.814941,640.238464,105.414955
30,880.714417,640.198364,105.881485
31,880.591858,640.121887,106.175224
32,880.566895,640.213623,106.524529
33,880.628113,640.314575,106.660278
34,880.836304,640.343323,106.842438
35,880.770996,640.348572,107.108887
36,880.665833,640.337830,107.515373
37,880.550598,640.332886,107.924278
38,880.403931,640.423523,108.273537
39,880.355103,640.443359,108.665993
40,880.163391,640.562378,109.193520
41,879.975159,640.449707,109.862251
42,879.574768,640.476563,110.915215
43,879.521667,640.548157,111.427292
44,879.394653,640.888855,111.899696
45,879.350464,641.184753,112.132706
46,879.044678,641.214844,112.819542
47,878.593506,641.220398,113.629784
48,878.005859,641.299316,114.527260
49,877.691528,641.874573,115.031731
50,876.736084,641.920837,116.954590
51,875.660217,642.141846,118.228432
52,874.880737,642.494019,118.994545
53,873.917236,642.798157,120.056190
54,872.352173,642.988281,122.038490
55,871.218750,643.470337,123.000809
56,869.905396,643.695374,124.349800
57,868.302490,644.249207,125.689552
58,866.352844,644.566162,127.948204
59,864.184753,644.877930,129.869644
60,862.181580,645.565613,131.067139
61,860.469421,645.897156,132.998016
62,858.397705,646.620972,134.413574
63,856.274170,647.017761,136.294250
64,853.342529,647.114319,138.555313
65,850.902100,647.625427,140.067352
66,848.389099,648.179504,141.510544
67,845.631226,648.754089,142.948029
68,843.331238,648.958618,144.672440
69,840.865051,649.712097,145.397141
70,837.749207,650.092346,147.331131
71,834.458191,650.347961,149.523895
72,831.408936,650.896667,150.597473
73,828.083435,651.066223,151.995392
74,825.555969,651.938477,152.739899
75,822.140381,652.412659,154.149857
76,818.862061,652.672546,155.274734
77,815.892334,653.249634,156.354630
78,812.246460,653.572021,157.718979
79,808.685364,654.026367,159.316498
80,805.452148,654.347778,159.797211
81,802.261963,654.661743,160.749435
82,798.805603,655.270325,161.240707
83,795.407959,655.776917,162.430389
84,791.742554,656.118347,163.555237
85,788.578674,656.741089,163.702667
86,784.947815,656.889282,164.691055
87,781.193726,657.260376,164.885010
88,778.189941,657.864563,165.061310
89,774.796631,658.053345,165.678833
90,770.788330,658.452148,165.761703
91,767.443542,659.036499,165.680267
92,764.077332,659.107544,166.046249
93,760.693176,659.270569,165.851883
94,756.959595,659.521301,165.582428
95,753.828064,659.998108,165.203262
96,750.447327,659.989807,165.429565
97,746.952698,660.211853,165.194153
98,743.558350,660.410645,165.049744
99,740.390991,660.679260,164.274109
100,737.426697,660.941284,163.842133
101,733.625793,661.056824,163.810150
102,730.478821,661.211548,163.987579
103,727.494385,661.249634,163.489655
104,724.000061,661.294617,163.144257
105,720.844238,661.425476,162.362900
106,718.143494,661.661072,161.547852
107,715.318665,662.042725,160.633423
108,712.020630,661.772705,160.165405
109,709.116394,662.063477,159.357574
110,705.950989,661.827026,159.409775
111,703.067505,662.005615,158.629150
112,700.073120,662.052551,157.765869
113,697.373474,662.033630,157.203751
114,694.666443,662.164612,156.236877
115,691.884644,662.121094,155.431824
116,689.315430,662.174316,154.544418
117,686.581848,662.058472,154.471008
118,684.396179,662.017700,152.967804
119,681.515991,661.768555,152.444534
120,679.286987,661.662231,151.821854
121,676.903748,661.316284,151.546936
122,674.678162,661.475220,149.968887
123,672.384644,661.209167,149.590073
124,670.030457,660.933350,148.762680
125,668.335266,660.861816,147.489990
126,666.045654,660.475403,147.094391
127,663.934448,660.296021,146.294846
128,661.872559,659.849182,145.996323
129,659.797058,659.448120,144.916290
130,658.385254,659.348633,143.544479
131,656.400940,659.384705,142.697998
132,654.697388,658.925659,141.829147
133,652.825867,658.400024,141.159225
134,650.951599,657.998352,140.887939
135,649.313477,657.977966,139.495117
136,647.759583,657.451416,138.485580
137,645.970520,657.020203,137.900375
138,644.603210,656.882813,136.365829
139,643.198914,656.586487,134.962448
140,641.830627,656.383179,134.149246
141,640.290527,656.259033,133.425720
142,639.164490,656.199585,131.220978
143,637.933411,655.978455,129.961441
144,636.757141,655.695618,128.959900
145,635.456909,655.507507,127.663223
146,634.391052,655.841736,126.083115
147,633.476746,655.575623,124.476967
148,632.839478,655.563477,122.705315
149,631.864868,655.484497,121.370384
150,630.787170,655.151917,120.670807
151,630.132568,655.199036,119.103203
152,629.648987,655.703003,117.228966
153,629.180298,655.760620,115.495117
154,628.696960,655.752869,113.693634
155,628.467712,655.909546,112.481850
156,628.035278,656.012451,110.824028
157,627.843445,656.008362,108.858505
158,627.912109,656.139893,107.491974
159,627.744385,656.346680,106.025742
160,627.753967,656.461853,104.539001
161,628.097900,656.450867,103.376579
162,628.607849,656.839966,102.086021
163,628.876038,656.986633,101.464958
164,628.916077,656.864441,101.247993
165,628.861084,656.714294,101.351608
166,628.928650,656.741333,101.360313
167,629.047913,656.695984,101.332710
168,629.001770,656.687012,101.334183
169,628.976135,656.687378,101.348961
170,628.988770,656.683350,101.319962
171,628.921326,656.659973,101.361877
172,628.887634,656.616089,101.344444
173,628.892578,656.432129,101.251671
174,628.871765,656.499023,101.158813
175,628.830383,656.425720,101.221001
176,628.818176,656.390198,101.220345
177,628.847595,656.391052,101.169250
178,628.853455,656.370178,101.192314
179,628.900574,656.496338,101.155457
180,628.851257,656.396729,101.226242
181,628.850403,656.371948,101.249130
182,628.880615,656.416443,101.230881
183,628.870239,656.498962,101.208168
184,628.832458,656.423889,101.241875
185,628.853882,656.508545,101.190666
186,628.916870,656.613892,101.273087
187,628.867554,656.555664,101.274475
188,628.832397,656.575073,101.223610
189,628.923462,656.624390,101.206444
190,628.962708,656.697388,101.210518
191,628.960754,656.706665,101.212326
192,628.991028,656.678772,101.132339
193,628.965271,656.705078,101.223740
194,628.852966,656.654663,101.416504
195,628.852661,656.643616,101.392708
196,628.882629,656.647156,101.316971
197,628.788330,656.631287,101.360939
198,628.781006,656.563782,101.325516
199,628.909241,656.618408,101.317932
200,628.895691,656.656128,101.297234
201,628.824768,656.632202,101.236984
202,628.805481,656.551025,101.293411
203,628.803040,656.587097,101.232033
204,628.892761,656.622131,101.196175
205,628.827820,656.611877,101.284157
206,628.835083,656.653564,101.357880
207,628.897217,656.616394,101.196320
208,628.910706,656.602783,101.144066
209,628.920044,656.614624,101.149246
210,628.841309,656.560852,101.295967
211,628.909180,656.615112,101.399940
212,628.873596,656.653564,101.384346
213,628.923035,656.612610,101.417229
214,628.902954,656.595276,101.438858
215,629.008423,656.557190,101.212860
216,628.966187,656.491516,101.337860
217,628.931458,656.544312,101.469269
218,628.958374,656.476074,101.457024
219,628.991333,656.472351,101.320618
220,629.000427,656.456055,101.324516
221,628.999756,656.478210,101.302078
222,628.962402,656.453308,101.352905
223,628.977295,656.438843,101.397545
224,629.017761,656.341492,101.458015
225,629.045898,656.348633,101.423691
226,629.017151,656.346863,101.356171
227,629.087891,656.360535,101.337128
228,629.096191,656.370850,101.375114
229,629.020386,656.325867,101.424606
230,629.065796,656.335449,101.406784
231,629.068115,656.257751,101.407990
232,629.078247,656.305298,101.434166
233,629.129395,656.284485,101.386887
234,629.106873,656.233521,101.400185
235,629.048096,656.237610,101.374557
236,629.145386,656.273987,101.342972
237,629.171692,656.264038,101.300545
238,629.199524,656.217285,101.254623
239,629.227051,656.236511,101.199760
240,629.270813,656.251831,101.171944
241,629.222961,656.154663,101.309601
242,629.186584,656.125244,101.262016
243,629.183228,656.137573,101.271370
244,629.117065,656.210144,101.273651
245,629.089294,656.145325,101.331642
246,629.091797,656.146973,101.364426
247,629.124756,656.153198,101.255569
