PTP252
Date:,2025/04/28
Time:,13:54:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2
Field #,X,Y,Z,X,Y,Z
1,762.873901,657.207458,78.475067,,,
2,763.091675,657.163025,78.269455,,,
3,763.021057,657.203918,78.402664,,,
4,762.974731,657.150391,78.411385,,,
5,762.913513,657.185852,78.549332,,,
6,762.969177,657.173279,78.363800,,,
7,763.026733,657.157898,78.300850,,,
8,763.043701,657.190613,78.447853,,,
9,763.036865,657.177917,78.356369,,,
10,762.964661,657.215332,78.389847,,,
11,763.058167,657.264038,78.350471,,,
12,763.068054,657.308472,78.414017,,,
13,762.996094,657.327698,78.478859,,,
14,763.051208,657.324768,78.455147,,,
15,763.096252,657.247009,78.334671,,,
16,763.209473,657.283020,78.386650,,,
17,763.128723,657.322449,78.398872,,,
18,763.036987,657.336609,78.417374,,,
19,763.111694,657.303162,78.379242,,,
20,763.136841,657.328674,78.253952,,,
21,763.127991,657.223022,78.274521,,,
22,763.098145,657.214294,78.389565,,,
23,763.041870,657.195862,78.413002,,,
24,763.076294,657.205933,78.380791,,,
25,763.045288,657.304749,78.238380,,,
26,763.002197,657.243591,78.267883,,,
27,762.971252,657.242249,78.281975,,,
28,762.854736,657.294861,78.197388,,,
29,762.869690,657.391968,78.089989,,,
30,762.848694,657.357483,78.012466,,,
31,762.619141,657.460205,77.813606,,,
32,762.524780,657.538818,77.545097,,,
33,762.475464,657.543091,77.347649,,,
34,762.302002,657.554565,77.187271,,,
35,762.229797,657.562744,77.136673,,,
36,761.891113,657.603271,77.060326,,,
37,761.795959,657.552246,76.655930,,,
38,761.625671,657.691528,76.437691,,,
39,761.275208,658.091675,76.527557,,,
40,760.755554,658.871704,76.587837,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,757.583130,664.266541,78.780396
45,,,,755.901794,665.604980,80.600418
46,,,,754.579407,667.304810,81.636505
47,,,,753.075256,669.030457,82.980247
48,,,,751.003296,670.602356,84.926704
49,,,,749.146057,672.545044,85.894440
50,,,,747.186462,674.271606,87.459671
51,,,,745.408386,676.144226,89.897804
52,,,,742.613892,678.405212,92.092812
53,,,,739.614868,680.641602,94.069756
54,,,,736.619080,682.858398,96.305527
55,,,,733.994141,685.247925,98.207771
56,,,,730.700745,688.045593,100.883072
57,,,,727.112122,691.164795,102.425491
58,,,,723.440247,694.168579,105.261398
59,,,,719.327026,697.388611,107.007759
60,,,,715.599121,700.942017,109.462700
61,,,,711.187439,704.381531,111.088051
62,,,,706.993469,708.089355,113.196411
63,,,,702.319580,711.969666,115.336166
64,,,,697.614380,715.715271,117.005791
65,,,,693.203613,719.358887,118.463486
66,,,,688.301941,723.363220,119.623192
67,,,,683.376160,727.382690,121.400162
68,,,,678.377136,731.237549,122.921913
69,,,,673.059082,735.212097,124.541145
70,,,,668.206421,738.969543,125.926514
71,,,,662.916321,742.629028,127.787064
72,,,,657.370911,746.446106,129.854736
73,,,,651.006470,750.411743,132.472244
74,,,,645.605286,754.007019,134.510681
75,,,,640.366760,757.571045,136.056641
76,,,,634.963013,761.158508,136.924454
77,,,,629.662598,764.865295,138.074539
78,,,,624.124390,768.632996,138.952484
79,,,,618.534119,772.403870,139.544434
80,,,,612.871033,776.177734,140.246368
81,,,,607.622498,779.603455,141.041580
82,,,,601.762390,783.290344,141.588760
83,,,,596.267395,786.838379,141.888626
84,,,,590.451599,790.434509,142.295151
85,,,,585.107666,793.645447,142.897675
86,,,,579.304260,797.302917,143.300446
87,,,,573.814209,800.896545,143.890091
88,,,,568.416016,804.514404,144.512665
89,,,,563.676331,808.068848,144.778290
90,,,,558.639221,811.685791,144.924698
91,,,,553.102783,815.204224,145.583725
92,,,,547.596863,818.358948,145.935486
93,,,,542.429749,821.324951,146.327667
94,,,,537.715515,824.474548,146.473373
95,,,,533.025024,827.068054,146.072449
96,,,,527.952454,830.086365,145.740311
97,,,,522.876953,832.675354,145.493515
98,,,,518.711914,835.041321,145.029724
99,,,,513.684143,837.624573,144.564087
100,,,,509.206787,840.190613,143.904099
101,,,,504.600403,842.538696,142.969803
102,,,,500.720032,845.025330,141.824265
103,,,,496.551544,847.026001,141.268387
104,,,,492.386658,849.469543,140.171036
105,,,,488.342651,851.753479,138.980408
106,,,,484.247314,853.483704,137.451050
107,,,,480.690948,855.721680,135.883087
108,,,,477.369476,857.548157,134.087097
109,,,,474.323822,859.158325,132.332657
110,,,,470.621094,861.120422,130.871964
111,,,,466.912415,862.777283,128.966431
112,,,,464.058563,864.675049,126.789017
113,,,,461.251434,866.304260,125.021324
114,,,,458.219208,868.336060,123.121193
115,,,,455.969025,869.961548,120.795326
116,,,,453.453583,871.992065,118.913628
117,,,,451.275177,873.581848,116.868454
118,,,,449.233673,875.255676,114.727997
119,,,,447.353973,877.143433,112.936150
120,,,,445.207367,878.357971,110.974571
121,,,,443.363495,879.923401,108.686119
122,,,,441.977356,881.118103,106.421761
123,,,,440.833923,882.156189,104.090080
124,,,,439.491821,883.433167,102.150398
125,,,,437.244537,884.781860,100.676285
126,,,,436.272095,885.765015,98.737839
127,,,,435.272064,886.497253,96.775803
128,,,,434.427917,887.065735,94.315750
129,,,,434.086670,887.496216,92.049835
130,,,,433.028412,888.075195,89.584145
131,,,,432.192383,888.485718,88.370567
132,,,,431.152252,888.786560,86.745331
133,,,,430.624969,888.744446,84.890701
134,,,,430.237366,888.778809,82.834816
135,,,,429.811707,889.160156,80.954300
136,,,,429.047455,889.529236,80.256821
137,,,,428.361755,889.700989,79.069595
138,,,,427.731842,890.407043,78.377182
139,,,,427.962921,891.185974,77.559929
140,,,,428.364014,891.742249,76.742043
141,,,,428.321777,892.186340,76.436752
142,,,,428.160645,892.825073,75.981049
143,,,,428.038910,893.130920,76.176468
144,,,,427.822052,893.391602,76.349510
145,,,,427.698273,893.610657,76.010956
146,,,,427.645844,893.731934,75.839279
147,,,,427.570801,893.638184,75.766060
148,,,,427.473724,893.612305,75.806831
149,,,,427.210419,893.606750,75.811562
150,,,,427.184418,893.626587,75.768593
151,,,,427.247314,893.526123,75.750618
152,,,,427.398834,893.513306,75.687691
153,,,,427.628723,893.426086,75.665840
154,,,,427.814117,893.331909,75.606422
155,,,,427.906708,893.332520,75.515572
156,,,,428.025024,893.275208,75.434929
157,,,,428.112091,893.031799,75.840508
158,,,,428.260590,892.987305,76.087624
