PTP-1124
Date:,2025/04/16
Time:,10:37:45
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
1,875.804321,681.235657,118.693993
2,875.525146,681.352966,119.232857
3,875.435120,681.399231,119.561745
4,875.450378,681.419189,119.645645
5,875.390625,681.516602,119.767632
6,875.379456,681.606262,119.998924
7,875.294556,681.716553,120.132767
8,875.251343,681.869263,120.396706
9,875.193298,682.059631,120.567589
10,875.135132,682.250122,120.700691
11,875.132751,682.647766,120.941513
12,875.143005,683.024231,121.277245
13,874.932983,683.571045,121.685265
14,874.579468,684.129272,122.050018
15,874.347717,684.706787,122.612328
16,873.920776,685.422485,123.365135
17,873.610962,686.232300,124.089310
18,872.830078,687.084106,124.391594
19,871.894775,688.038879,125.175377
20,871.043213,689.020325,125.831955
21,869.892761,690.059998,127.810699
22,868.659851,691.063354,129.248169
23,867.290100,692.348633,130.218338
24,866.096069,693.615906,131.292282
25,864.657898,695.410828,132.623856
26,863.345215,696.920471,133.594543
27,861.384399,698.512878,134.968445
28,859.411682,700.358459,136.776230
29,856.693909,702.253418,138.218140
30,854.263306,704.194519,139.285141
31,851.911194,705.936340,141.135422
32,849.014832,708.059875,142.699677
33,845.743286,710.383850,144.515457
34,842.626709,712.568787,146.091492
35,838.874146,714.929565,147.770447
36,835.666870,716.888794,149.281479
37,831.777649,719.262695,150.639923
38,827.938538,721.403992,152.342178
39,824.090576,724.034302,153.742676
40,819.063538,727.030212,155.249084
41,814.343567,729.525696,156.484909
42,809.795593,732.320679,158.240509
43,805.517944,734.385864,159.441849
44,800.689575,737.060364,160.376617
45,795.727417,739.952698,161.734406
46,790.846863,742.393188,163.205032
47,785.878235,745.055115,164.714600
48,780.205078,748.117371,165.053207
49,775.477051,750.511414,166.115646
50,770.596252,752.781555,167.715866
51,765.566406,755.293457,168.557220
52,759.459045,758.374573,169.272659
53,755.177795,760.781921,170.019028
54,750.354248,763.279297,170.184158
55,744.779785,766.193848,170.867203
56,739.108276,768.553345,172.033478
57,733.879822,771.132141,172.558090
58,728.493225,773.830017,172.350937
59,722.926270,776.617615,173.195938
60,718.014709,779.508850,173.168793
61,712.774902,782.011475,173.587418
62,706.986633,784.640320,173.694275
63,701.753662,787.297546,174.511520
64,696.253906,789.804077,175.116257
65,691.026978,792.299683,174.874283
66,686.217285,795.270691,174.012329
67,681.381775,797.780273,174.092209
68,676.160156,800.105103,175.036530
69,671.086060,802.867798,174.743866
70,666.381104,805.722473,173.408081
71,661.892822,807.845459,172.633713
72,657.336121,810.623535,172.978851
73,652.450745,812.835510,173.022476
74,647.961548,815.553284,172.278458
75,643.645447,817.953308,172.722626
76,639.454407,820.547729,171.872894
77,635.121582,822.974182,170.749435
78,631.443970,825.472778,170.265137
79,627.167786,827.661560,169.556747
80,623.310669,830.345276,168.922653
81,619.487244,832.717834,168.032532
82,615.639954,835.090027,167.466812
83,612.076172,837.665649,166.362137
84,608.520508,839.636658,165.625931
85,605.385437,841.712280,164.732590
86,602.488586,843.566406,163.558075
87,599.539001,845.594482,163.177200
88,596.505188,847.476685,162.604492
89,593.569336,849.427856,160.987778
90,591.080078,850.695496,160.272293
91,588.206970,853.101563,159.165237
92,586.126831,854.454407,159.076492
93,583.506531,856.132324,157.775070
94,581.147461,858.059387,156.594101
95,579.188782,859.530701,155.445221
96,577.328918,860.957214,155.141251
97,575.178894,862.053406,154.271027
98,573.475647,863.391174,153.366837
99,571.654297,864.617126,152.987106
100,570.226379,865.529541,152.373413
101,568.356567,867.005859,150.680573
102,567.127930,868.345642,149.852249
103,565.790161,869.486633,148.600449
104,564.837341,870.105347,148.687622
105,563.279968,870.768005,148.216934
106,562.067139,871.753235,147.663330
107,560.881104,872.931763,146.281723
108,559.519775,873.775452,145.598633
109,558.679871,874.295166,145.335602
110,557.786316,874.791687,144.479614
111,556.853333,875.324219,143.635483
112,556.285828,875.709290,143.356964
113,555.285706,876.201843,142.759415
114,554.639893,876.373962,141.604355
115,554.385376,876.858215,139.989120
116,553.873779,877.262695,138.834839
117,553.359314,877.368103,138.003311
118,552.966431,877.791626,137.226074
119,552.516907,878.179321,136.675858
120,551.838989,878.367004,136.172028
121,551.104492,878.184326,136.161194
122,550.641113,877.896851,135.172668
123,550.430298,878.023315,134.622147
124,550.061096,878.207520,134.238312
125,549.540710,878.279358,133.673035
126,549.169800,878.506897,132.460678
127,549.082031,878.508606,131.643463
128,549.059753,878.418701,131.165207
129,548.954590,878.448608,130.675644
130,548.684509,878.422485,129.887360
131,548.309998,878.233398,129.307693
132,547.882507,878.120544,128.830612
133,547.669556,878.393738,127.760612
134,547.898682,878.571472,126.870125
135,548.102173,878.330261,126.697678
136,548.185486,878.034851,126.233116
137,548.319763,877.772461,125.518265
138,548.257996,877.608826,124.902840
139,548.167175,877.396729,124.445732
140,547.887939,877.035889,124.489418
141,547.678772,876.878418,124.005463
142,547.567200,877.073486,123.073692
143,547.708557,877.223145,122.081635
144,547.787903,877.250977,121.501083
145,547.724182,877.119324,121.119484
146,547.819580,876.895935,120.987320
147,547.857788,876.796814,120.460838
148,547.965637,876.764587,120.066566
149,548.024658,876.814331,119.715248
150,548.118469,876.818420,119.545235
151,547.993652,876.894104,119.500046
152,547.863342,877.039368,119.423546
153,547.635559,877.300232,119.057846
154,547.475952,877.454773,118.875740
155,547.341187,877.560547,118.676773
156,547.235596,877.814453,118.390877
157,547.212524,878.156433,117.878914
158,547.181152,878.341919,117.596466
159,547.080994,878.479370,117.688728
160,546.865906,878.679749,117.688164
161,546.731628,878.808960,117.652374
162,546.669861,879.015442,117.574951
163,546.586792,879.172302,117.603394
164,546.458313,879.315674,117.788200
165,546.263611,879.418640,117.498688
166,546.273987,879.576904,117.464226
167,546.200684,879.669067,117.340469
168,546.127747,879.693237,117.343567
169,546.145447,879.672241,117.545639
170,546.149963,879.614563,117.567917
171,546.239502,879.579407,117.540527
172,546.260742,879.576233,117.489105
173,546.335083,879.531982,117.290215
174,546.411194,879.415222,117.128128
175,546.493042,879.390259,117.051682
176,546.562866,879.392639,116.975288
177,546.601440,879.379150,116.915840
178,546.679443,879.390381,116.860046
179,546.729065,879.396912,116.765091
180,546.747925,879.383972,116.700813
181,546.780762,879.380188,116.733261
182,546.797607,879.381958,116.813042
183,546.792053,879.289795,116.806038
184,546.772034,879.306396,116.712433
185,546.774414,879.276489,116.781433
186,546.735657,879.282532,116.710960
187,546.721191,879.230164,116.596352
188,546.693237,879.201355,116.594376
189,546.697998,879.126282,116.611671
190,546.699463,879.006042,116.624710
191,546.716003,879.005859,116.546616
192,546.687805,878.917114,116.540329
193,546.671509,878.894775,116.562225
194,546.671326,878.804321,116.617409
195,546.656433,878.793518,116.597534
196,546.680176,878.771179,116.665833
197,546.647522,878.782959,116.584175
198,546.662354,878.801575,116.544312
199,546.868103,878.936096,116.413010
200,546.685852,878.858765,116.460983
201,546.635437,878.810242,116.629501
202,546.585571,878.806519,116.593033
203,546.515503,878.717163,116.596939
204,546.574280,878.699036,116.645798
205,546.567810,878.689026,116.662422
206,546.608337,878.703003,116.679123
207,546.621094,878.707703,116.673409
208,546.609131,878.724487,116.636749
209,546.528687,878.710144,116.635818
210,546.506714,878.702698,116.652939
211,546.533081,878.701111,116.683632
212,546.525391,878.613281,116.655388
213,546.546204,878.596436,116.676178
214,546.498596,878.596375,116.670799
215,546.482727,878.543457,116.636650
216,546.519531,878.510864,116.695648
217,546.521118,878.506470,116.716751
218,546.491577,878.526367,116.601143
219,546.526184,878.536743,116.588142
220,546.335571,878.290344,116.955360
221,546.389587,878.369995,116.754532
222,546.479614,878.445251,116.631416
223,546.726807,878.589966,116.419968
224,546.576416,878.467651,116.578133
225,546.704834,878.530212,116.557831
226,546.482727,878.452026,116.587189
227,546.386597,878.423157,116.679092
228,546.408081,878.422058,116.738251
229,546.412476,878.429810,116.764572
230,546.367615,878.433289,116.714478
231,546.392334,878.429199,116.681740
232,546.358459,878.448242,116.773911
233,546.293884,878.465210,116.769279
234,546.297241,878.553101,116.659157
235,546.273987,878.533081,116.478127
236,546.354553,878.616638,116.273155
237,546.334412,878.673950,116.623001
238,546.280518,878.609802,116.453911
239,546.313416,878.608276,116.341019
240,546.281555,878.665344,116.675674
241,546.243896,878.612976,116.479424
242,546.209412,878.725647,116.324692
243,546.217407,878.758057,116.297356
244,546.251160,878.761536,116.273277
245,546.267395,878.735107,116.377899
246,546.268127,878.698364,116.382118
247,546.254822,878.720276,116.406517
248,546.241394,878.751892,116.303123
249,546.296570,878.641479,116.333252
250,546.298401,878.691284,116.349434
251,546.272888,878.618652,116.366234
252,546.268494,878.638000,116.279953
253,546.312744,878.650208,116.224335
254,546.339600,878.625244,116.308067
255,546.316223,878.646729,116.262215
256,546.328064,878.623779,116.320824
257,546.303955,878.607300,116.325607
258,546.249695,878.631775,116.286827
259,546.155212,878.550476,116.272034
260,546.166870,878.589233,116.134521
261,546.188782,878.696594,116.090294
262,546.103333,878.641663,116.062988
263,545.992493,878.567200,116.258682
264,545.923340,878.586670,116.252800
265,545.897888,878.556458,116.331047
266,545.747925,878.557434,116.834106
267,545.575073,878.550049,116.984322
268,545.561951,878.561646,117.086815
269,545.515015,878.577515,117.177689
270,545.446106,878.580322,117.246704
271,545.399780,878.591980,117.361305

