PTP358
Date:,2025/04/23
Time:,12:53:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,873.236145,624.040833,109.000603,,,,,,,,,,,,
2,873.200073,624.004883,109.162766,,,,,,,,,,,,
3,873.151062,624.005249,109.208809,,,,,,,,,,,,
4,873.146973,624.010986,109.199623,,,,,,,,,,,,
5,873.158813,624.014709,109.184151,,,,,,,,,,,,
6,873.165039,624.015869,109.177887,,,,,,,,,,,,
7,873.111511,624.020874,109.204163,,,,,,,,,,,,
8,873.124146,624.026428,109.244263,,,,,,,,,,,,
9,873.140808,624.008057,109.274719,,,,,,,,,,,,
10,873.160400,624.002869,109.307373,,,,,,,,,,,,
11,873.121094,624.016602,109.328445,,,,,,,,,,,,
12,873.108398,623.973206,109.492485,,,,,,,,,,,,
13,873.041626,623.964417,109.642540,,,,,,,,,,,,
14,872.938477,624.007202,109.908997,,,,,,,,,,,,
15,872.898254,624.008545,110.127190,,,,,,,,,,,,
16,872.876953,624.041565,110.662598,,,,,,,,,,,,
17,872.761719,624.022339,110.881264,,,,,,,,,,,,
18,872.682373,624.018738,111.067917,,,,,,,,,,,,
19,872.659851,624.093079,111.230522,,,,,,,,,,,,
20,872.524292,624.141235,111.417770,,,,,,,,,,,,
21,872.336548,624.130554,111.803169,,,,,,,,,,,,
22,872.234985,624.238708,112.066963,,,,,,,,,,,,
23,871.965515,624.361145,112.514038,,,,,,,,,,,,
24,871.783813,624.660583,112.974045,,,,,,,,,,,,
25,871.719055,624.728027,114.437767,,,,,,,,,,,,
26,871.415344,625.014648,115.606369,,,,,,,,,,,,
27,871.139160,625.412964,116.433395,,,,,,,,,,,,
28,871.056946,625.669312,116.881264,,,,,,,,,,,,
29,870.793945,625.785645,117.564934,,,,,,,,,,,,
30,870.912903,626.186218,117.872231,,,,,,,,,,,,
31,870.866699,626.615845,118.653305,,,,,,,,,,,,
32,870.483643,627.054504,119.467796,,,,,,,,,,,,
33,870.029236,627.143860,120.698418,,,,,,,,,,,,
34,869.828369,626.895081,121.945610,,,,,,,,,,,,
35,869.697998,626.830566,122.645111,,,,,,,,,,,,
36,869.563538,626.862854,123.473557,,,,,,,,,,,,
37,869.177673,626.792480,125.147408,,,,,,,,,,,,
38,868.613647,626.624756,126.629150,,,,,,,,,,,,
39,868.163818,626.539856,127.535957,,,,,,,,,,,,
40,867.744690,626.178223,128.767944,,,,,,,,,,,,
41,867.484314,625.843567,129.706390,,,,,,,,,,,,
42,866.864685,625.572083,131.580643,,,,,,,,,,,,
43,866.060364,624.916626,133.552231,,,,,,,,,,,,
44,865.656372,624.594727,134.793686,,,,,,,,,,,,
45,865.141968,624.241516,135.861694,,,,,,,,,,,,
46,864.357056,623.541931,137.487366,,,,,,,,,,,,
47,863.435303,623.033569,138.820984,,,,,,,,,,,,
48,862.621521,622.412048,140.118210,,,,,,,,,,,,
49,861.512268,621.693909,141.728821,,,,,,,,,,,,
50,860.306396,620.872742,143.731491,,,,,,,,,,,,
51,858.857605,620.183899,145.678635,,,,,,,,,,,,
52,857.465515,619.484863,147.129013,,,,,,,,,,,,
53,856.250305,618.377136,148.913452,,,,,,,,,,,,
54,854.734436,617.533508,150.515091,,,,,,,,,,,,
55,852.797119,616.721802,152.125198,,,,,,,,,,,,
56,851.037048,615.726746,154.130814,,,,,,,,,,,,
57,849.287109,614.568542,155.575867,,,,,,,,,,,,
58,847.319519,613.667053,157.109314,,,,,,,,,,,,
59,844.995361,612.719299,158.647156,,,,,,,,,,,,
60,843.034607,611.375793,160.428116,,,,,,,,,,,,
61,840.587585,610.140686,161.969543,,,,,,,,,,,,
62,838.442078,609.122131,162.889542,,,,,,,,,,,,
63,836.302551,607.480652,165.103638,,,,,,,,,,,,
64,833.756836,606.363403,166.739548,,,,,,,,,,,,
65,831.028809,605.239929,168.448334,,,,,,,,,,,,
66,828.128784,603.942932,169.714920,,,,,,,,,,,,
67,825.311646,602.598328,171.340820,,,,,,,,,,,,
68,822.973816,600.827942,172.935562,,,,,,,,,,,,
69,819.923950,599.496582,173.863815,,,,,,,,,,,,
70,817.006409,597.996948,174.682770,,,,,,,,,,,,
71,814.369446,596.273682,176.148972,,,,,,,,,,,,
72,811.175171,594.697510,177.346649,,,,,,,,,,,,
73,807.718628,593.181763,178.143005,,,,,,,,,,,,
74,804.837830,591.472168,179.325195,,,,,,,,,,,,
75,801.404114,589.978943,180.006104,,,,,,,,,,,,
76,798.278625,588.113525,181.325836,,,,,,,,,,,,
77,794.787964,586.532471,182.257599,,,,,,,,,,,,
78,791.591187,584.819214,183.060989,,,,,,,,,,,,
79,787.994141,582.942505,183.457977,,,,,,,,,,,,
80,784.637451,580.890381,183.687317,,,,,,,,,,,,
81,780.916809,579.112671,184.101440,,,,,,,,,,,,
82,777.530701,577.146729,184.629257,,,,,,,,,,,,
83,773.870483,575.157349,185.105194,,,,,,,,,,,,
84,770.030884,572.909851,185.178146,,,,,,,,,,,,
85,766.241638,570.942444,185.625366,,,,,,,,,,,,
86,762.476929,568.786926,185.979187,,,,,,,,,,,,
87,758.620422,566.490051,186.027237,,,,,,,,,,,,
88,754.970398,564.344604,186.235611,,,,,,,,,,,,
89,751.389526,561.905090,186.002213,,,,,,,,,,,,
90,747.313049,559.862976,185.717972,,,,,,,,,,,,
91,743.560303,557.617310,185.908142,,,,,,,,,,,,
92,739.810852,555.476868,185.969666,,,,,,,,,,,,
93,735.873840,553.345520,186.292526,,,,,,,,,,,,
94,731.745178,551.030640,186.235382,,,,,,,,,,,,
95,727.560547,548.924683,186.015472,,,,,,,,,,,,
96,724.124329,546.695740,185.651764,,,,,,,,,,,,
97,720.057861,544.602478,185.390366,,,,,,,,,,,,
98,715.938599,542.610352,185.521103,,,,,,,,,,,,
99,712.076355,540.342773,185.208069,,,,,,,,,,,,
100,707.452698,538.105164,184.944351,,,,,,,,,,,,
101,703.262695,536.048950,184.280396,,,,,,,,,,,,
102,699.076172,534.304382,183.587662,,,,,,,,,,,,
103,694.855164,532.315674,183.043671,,,,,,,,,,,,
104,690.748047,530.347900,182.850739,,,,,,,,,,,,
105,686.453125,528.118530,182.249481,,,,,,,,,,,,
106,682.076599,526.076233,181.662354,,,,,,,,,,,,
107,677.817627,524.489136,180.540390,,,,,,,,,,,,
108,673.820801,522.508362,179.625214,,,,,,,,,,,,
109,669.688416,520.440918,178.943970,,,,,,,,,,,,
110,664.891174,518.805786,178.146713,2310.751221,301.093567,-134.569077,,,,,,,,,
111,660.844543,516.737305,177.692245,,,,,,,,,,,,
112,657.098999,514.892639,176.325363,,,,,,,,,,,,
113,652.957581,513.230774,174.798157,,,,,,,,,,,,
114,648.618042,511.342987,173.889099,,,,,,,,,,,,
115,644.594238,509.741272,173.094360,,,,,,,,,,,,
116,640.754822,508.112701,171.613541,,,,,,,,,,,,
117,636.615540,506.745361,170.253616,,,,2310.842773,300.954285,-134.383972,,,,,,
118,632.620178,505.129089,168.964554,,,,,,,,,,,,
119,628.613281,503.612000,167.548676,,,,,,,,,,,,
120,624.895264,502.321899,166.175125,,,,,,,,,,,,
121,620.992249,500.838684,165.102554,,,,,,,,,,,,
122,617.244446,499.466919,164.006622,,,,,,,,,,,,
123,613.450012,498.231445,162.209198,,,,,,,,,,,,
124,609.695679,497.231049,161.176575,,,,,,,,,,,,
125,606.104797,495.742645,159.783554,,,,,,,,,,,,
126,602.722290,494.571503,158.175232,,,,,,,,,,,,
127,599.257568,493.601501,157.123352,,,,,,,,,,,,
128,595.650452,492.560944,155.499069,,,,,,,,,,,,
129,592.444519,491.603363,154.322632,,,,,,,,,,,,
130,589.216370,490.344940,152.760788,,,,,,,,,,,,
131,585.803772,489.449127,151.621506,,,,,,,,,,,,
132,582.589111,488.747345,150.623962,,,,,,,,,,,,
133,579.902100,487.841400,149.166138,,,,,,,,,,,,
134,576.765686,486.949127,147.469803,,,,,,,,,,,,
135,574.114807,486.438477,146.609604,,,,,,,,,,,,
136,570.869568,485.504578,145.623215,,,,,,,,,,,,
137,568.552917,484.854095,144.565979,,,,,,,,,,,,
138,565.859741,484.236328,142.759247,,,,,,,,,,,,
139,563.492737,483.859192,141.680267,,,,,,,,,,,,
140,560.786682,483.007111,140.915817,,,,,,,,,,,,
141,558.422485,482.389526,140.142319,,,,,,,,,,,,
142,556.173584,481.730347,138.414246,,,,,,,,,,,,
143,554.093445,481.382629,137.108337,,,,,,,,,,,,
144,552.195068,480.897064,136.136810,,,,,,,,,,,,
