PTP355
Date:,2025/04/23
Time:,14:01:07
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,859.807007,650.989868,108.813507,,,,,,,,,
2,859.775085,651.027283,109.563683,,,,,,,,,
3,859.623962,651.091370,110.249802,,,,,,,,,
4,859.484314,651.233276,111.180344,,,,,,,,,
5,859.146729,651.383606,112.342293,,,,,,,,,
6,858.678528,651.542908,114.127907,,,,,,,,,
7,858.458862,651.386780,115.428993,,,,,,,,,
8,858.069519,651.600525,116.435120,,,,,,,,,
9,857.851196,651.819092,117.434296,,,,,,,,,
10,857.384949,651.814758,119.161484,,,,,,,,,
11,856.821899,651.632996,121.416321,,,,,,,,,
12,856.055725,651.673523,123.243797,,,,,,,,,
13,854.960876,651.158508,125.376122,,,,,,,,,
14,854.034729,651.229919,127.412689,,,,,,,,,
15,852.939453,651.266174,129.315536,,,,,,,,,
16,851.747253,650.955811,131.835037,,,,,,,,,
17,850.287415,650.765259,134.488068,,,,,,,,,
18,848.958618,650.772766,136.188370,,,,,,,,,
19,847.337219,650.260254,138.951263,,,,,,,,,
20,845.181458,649.999146,141.680573,,,,,,,,,
21,843.438171,649.401489,143.943710,,,,,,,,,
22,841.244019,648.864868,146.536285,,,,,,,,,
23,838.989990,648.703430,149.104462,,,,,,,,,
24,837.072998,647.796814,151.551025,,,,,,,,,
25,834.438599,647.252075,154.393433,,,,,,,,,
26,832.191956,646.230652,157.007553,,,,,,,,,
27,829.546631,645.404419,158.951950,,,,,,,,,
28,827.008057,644.989929,161.540588,,,,,,,,,
29,824.236938,643.610046,164.213196,,,,,,,,,
30,821.522644,642.567749,166.499756,,,,,,,,,
31,818.477722,641.811157,169.063004,,,,,,,,,
32,815.532654,640.605957,171.698395,,,,,,,,,
33,812.435547,638.940735,174.049469,,,,,,,,,
34,809.264099,637.993225,175.965225,,,,,,,,,
35,805.832214,636.797180,178.003265,,,,,,,,,
36,802.806519,635.107727,180.322250,,,,,,,,,
37,799.402527,633.787659,182.525757,,,,,,,,,
38,796.114075,632.408508,183.956894,,,,,,,,,
39,792.286011,630.936829,186.481140,,,,,,,,,
40,788.518066,629.682800,188.653778,,,,,,,,,
41,785.537476,628.083496,190.126022,,,,,,,,,
42,782.138000,625.960388,191.908798,,,,,,,,,
43,778.396912,624.414490,193.479889,,,,,,,,,
44,774.883301,622.935852,194.996506,,,,,,,,,
45,771.391602,621.488281,196.252213,,,,,,,,,
46,767.463257,619.561523,198.098755,,,,,,,,,
47,763.885437,617.613831,199.747421,,,,,,,,,
48,760.083740,615.943604,200.986130,,,,,,,,,
49,756.480896,613.933594,201.792816,,,,,,,,,
50,752.566956,611.924255,203.419998,,,,,,,,,
51,748.886047,609.713806,204.340485,,,,,,,,,
52,745.117310,607.829407,205.043182,,,,,,,,,
53,741.528870,605.901428,206.096039,,,,,,,,,
54,737.804626,603.732422,206.796188,,,,,,,,,
55,733.652771,602.141296,207.389069,,,,,,,,,
56,729.873535,600.469543,207.899490,,,,,,,,,
57,726.134766,598.344788,208.124603,,,,,,,,,
58,722.245972,596.392761,208.562576,,,,,,,,,
59,718.860901,594.040649,208.384521,,,,,,,,,
60,714.403015,592.124878,208.955139,,,,,,,,,
61,710.693115,589.729553,208.732300,,,,,,,,,
62,707.312439,587.298401,209.128769,,,,,,,,,
63,703.323547,585.146484,209.857025,,,,,,,,,
64,699.706970,582.984131,209.364670,,,,,,,,,
65,695.595947,580.970764,209.300262,,,,,,,,,
66,691.847107,579.353455,208.773743,,,,,,,,,
67,688.173096,576.779358,208.280212,,,,,,,,,
68,684.309143,574.453918,207.790558,,,,,,,,,
69,680.668152,572.158386,207.266388,,,,,,,,,
70,677.030701,570.008667,206.378952,,,,,,,,,
71,673.171387,567.762329,205.767532,,,,,,,,,
72,669.666138,565.308838,204.768311,,,,,,,,,
73,666.189758,563.176208,204.463760,,,,,,,,,
74,662.588135,560.971313,203.146851,,,,,,,,,
75,659.398376,558.920227,202.295456,,,,,,,,,
76,655.331909,556.661499,201.890411,,,,,,,,,
77,651.751892,554.534668,200.447449,,,,,,,,,
78,648.149109,552.542236,199.322266,,,,,,,,,
79,644.444153,550.436584,198.595657,,,,,,,,,
80,641.274597,548.254395,197.729385,,,,,,,,,
81,637.769653,546.328979,196.657059,,,,,,,,,
82,634.483948,544.094727,196.096405,,,,,,,,,
83,630.891357,542.165894,194.840805,,,,,,,,,
84,627.363403,539.955322,193.801117,,,,,,,,,
85,623.794312,538.110779,192.939392,,,,,,,,,
86,620.721375,536.157593,191.864471,,,,,,,,,
87,617.132751,534.386292,191.141327,,,,,,,,,
88,613.772095,532.090881,189.567902,,,,,,,,,
89,610.598633,530.383301,188.451492,,,,,,,,,
90,607.553284,528.412964,187.620987,,,,,,,,,
91,604.401855,526.401978,186.503662,,,,,,,,,
92,601.340454,524.722961,185.441772,,,,,,,,,
93,597.978760,522.752441,183.973297,,,,,,,,,
94,595.058350,520.876221,183.179382,,,,,,,,,
95,591.900757,519.096130,181.786819,,,,,,,,,
96,589.203186,517.308228,180.595093,,,,,,,,,
97,586.252502,515.657959,179.785202,,,,,,,,,
98,583.637634,513.743103,177.854645,,,,,,,,,
99,580.557556,512.266052,176.853638,,,,,,,,,
100,578.044434,509.909271,175.439270,,,,,,,,,
101,575.226074,508.699524,174.656937,,,,,,,,,
102,572.596741,506.988800,173.184860,,,,,,,,,
103,570.245361,505.388397,171.771561,,,,,,,,,
104,567.514648,504.018158,170.148132,,,,,,,,,
105,565.017212,502.417725,169.311264,,,,,,,,,
106,562.641602,501.169617,167.921371,,,,,,,,,
107,560.186096,499.621216,166.392303,,,,,,,,,
108,557.916931,498.341370,165.209579,,,,,,,,,
109,555.413147,497.077789,163.947891,,,,,,,,,
110,553.255066,495.991394,162.583649,,,,,,,,,
111,551.043091,494.725342,161.219330,,,,,,,,,
112,548.566223,493.650055,160.135483,,,,,,,,,
113,546.790100,492.525085,158.665924,,,,,,,,,
114,544.614502,491.632996,157.085403,,,,,,,,,
115,542.490662,490.496948,155.882980,,,,,,,,,
116,540.582275,489.664825,154.530884,,,,,,,,,
117,538.758545,488.530182,153.435410,,,,,,,,,
118,536.518188,487.773956,151.979828,,,,,,,,,
119,535.015320,486.925323,150.796265,,,,,,,,,
120,533.288086,485.991364,149.506165,,,,,,,,,
121,531.426025,485.147919,147.462021,,,,,,,,,
122,530.047852,484.508362,146.404861,,,,,,,,,
123,528.408997,483.665894,145.065277,,,,,,,,,
124,527.008362,482.967712,143.500580,,,,,,,,,
125,525.626770,482.252075,141.707367,,,,,,,,,
126,524.558960,481.549744,140.892166,,,,,,,,,
127,523.067566,480.821411,139.566406,,,,,,,,,
128,521.962891,480.071320,137.658661,,,,,,,,,
129,520.852112,479.593140,136.145889,,,,,,,,,
130,520.231873,478.919678,135.274185,,,,,,,,,
131,518.951965,478.238892,134.298096,,,,,,,,,
132,518.254150,477.891663,132.138855,,,,,,,,,
133,517.381165,477.527496,130.621017,,,,,,,,,
134,516.309082,477.232574,129.609421,,,,,,,,,
135,515.916870,476.586914,128.831589,,,,,,,,,
136,515.295227,475.961151,127.049446,,,,,,,,,
137,514.844727,475.847382,125.703842,,,,,,,,,
138,514.277893,475.605103,124.764359,,,,,,,,,
139,513.555847,475.172211,123.353851,,,,,,,,,
140,512.963379,475.038330,121.812897,,,,,,,,,
141,512.572754,474.855011,120.348419,,,,,,,,,
142,511.732025,474.610809,119.014542,,,,,,,,,
143,511.134094,474.368103,118.328331,,,,,,,,,
144,510.715820,474.026062,117.094429,,,,,,,,,
145,510.247620,473.952362,115.502251,,,,,,,,,
146,509.816345,473.803772,114.583328,,,,,,,,,
147,509.515533,473.683105,114.174812,,,,,,,,,
148,508.957001,473.459686,113.246696,,,,,,,,,
149,508.494690,473.316345,111.674774,,,,,,,,,
150,508.315094,473.542633,110.010658,,,,,,,,,
151,508.188660,473.504333,109.424736,,,,,,,,,
152,507.598572,473.524048,108.445961,,,,,,,,,
153,506.970978,473.705933,106.978615,,,,,,,,,
154,506.598816,473.862518,106.386406,,,,,,,,,
155,506.080933,473.864532,105.949196,,,,,,,,,
156,505.653351,474.056854,104.901985,,,,,,,,,
157,505.228607,474.135986,103.728142,,,,,,,,,
158,504.931335,474.323914,102.787605,2409.533691,215.580627,-111.978416,,,,,,
159,504.870605,474.357422,101.888824,,,,,,,,,
160,504.381378,474.508636,101.211441,,,,,,,,,
161,503.897369,474.490234,100.487946,,,,,,,,,
162,503.608093,474.538818,99.934082,,,,,,,,,
163,503.437836,474.495819,99.480881,,,,,,,,,
164,503.601837,474.459991,98.706879,,,,,,,,,
165,503.434662,474.443085,97.555580,,,,,,,,,
166,503.317261,474.599091,96.367500,,,,,,,,,
167,503.202118,474.452637,95.349022,,,,,,,,,
168,503.164673,474.261658,94.664444,,,,,,,,,
169,503.198944,473.960907,94.314156,,,,,,,,,
170,503.163025,473.675232,94.147682,,,,,,,,,
171,503.113373,473.362213,94.036621,,,,,,,,,
172,503.302277,473.068787,93.592438,,,,,,,,,
173,503.262848,472.835724,93.397346,,,,,,,,,
174,503.153198,472.505829,93.399559,,,,,,,,,
175,503.247925,472.273560,93.335213,,,,,,,,,
176,503.110107,472.102295,93.214508,,,,,,,,,
177,503.037689,471.985138,93.051704,,,,,,,,,
178,503.003174,471.836975,92.957344,,,,,,,,,
179,502.976257,471.712097,92.767662,,,,,,,,,
180,502.891052,471.600281,92.559540,,,,,,,,,
181,502.906799,471.475403,92.363159,,,,,,,,,
182,502.906281,471.452209,92.204109,,,,,,,,,
183,502.967133,471.454254,92.039627,,,,,,,,,
184,503.042999,471.411957,91.967056,,,,,,,,,
185,503.071777,471.498779,91.808029,,,,,,,,,
186,503.132751,471.520447,91.749435,,,,,,,,,
187,503.182007,471.502899,91.695885,,,,,,,,,
188,503.252472,471.605927,91.769539,,,,,,,,,
189,503.232544,471.543335,91.815643,,,,,,,,,
190,503.220001,471.534973,91.946342,,,,,,,,,
191,503.186279,471.499359,92.010498,,,,,,,,,
192,503.166595,471.515076,92.089706,,,,2409.374268,215.624603,-112.002434,,,
193,503.171661,471.530945,92.191879,,,,,,,,,
194,503.095703,471.585114,92.326973,,,,,,,,,
195,503.015381,471.497070,92.425529,,,,,,,,,
196,503.026398,471.454529,92.500618,,,,,,,,,
197,502.997620,471.476044,92.609924,,,,,,,,,
198,502.930817,471.425079,92.674149,,,,,,,,,
199,502.835419,471.437134,92.713585,,,,,,,,,
200,502.791229,471.351746,92.868034,,,,,,,,,
201,502.716034,471.302032,92.919098,,,,,,,,,
202,502.656677,471.285217,92.942802,,,,,,,,,
203,502.649384,471.281860,93.073761,,,,,,,,,
204,502.611664,471.290802,93.171379,,,,,,,,,
205,502.620270,471.273407,93.250328,,,,,,,,,
206,502.596588,471.246552,93.285706,,,,,,,,,
207,502.614960,471.216370,93.336372,,,,,,,,,
208,502.602203,471.239563,93.409264,,,,,,,,,
209,502.655029,471.221008,93.540932,,,,,,,,,
210,502.633820,471.254028,93.558830,,,,,,,,,
211,502.718109,471.255768,93.621910,,,,,,,,,
212,502.720093,471.265625,93.753883,,,,,,,,,
213,502.701294,471.268524,93.791672,,,,,,,,,
214,502.696014,471.370117,93.827034,,,,,,,,,
215,502.765411,471.411926,93.935066,,,,,,,,,
216,502.811890,471.488068,93.927528,,,,,,,,,
217,502.815002,471.588776,93.926025,,,,,,,,,
218,502.777405,471.633514,94.018501,,,,,,,,,
219,502.830383,471.707794,94.086472,,,,,,,,,
220,502.790558,471.984894,93.798836,,,,,,,,,
221,502.750977,472.028961,93.741043,,,,,,,,,
