PTP359
Date:,2025/04/26
Time:,15:51:45
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
1,857.021362,663.286499,138.087463
2,855.559326,663.056763,138.547348
3,853.611755,662.402771,140.197495
4,850.700745,661.663147,141.997330
5,848.099976,660.450684,144.032471
6,845.191528,659.529724,145.424332
7,842.991943,658.967590,146.784973
8,840.069153,657.942383,148.567703
9,836.928101,656.755310,150.174393
10,833.516785,655.798096,151.839676
11,830.717468,654.632813,153.123611
12,827.283386,653.494324,154.119949
13,824.360229,652.436218,155.224533
14,820.736328,650.966431,156.836349
15,816.910889,649.497253,158.323700
16,813.486084,647.924988,159.654144
17,808.977966,646.330811,161.371353
18,805.194397,644.624573,162.603882
19,801.115173,642.880432,164.069260
20,797.481873,641.077148,164.917831
21,792.934937,639.625122,166.201843
22,788.737671,637.578491,166.629623
23,784.510925,635.882629,167.769058
24,780.076782,634.084351,168.741760
25,775.574463,632.148315,169.838455
26,771.211426,630.023010,170.582535
27,766.610168,627.924500,171.421875
28,762.020996,625.975342,172.150620
29,757.441711,624.008484,172.644699
30,752.944275,621.810730,173.018494
31,748.012451,619.701294,173.839508
32,742.823547,617.504578,174.640961
33,738.031616,615.021057,174.769958
34,733.138184,612.537659,175.179459
35,728.522339,610.230896,174.917587
36,723.464050,608.051270,175.195221
37,718.789795,605.615662,174.944382
38,713.665588,602.978271,175.476013
39,708.557251,600.669922,175.717758
40,703.243591,598.116272,175.867096
41,698.421204,595.736877,175.757095
42,693.535828,593.175781,175.337311
43,688.558228,590.946289,174.770447
44,683.703491,588.502991,174.413269
45,678.428589,586.096558,174.839447
46,673.392700,583.666199,174.244751
47,668.712891,581.435791,173.940689
48,664.177795,579.020508,173.520752
49,659.398743,576.727905,173.259689
50,654.632507,574.362000,172.707809
51,650.069092,572.003540,171.991379
52,645.804993,569.890564,171.247589
53,641.302185,567.023621,170.843491
54,636.643433,564.425964,170.849915
55,632.262451,562.152344,170.033600
56,627.419312,559.923645,169.796234
57,623.450928,557.559265,169.228912
58,619.573669,555.332092,168.556473
59,615.541809,553.046021,167.632263
60,611.294434,551.031921,166.733521
61,607.214233,548.947327,166.435928
62,603.579529,546.672852,165.670380
63,599.707703,544.701721,165.287231
64,596.077698,542.639587,164.634644
65,592.275879,540.817383,164.251068
66,588.662109,538.869751,163.594009
67,585.402039,537.234558,162.245636
68,581.870911,535.552673,161.466934
