Präzision22
Date:,2025/04/16
Time:,10:58:45
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,789.553223,671.535645,69.583916,736.687439,1033.605591,425.736542,791.588989,772.122559,125.697250,698.398071,995.607056,271.646881,806.107361,692.947205,63.487408,,,,,,,,,
2,789.558777,671.650940,69.626671,736.661743,1033.583252,425.771027,791.687378,772.125122,125.702354,698.395813,995.601746,271.630096,806.199829,692.846375,63.469982,,,,,,,,,
3,789.595398,671.693115,69.618355,736.689880,1033.578369,425.739990,791.695251,772.219177,125.584221,698.528381,995.532532,271.662506,806.262024,692.914673,63.462955,,,,,,,,,
4,789.581299,671.775391,69.655357,736.757202,1033.686279,425.700073,791.694275,772.252380,125.578201,698.584534,995.522217,271.650940,805.979431,692.964539,63.374180,,,,,,,,,
5,789.534912,671.695435,69.589157,736.787842,1033.703247,425.679260,791.803162,772.219971,125.667831,698.606873,995.599121,271.656464,806.055359,692.994202,63.304874,,,,,,,,,
6,789.593384,671.676941,69.557503,736.786987,1033.702881,425.686432,791.783997,772.183472,125.669983,698.615662,995.629883,271.636322,806.171631,692.984924,63.357265,,,,,,,,,
7,789.540100,671.704590,69.562149,736.781433,1033.719849,425.638550,791.810852,772.291748,125.577812,698.682007,995.647400,271.599030,806.253235,692.975952,63.479107,,,,,,,,,
8,789.607239,671.753784,69.552200,736.757080,1033.713745,425.640686,791.877380,772.303833,125.625900,698.728882,995.735352,271.564178,806.253845,692.934143,63.486816,,,,,,,,,
9,789.684814,671.782349,69.568222,736.814087,1033.705933,425.624939,791.880066,772.292419,125.624031,698.762390,995.756409,271.515411,806.252563,692.939697,63.459129,,,,,,,,,
10,789.620605,671.762573,69.574303,736.828308,1033.717896,425.586517,791.873596,772.335144,125.616554,698.881470,995.784241,271.457092,806.247070,692.970276,63.481491,,,,,,,,,
11,789.630676,671.742981,69.611511,736.908508,1033.818970,425.544342,791.896423,772.395142,125.612778,698.908142,995.929932,271.443878,806.276855,692.978271,63.473083,,,,,,,,,
12,789.641113,671.737732,69.622047,736.957886,1033.846436,425.541107,791.953308,772.395386,125.548027,698.944214,995.950317,271.445313,806.290100,692.976013,63.473225,,,,,,,,,
13,789.889038,671.496216,69.380409,736.917236,1033.836548,425.538361,791.984375,772.461548,125.570663,698.972717,995.954590,271.403717,806.309265,692.978210,63.514591,,,,,,,,,
14,789.965942,671.462524,69.355461,736.979126,1033.846802,425.511230,791.819397,772.441040,125.239136,699.077820,995.983643,271.358826,806.332153,693.056091,63.491478,,,,,,,,,
