Präzision22
Date:,2025/04/16
Time:,11:11:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,776.320007,687.778320,79.618126,806.687134,795.808594,94.872253,803.019043,694.045471,78.472122,757.992676,1148.911133,283.911957,751.999084,1012.295593,113.330772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,776.618958,688.465698,80.407143,806.470032,796.296631,95.952324,802.741394,694.551697,79.266678,758.021912,1149.410645,283.745178,752.045898,1013.099731,113.449455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,776.965820,689.089233,81.265182,806.758911,796.651489,97.578758,803.414490,694.965820,80.737572,758.173157,1149.827393,283.852722,752.036926,1014.010437,113.610504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,777.065369,689.699402,82.671883,806.715271,797.505188,98.829597,803.557678,695.982361,82.381813,758.123169,1150.324341,283.996002,752.371094,1014.942383,114.068138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,776.513184,690.186707,84.207237,806.699341,798.334351,99.728966,803.538147,696.493408,84.354431,758.033569,1150.835083,284.362946,752.693054,1015.631470,114.377388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,776.150757,690.829590,85.718857,806.557556,799.359924,101.262489,803.483826,696.829773,85.559860,757.974670,1151.628784,284.816315,752.640137,1016.413208,114.463432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,776.454651,691.674255,87.349281,806.440369,800.089905,102.237396,803.982483,696.887512,87.500671,758.148743,1152.417725,285.236572,752.336670,1017.477173,114.804932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,776.836731,692.506287,88.776283,806.515991,800.554077,104.078049,803.810974,697.537354,89.632881,758.561829,1153.016724,285.455231,752.274048,1018.543579,115.234856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,776.685913,693.613892,90.557671,806.538147,801.303711,105.492554,803.093384,699.002197,91.172310,758.706848,1153.776367,285.411011,752.582520,1019.267517,115.467773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,776.525452,694.139038,92.029762,806.458374,802.653625,107.496544,803.103027,699.999573,92.397614,759.013855,1154.639648,285.326050,752.935364,1020.251038,115.682510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,775.936462,695.287354,94.617401,806.252075,803.586121,108.623894,802.972595,700.605652,94.686180,759.067383,1155.698608,285.471069,753.140198,1021.542053,116.021721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,775.791565,696.381409,96.866615,806.200378,804.205139,110.784515,802.987488,701.779785,96.758003,759.127075,1156.530640,285.679413,753.298157,1022.693420,116.313026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,776.164124,697.318909,98.051392,806.001282,805.150757,112.873268,802.675720,702.891052,97.774071,759.358887,1157.284668,285.813751,753.218933,1023.799255,116.651756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,776.359741,697.932617,99.983299,805.806702,806.557373,114.513466,803.156372,703.649902,100.942314,759.515259,1158.316528,286.012482,753.088013,1025.175049,116.954559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,776.319519,699.284241,102.153206,805.649231,807.653076,116.216042,803.586792,704.521301,102.869690,759.654053,1159.524170,286.086853,752.983826,1026.329468,117.352249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,776.028076,700.681946,104.146591,805.700745,808.559753,118.604263,802.923035,705.740295,104.925095,759.713379,1160.713501,286.224396,752.644470,1027.535400,117.475006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,776.177795,701.815247,106.128487,805.666748,810.040833,120.561798,802.597900,706.971008,107.023315,759.999573,1161.741699,286.278381,752.657654,1029.099854,118.124130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,776.046692,703.097717,108.395279,804.987671,811.567932,122.746437,802.464355,708.751709,108.981995,760.074890,1163.042358,286.530487,752.756287,1030.277466,118.767426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,775.412903,704.733704,111.296249,804.926697,812.812500,124.302040,801.460876,710.517273,111.111206,760.143188,1164.296631,286.625854,752.695190,1031.855835,119.167763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,775.325317,705.765503,113.008560,805.046631,814.224548,126.717972,802.116089,711.179199,113.303093,760.298279,1165.328003,286.683319,752.642090,1033.412720,119.919464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,775.036560,707.587036,116.240181,804.860779,815.594116,128.824615,802.449036,712.838928,116.636299,760.775940,1166.377319,286.918518,752.479736,1034.968018,120.309822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,774.535950,708.984497,117.991470,804.682495,817.539856,130.412064,801.668457,714.466370,118.114403,761.625305,1167.224487,286.996063,752.147583,1036.788574,120.861870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,773.704041,710.851563,120.990501,804.299133,819.223206,132.386292,800.775330,716.036499,120.771828,762.079773,1168.253784,287.231140,752.312988,1038.224487,121.436707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,773.808594,712.312317,122.985008,804.292908,820.905518,134.865509,800.731140,717.624939,122.816849,761.784546,1169.906372,287.761169,751.969299,1040.124023,121.962784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,773.855652,714.194641,124.934624,803.946106,822.931091,136.870422,800.731995,719.468445,125.281616,761.413452,1171.225220,288.477081,751.504456,1041.634033,123.122398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,773.172729,716.138245,127.459549,803.302551,824.489990,138.689392,800.149841,721.359253,127.463120,761.101563,1172.480713,289.003876,750.965271,1043.729492,124.398682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,772.754700,717.977173,129.633316,803.036438,826.519592,140.422165,799.705505,723.341125,129.934158,761.288391,1173.857910,289.571350,750.764526,1045.515625,124.878944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,772.340881,719.840881,132.159805,802.548523,828.131226,143.008133,799.753784,725.431274,132.156189,761.581360,1175.149414,289.982391,751.001221,1047.459595,125.170074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,772.000549,721.991089,133.763351,802.223083,830.417847,145.148956,798.976440,727.266357,133.857956,762.083069,1176.526001,290.068542,750.982239,1049.626831,125.617645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,771.246887,723.984924,136.215149,801.491760,832.203491,147.413635,798.056274,729.322693,136.225479,762.357971,1178.111816,290.210510,750.591797,1051.737793,126.615601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,771.089722,725.830017,138.400604,800.970215,834.684509,149.077301,797.765564,731.450012,138.662994,762.286682,1179.452393,290.789246,750.085083,1054.055664,127.282249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,770.348022,728.070435,140.932663,800.388855,836.429749,151.160004,797.669312,733.218140,140.960724,762.760681,1180.993896,291.315552,749.724487,1056.006226,127.558769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,769.716431,730.103821,142.775864,799.841003,838.746521,153.293594,796.369629,735.969666,142.983536,763.448547,1182.608765,291.345978,749.604797,1058.265137,128.531281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,768.915710,732.508606,144.810455,799.218018,840.972473,155.652298,795.422241,737.835449,144.700562,763.787415,1184.223999,291.642029,749.054321,1060.890137,129.508224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,768.492676,734.777405,146.480637,798.281982,843.342468,157.537598,794.615356,740.472290,146.632309,764.195007,1185.742188,292.344330,748.632080,1063.008545,130.124542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,767.480347,737.102356,149.007675,797.502747,845.756226,159.513397,794.078186,742.321716,149.071442,764.418091,1187.602173,292.924988,748.876526,1065.341553,131.026428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,766.381287,739.320618,151.400589,796.792358,847.995483,161.308365,793.818237,744.506226,151.479950,764.485779,1189.469727,293.431122,748.175842,1068.023804,131.965729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,765.679749,742.164978,153.446854,795.805054,850.006897,162.698090,792.913269,746.746216,153.804779,764.830383,1191.369873,293.905609,747.358643,1070.184570,132.737854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,764.671387,744.538574,155.252945,795.139160,853.006226,164.821320,791.755310,749.394165,155.411911,764.909851,1193.013428,294.240295,747.022766,1072.543335,133.459732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,763.922607,746.758240,157.145905,794.602844,855.543091,166.789719,790.517334,752.455017,157.086258,764.908691,1194.913330,294.703918,746.626160,1075.451294,134.518723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,762.732544,749.873108,159.172104,793.609741,858.508301,168.577927,789.001099,754.642090,159.483139,765.233459,1196.654541,295.366516,746.191040,1077.879517,135.069794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,761.517090,752.482239,161.070724,792.667725,860.819824,169.939117,787.929871,757.775940,160.858276,765.850464,1198.452637,295.896667,745.852600,1080.429932,135.531174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,760.814880,754.917542,162.652542,791.495544,863.643616,172.207703,786.723511,760.384644,163.168076,766.373169,1200.150146,296.418396,745.556519,1083.284302,136.342407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,759.469849,757.677734,164.846176,790.600769,866.538879,173.943497,786.403198,762.408569,164.990585,767.042358,1202.155518,297.404358,744.990051,1086.142456,137.148788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,757.898376,760.774597,166.870239,789.351868,869.045776,176.017365,785.337341,765.081421,167.239304,768.003967,1203.988281,297.696381,743.806702,1088.666138,138.306946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,757.159241,763.627258,168.246353,788.517700,871.458435,177.578751,783.832397,768.347900,168.546371,768.179688,1205.904663,298.080261,743.662903,1091.220459,139.485916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,755.467346,766.195129,170.294388,787.263916,874.701904,179.389297,782.665710,770.699768,170.631653,768.688110,1207.618652,298.781189,743.640198,1093.980713,140.012268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,754.313599,768.694580,171.626419,786.183167,877.298218,180.956650,781.002319,773.825195,172.340820,769.158142,1209.732544,299.684814,742.937927,1097.230835,141.103592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,753.290710,771.513916,172.684860,785.247986,880.246094,183.192978,780.301758,776.231628,173.532822,769.114563,1211.817261,300.537872,742.536072,1100.169556,141.957626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,751.559937,774.895630,174.601379,783.655334,883.144104,184.564072,778.323181,779.328674,175.203232,769.916870,1213.415161,301.276703,742.071899,1103.012085,142.357880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,749.901184,777.833191,176.638779,782.388977,885.834656,185.911407,776.920898,782.360901,176.014694,769.959778,1216.033203,302.227448,741.155640,1105.888306,143.378525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,748.311035,780.511780,177.975494,781.304626,888.315674,187.311829,774.922974,786.089966,177.750580,770.052429,1218.091553,302.652374,740.904236,1108.701538,144.757385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,746.904175,783.515015,179.389862,779.876099,891.578308,189.023331,773.606201,788.294067,179.065430,770.488464,1220.071899,303.451172,740.313416,1111.740112,145.774811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,745.462769,786.679443,180.605255,778.612244,894.762024,190.584427,772.702393,790.293274,181.107391,771.235352,1222.071777,304.414063,739.639099,1114.993164,147.292587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,743.589905,789.665894,182.017776,777.246887,897.323914,191.904907,770.973877,793.653748,182.120972,771.790771,1224.244751,305.172302,739.388428,1118.031250,147.911270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,741.760620,792.819092,183.249069,776.068848,900.074036,193.395020,768.916748,796.949036,183.813644,772.479797,1226.371460,306.014435,738.872681,1121.115479,148.609161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,740.448669,795.952087,184.726135,774.799988,903.280212,194.916977,767.203613,800.293823,184.424667,773.216187,1228.314209,306.599670,738.349182,1124.156128,149.447723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,738.390747,798.989929,186.126602,773.166870,906.219177,195.489700,765.274475,803.418762,186.015671,773.935547,1230.440918,307.381256,738.370789,1127.131226,150.444412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,737.034912,801.790405,186.833542,771.510925,909.143555,196.808792,764.486877,805.818604,187.031586,774.733887,1232.441772,308.067108,737.765686,1130.321899,151.607925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,735.284546,804.948425,187.964081,770.281433,912.331299,198.009171,762.075500,808.307190,188.891403,775.309570,1234.542603,309.106720,737.260437,1133.265015,152.539398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,733.302795,808.075867,189.161636,768.796875,915.356995,199.473663,760.015015,811.792297,189.037170,775.751282,1236.770142,309.916565,737.189758,1136.283447,154.102188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,731.257996,811.068359,190.808167,767.651733,917.948120,200.576141,758.584961,815.042297,190.407669,776.157166,1238.792969,310.835266,736.555237,1139.572021,155.193329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,729.765076,814.305969,191.386703,766.274109,920.873657,202.128143,756.856140,817.982605,191.463898,776.825439,1240.883301,311.622437,736.160706,1142.770874,155.815475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,727.883667,817.481750,191.797684,765.208008,923.827332,203.417816,754.543823,820.502991,192.619232,777.073853,1242.877930,312.491547,735.946533,1145.868164,156.750549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
