Präzision40
Date:,2025/04/16
Time:,14:29:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,793.471985,681.942993,77.099319,694.546936,1108.055054,359.826263,812.251709,704.388916,66.918915,697.893066,1018.527771,202.595718,793.550842,798.645020,92.697426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,793.440552,681.916077,77.070763,694.564270,1108.060669,359.795624,820.972595,702.360107,74.791061,697.903198,1018.531860,202.601257,793.991577,798.682129,93.307213,2330.333740,-556.083801,-152.679932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,793.429688,681.808655,77.022568,694.621277,1108.133057,359.824951,823.055969,701.777954,76.819733,697.947571,1018.520081,202.642273,794.012756,798.632874,93.434105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,793.349670,681.870117,77.104881,694.616882,1108.151489,359.859711,821.902771,702.005798,75.897179,697.873169,1018.524597,202.618988,793.962708,798.604248,93.356010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,793.285522,681.838562,77.072922,694.722229,1108.237671,359.894226,820.843567,702.249756,74.893051,697.796204,1018.511902,202.653442,793.907593,798.625916,93.325569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,793.285645,681.836304,77.092468,694.690857,1108.264160,359.842834,820.565491,702.288879,74.588364,697.669495,1018.549988,202.953995,793.820129,798.568787,93.361694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,793.243713,681.810730,77.124222,694.809814,1108.314941,359.986328,820.702637,702.209778,74.760178,697.475769,1018.567810,203.024857,793.943665,798.486206,93.455666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,793.224976,681.811584,77.120850,694.909119,1108.349976,359.978943,820.684082,702.126282,74.877289,697.432495,1018.656128,203.042297,793.838135,798.506409,93.450607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,793.189758,681.840454,77.103035,694.895691,1108.430664,360.002899,820.656738,702.117188,74.880447,697.320740,1018.705933,202.888153,793.876099,798.480225,93.528770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,793.154053,681.874390,77.261612,694.942993,1108.547363,359.996704,820.653687,702.094421,74.982056,697.156311,1018.703857,202.919479,793.762024,798.498474,93.503120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
