Präzision56
Date:,2025/04/22
Time:,15:47:33
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,842.043945,785.764709,90.717392,831.754517,695.780579,44.617676,797.712585,688.206360,41.049274,803.635315,1027.876709,208.975861,793.066589,1129.946167,346.013947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,841.769592,785.769470,90.819847,831.349487,696.193787,44.726822,,,,803.651978,1028.023682,208.820724,793.117981,1129.847290,345.964264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,841.603027,785.754333,90.904869,831.268799,696.179443,45.137108,,,,803.713501,1028.139404,208.514282,793.054016,1129.841675,345.943542,797.351135,688.078796,41.452530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,841.318237,785.908630,91.002213,830.951843,696.248047,45.780800,,,,803.691956,1028.270386,208.329910,792.972351,1129.808594,346.052246,797.272461,688.073669,41.539700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,841.048340,786.048157,91.212708,830.910156,695.979614,46.547390,,,,803.517029,1028.451416,208.196136,792.950745,1129.844727,345.967896,797.068054,688.080627,41.671661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,840.635864,786.181641,91.367561,830.630005,696.000000,47.149223,,,,803.351746,1028.606445,208.149490,792.933777,1129.848267,345.916321,796.872375,688.071289,41.884872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,840.214172,786.404114,91.561005,830.413330,695.675964,47.686073,,,,803.174927,1028.952881,208.048752,792.876831,1129.959351,345.904022,796.661438,688.119202,42.530430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,839.910522,786.526428,92.015755,830.080017,695.605164,48.083614,,,,802.903198,1029.350952,207.863739,792.917786,1130.023071,345.838898,796.333496,688.119019,43.113552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,839.510803,786.757324,92.471001,829.721008,695.346069,48.555016,,,,802.724304,1029.697021,207.788239,792.861389,1130.122681,345.803223,795.973694,688.220581,43.514977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,839.014465,786.852234,92.862885,829.563171,695.301758,49.259602,,,,802.614502,1030.055054,207.761902,792.772217,1130.354492,345.785156,795.755371,688.359009,43.831093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,838.451233,787.007690,93.275482,829.129395,695.248657,50.120846,,,,802.435425,1030.595337,207.669128,792.641113,1130.570313,345.806152,795.442871,688.609619,44.159431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,838.007446,787.380859,93.700424,828.503845,695.507813,51.207176,,,,802.233093,1031.167603,207.494705,792.647034,1130.791138,345.828156,795.063171,688.790222,44.621517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,837.464355,787.861572,94.079407,827.932129,695.719971,51.904476,,,,802.137817,1031.818604,207.214783,792.655151,1131.051270,345.647064,794.708069,688.993347,45.060337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,836.957703,788.125916,94.494667,827.424255,695.751282,52.563965,,,,802.128845,1032.284790,206.860947,792.690125,1131.265259,345.647552,794.244934,689.329285,45.364311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,836.484253,788.378296,95.151947,826.668884,695.829590,53.428406,,,,802.072571,1032.718628,206.298813,792.643555,1131.609985,345.546600,793.487305,689.716431,46.029240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,835.657166,788.739990,95.388687,826.425354,696.112793,53.771637,,,,802.043701,1033.302856,205.801605,792.714539,1131.981567,345.523071,792.679016,689.936279,46.652988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,835.290833,789.137390,95.396362,825.731140,696.606384,54.457962,,,,801.861633,1034.076050,205.664124,792.821045,1132.342773,345.577118,791.909180,690.263367,47.605526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,834.548767,789.424805,96.073425,825.397583,696.779297,55.597042,,,,801.826599,1034.963623,205.513443,792.786743,1132.795654,345.513123,791.385193,690.549194,48.249519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,833.547180,790.008972,97.044113,824.948242,697.067322,56.736553,,,,801.401367,1035.803345,205.684143,792.710510,1133.272705,345.462585,790.985718,690.887817,48.597797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,832.577087,790.451172,97.761795,824.085266,697.601929,57.618233,,,,801.293274,1036.492310,205.843597,792.659241,1133.819824,345.496552,790.709656,691.470703,49.097256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,832.184875,790.782349,98.804909,823.459778,697.793030,58.759720,,,,801.174011,1037.484009,205.704941,792.675293,1134.533936,345.631500,790.166565,692.153076,49.929157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,831.531616,791.741394,99.677162,822.668152,698.082031,59.691864,,,,801.208191,1038.904785,204.882751,792.647583,1135.175537,345.869537,789.397339,692.871216,50.637817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
