Präzision01139
Date:,2025/04/22
Time:,17:38:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,804.337646,767.233459,109.076073,733.207886,947.003357,227.969391,804.950989,669.852600,64.589684,738.893921,1031.615234,341.048828,833.710022,682.156799,64.021111,,,,,,,,,,,,,,,,,,,,,,,,
2,804.332947,767.239563,109.100082,733.216431,946.994629,227.966537,805.005127,669.855774,64.481987,738.988770,1031.624390,341.043579,836.282898,680.650269,65.362869,,,,,,,,,,,,,,,,,,,,,,,,
3,804.332458,767.200073,109.104187,733.238464,947.005615,227.951584,805.026550,669.853149,64.496933,738.954590,1031.632813,340.990692,836.083130,680.874817,65.595741,,,,,,,,,,,,,,,,,,,,,,,,
4,804.255859,767.235291,109.030495,733.178589,947.084045,227.979065,804.905762,669.869568,64.787094,738.908508,1031.638672,340.989838,835.226624,681.780212,65.093048,,,,,,,,,,,,,,,,,,,,,,,,
5,804.266846,767.207336,109.075111,733.237305,947.020447,227.964401,804.927734,669.798401,64.646873,738.891418,1031.636963,341.016479,835.174561,681.491333,65.013580,,,,,,,,,,,,,,,,,,,,,,,,
6,804.233459,767.210815,109.051521,733.175232,947.016113,227.976990,804.852417,669.880981,64.795479,738.904358,1031.636841,341.016510,835.352234,681.179749,65.110268,,,,,,,,,,,,,,,,,,,,,,,,
7,804.228882,767.166687,109.024422,733.231140,947.005493,227.964325,804.795532,669.873779,64.804390,738.931580,1031.632568,340.999298,835.408508,681.110229,65.175674,,,,,,,,,,,,,,,,,,,,,,,,
8,804.242310,767.188354,109.058823,733.182983,947.021423,227.973892,804.873901,669.758423,64.620865,738.909546,1031.721313,341.021606,835.366089,681.137939,65.167191,,,,,,,,,,,,,,,,,,,,,,,,
9,804.214111,767.144165,109.096375,733.216797,947.061523,227.971207,804.829407,669.834351,64.762283,738.646484,1031.716064,341.056458,836.144714,680.680664,65.267090,,,,,,,,,,,,,,,,,,,,,,,,
10,804.182129,767.144348,109.125374,733.197876,947.099426,227.979645,804.867493,669.784302,64.645332,738.753418,1031.734863,341.029694,835.624268,680.989197,65.265930,,,,,,,,,,,,,,,,,,,,,,,,
