Präzision01162
Date:,2025/04/23
Time:,11:22:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,797.920837,765.258789,102.192757,688.756165,1061.958496,441.587585,712.482727,1029.790771,290.088684,806.084290,685.661011,34.666618,829.386230,665.550842,63.928326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,797.905029,765.334656,102.183121,688.769531,1062.073853,441.620544,712.422974,1029.794067,290.096039,805.783203,685.740845,34.553410,828.915527,665.082581,64.380272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,797.896484,765.374023,102.209648,688.755981,1062.249756,441.651642,712.352905,1029.886230,290.132019,805.932190,685.878479,34.542187,829.148132,665.078308,64.361290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,797.877869,765.420410,102.263985,688.734680,1062.347412,441.774750,712.276672,1029.994629,290.184509,806.397034,686.035278,34.605194,829.306396,665.326111,64.230423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,797.885010,765.530579,102.257629,688.731873,1062.550293,442.102692,,,,806.520874,686.080444,34.693317,829.151855,665.511902,64.225212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,797.897217,765.610352,102.267387,688.640442,1062.754028,442.364410,,,,806.653992,686.077820,34.747299,827.906067,664.464417,65.450836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,797.800415,765.712402,102.268936,688.532288,1062.864136,442.468170,,,,806.476746,686.147522,34.686291,826.897583,663.450256,66.745804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,797.802673,765.750671,102.339363,688.519104,1063.055542,442.505493,,,,806.347778,686.188110,34.651947,826.489929,663.041870,67.340027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,797.744873,765.843323,102.312492,688.404480,1063.167236,442.634430,,,,806.235291,686.282410,34.648415,826.680298,663.404175,67.271790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,797.681641,766.018555,102.379410,688.347351,1063.354492,442.758392,,,,806.167603,686.316223,34.628403,827.055420,663.967041,67.043633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,797.649231,766.100464,102.525047,688.244995,1063.462402,442.906952,,,,806.029968,686.316589,34.693840,827.322632,664.408081,66.674072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,797.583801,766.218689,102.593239,688.156616,1063.656372,442.988586,,,,805.645630,686.349304,34.601566,827.731873,664.794312,66.360321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,797.566528,766.336975,102.663643,688.034973,1063.943848,443.030579,,,,805.314392,686.459656,34.551144,828.424377,665.855713,65.399490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,797.416809,766.519287,102.779373,687.934998,1064.141846,443.091370,,,,805.909973,686.573120,34.921555,828.768372,666.430969,64.839767,711.492981,1031.005981,290.482666,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,797.396851,766.645020,103.011101,687.850525,1064.409180,443.216614,,,,806.487793,686.796692,35.255947,829.103882,666.963684,64.281158,711.500610,1031.270386,290.723389,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,797.249329,766.796265,103.089027,687.800171,1064.617554,443.215027,,,,806.506653,687.010681,35.556347,825.638733,686.612305,53.065006,711.353210,1031.439209,290.858307,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,797.068481,766.899475,103.290894,687.693359,1064.876587,443.389618,,,,806.113281,687.281921,35.676586,825.452271,686.975647,53.290443,711.046143,1031.599243,290.983978,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,796.885620,767.118286,103.572685,687.609497,1065.156372,443.528931,,,,805.535217,687.501953,35.917065,825.201599,687.267700,53.644890,710.820251,1031.790771,291.123749,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,796.774597,767.255920,103.920555,687.461426,1065.514160,443.641907,,,,800.425720,665.185181,47.424103,824.992737,687.701538,54.263489,710.368591,1032.194946,291.343384,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,796.723511,767.390625,103.981445,687.431885,1065.912476,443.762543,,,,798.566895,649.747131,57.074570,824.828003,688.019653,54.642967,710.251831,1032.537354,291.320801,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,796.806763,767.596863,104.014000,687.302612,1066.291748,443.804932,,,,,,,825.057312,688.058167,55.175999,709.955933,1032.852173,291.452728,800.124023,665.429932,48.145493,,,,,,,,,,,,,,,,,,,,,,,,
22,796.245728,767.915588,104.427315,687.243469,1066.563965,443.894775,,,,,,,825.184448,688.172485,55.637043,709.523438,1033.379517,291.669952,799.852539,665.646606,48.568432,,,,,,,,,,,,,,,,,,,,,,,,
23,796.343872,768.125305,105.329872,687.127930,1066.995728,444.006104,,,,,,,825.061035,688.404114,55.954491,,,,799.620728,665.837036,49.074200,,,,,,,,,,,,,,,,,,,,,,,,
24,795.962585,768.520813,105.876984,687.029541,1067.484985,444.150482,,,,,,,824.751770,688.621216,56.356197,,,,799.177185,666.178528,50.085632,,,,,,,,,,,,,,,,,,,,,,,,
25,795.671631,768.920105,106.418922,686.894592,1067.878418,444.403229,,,,,,,824.418457,688.736084,57.001854,,,,798.750671,666.590332,51.003853,708.837158,1035.178345,291.603394,,,,,,,,,,,,,,,,,,,,,
26,795.329529,769.230408,106.860771,686.837646,1068.343140,444.694855,,,,,,,823.820679,689.062683,57.672558,,,,798.420593,666.893494,51.700523,,,,,,,,,,,,,,,,,,,,,,,,
27,794.953369,769.750244,107.429550,686.766052,1068.968872,445.625183,,,,,,,823.296631,689.410461,58.592396,,,,798.142029,667.287842,52.513405,,,,707.864258,1036.648682,291.746246,,,,,,,,,,,,,,,,,,
28,794.347900,770.395081,108.156616,686.485535,1069.455566,446.228058,,,,,,,823.035828,689.739990,59.690201,,,,797.685364,667.744446,53.669323,,,,707.593445,1037.665649,292.320068,,,,,,,,,,,,,,,,,,
29,793.817749,770.852661,108.628227,686.300781,1069.906372,446.634857,,,,,,,822.924561,689.987122,60.707279,,,,797.427429,668.274414,54.347614,,,,707.311340,1038.630005,291.948425,,,,,,,,,,,,,,,,,,
30,793.342834,771.284790,109.280212,686.237732,1070.527222,447.069153,,,,,,,822.820862,690.145081,61.650429,,,,797.299500,668.567749,55.235752,,,,706.816345,1039.471802,291.742737,,,,,,,,,,,,,,,,,,
31,793.034607,771.745667,110.650887,686.246277,1071.169312,447.541718,,,,,,,822.129272,690.762573,62.944984,,,,796.900146,668.715454,56.844490,,,,706.259949,1040.359497,291.948517,,,,,,,,,,,,,,,,,,
32,792.918701,771.894958,111.833199,686.054260,1071.768433,447.722137,,,,,,,822.081726,691.472290,64.563469,,,,796.713989,668.987000,57.935532,,,,705.697083,1041.309814,292.523956,,,,,,,,,,,,,,,,,,
33,792.398926,772.452759,113.016296,685.877502,1072.481201,448.135132,,,,,,,822.009583,691.877441,65.670723,,,,796.639404,669.115906,58.646374,,,,705.090881,1042.315430,292.984070,,,,,,,,,,,,,,,,,,
34,791.917358,773.219238,114.282944,685.650635,1073.130249,448.671844,,,,,,,821.144470,692.244141,66.841888,,,,796.010437,669.535706,60.296940,,,,704.325684,1043.427124,293.294189,,,,,,,,,,,,,,,,,,
35,791.536499,774.025757,115.469353,685.492798,1073.750244,448.996002,,,,,,,820.471436,692.701538,68.485382,,,,795.379639,670.107788,62.623177,,,,,,,,,,,,,,,,,,,,,,,,
36,791.063416,774.753540,116.654564,685.274719,1074.553955,449.214783,,,,,,,820.008057,693.227966,70.486649,,,,794.916321,670.652588,64.459457,,,,,,,702.461731,1045.985962,293.854340,,,,,,,,,,,,,,,
37,790.533386,775.451355,118.072388,685.032471,1075.416626,449.959686,,,,,,,819.550903,693.660156,72.336052,,,,794.701782,671.271301,65.888649,,,,,,,702.247803,1047.140381,293.610199,,,,,,,,,,,,,,,
38,789.908264,775.843506,120.106400,684.811829,1076.255127,450.836334,,,,,,,819.144470,694.212158,73.784828,,,,794.003723,672.100220,68.047554,,,,,,,701.420105,1048.677490,293.764893,,,,,,,,,,,,,,,
39,789.166260,776.640076,121.297806,684.209839,1077.253906,451.540314,,,,,,,818.585327,694.587402,76.102142,,,,793.724121,672.647461,69.501877,,,,,,,,,,,,,,,,,,,,,,,,
40,788.665100,777.749023,122.733749,683.606079,1078.458618,452.012421,,,,,,,818.191284,695.331665,77.859528,,,,793.483704,672.931824,71.366707,,,,,,,,,,699.273010,1051.704834,294.638367,,,,,,,,,,,,
41,787.907593,778.756287,124.568634,683.552185,1079.518066,452.623840,,,,,,,817.766785,696.411377,79.901154,,,,793.108521,673.603149,73.782890,,,,,,,,,,698.445435,1053.250732,294.666351,,,,,,,,,,,,
42,787.421631,779.328247,126.219093,683.356323,1080.700195,452.869629,,,,,,,817.106750,697.351196,82.177032,,,,792.100891,674.388245,76.133858,,,,,,,,,,,,,,,,,,,,,,,,
43,786.832397,780.136414,128.625458,683.036072,1082.003662,453.148773,,,,,,,816.866760,697.895630,84.158203,,,,791.349609,675.366150,78.246140,,,,,,,,,,,,,696.475159,1056.439087,295.429443,,,,,,,,,
44,785.824280,781.371521,130.249451,682.675598,1083.349121,453.742523,,,,,,,816.134399,698.536377,86.562943,,,,791.144104,676.168335,80.674347,,,,,,,,,,,,,695.179077,1058.296875,295.819763,,,,,,,,,
