Präzision01164
Date:,2025/04/23
Time:,11:22:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,800.129822,776.022461,97.211983,710.659729,1065.675293,451.026611,818.510376,696.714905,38.639248,729.901123,1034.776611,298.662567,797.986816,697.565247,23.166275,,,,,,,,,,,,,,,,,,,,,
2,800.098083,775.979492,97.310944,710.672668,1065.584229,450.942169,818.457886,696.726074,38.601780,729.901123,1034.776611,298.662567,797.986816,697.565247,23.166275,,,,,,,,,,,,,,,,,,,,,
3,800.123230,776.039063,97.205826,710.684326,1065.582275,450.972046,818.476135,696.744873,38.640160,,,,797.986877,697.565247,23.166273,,,,,,,,,,,,,,,,,,,,,
4,800.109619,776.038269,97.292557,710.737183,1065.492188,450.971771,818.494568,696.628601,38.653065,,,,797.945557,697.463074,23.197260,730.005371,1034.659302,298.819885,,,,,,,,,,,,,,,,,,
5,800.095276,775.977905,97.143265,710.770081,1065.478271,450.952332,818.489929,696.680542,38.638783,,,,797.933167,697.510925,23.153847,730.001526,1034.669922,298.664307,,,,,,,,,,,,,,,,,,
6,800.149048,775.977966,97.206497,710.757935,1065.470215,451.056458,818.486877,696.626526,38.639099,,,,797.921692,697.463623,23.136957,730.099487,1034.677490,298.717468,,,,,,,,,,,,,,,,,,
7,800.197205,775.969910,97.225578,710.750244,1065.384644,451.068390,818.495911,696.596436,38.652397,,,,797.889709,697.426270,23.154255,730.086426,1034.676636,298.724243,,,,,,,,,,,,,,,,,,
8,800.260376,775.962952,97.174522,710.749146,1065.367676,451.044556,818.504883,696.592712,38.662560,,,,797.873596,697.416687,23.166176,730.088745,1034.676636,298.753723,,,,,,,,,,,,,,,,,,
9,800.293213,775.949158,97.205887,710.832031,1065.364136,451.069244,818.506958,696.596069,38.664261,,,,798.148621,697.511902,23.117210,730.095276,1034.673828,298.761932,,,,,,,,,,,,,,,,,,
10,800.106445,775.926697,96.824043,710.765198,1065.376465,450.983673,818.504395,696.598572,38.661201,,,,798.096252,697.486389,23.152494,730.145569,1034.669434,298.807892,,,,,,,,,,,,,,,,,,
11,800.235718,775.991577,97.133560,710.815002,1065.287231,450.990967,818.501526,696.599670,38.658070,,,,797.924561,697.432617,23.211405,730.159363,1034.652588,298.893372,,,,,,,,,,,,,,,,,,
12,800.296997,775.970642,97.203804,710.803528,1065.275269,451.003235,818.500305,696.599976,38.656818,,,,797.842102,697.406555,23.186447,730.213257,1034.661987,298.874695,,,,,,,,,,,,,,,,,,
13,800.278076,776.009033,97.075638,710.789917,1065.280762,451.012207,819.028809,696.432922,39.111279,,,,798.193909,697.524414,23.058203,730.193665,1034.670044,298.829407,,,,,,,,,,,,,,,,,,
14,800.347656,775.977356,97.004089,710.858765,1065.190186,451.033295,819.645020,696.118042,39.777744,,,,798.328186,697.460938,23.007338,730.162781,1034.653809,298.882233,,,,,,,,,,,,,,,,,,
15,800.386353,775.970337,97.030472,710.880737,1065.173828,451.026306,820.103271,695.975281,40.252186,,,,798.428040,697.552551,23.011276,730.118408,1034.649170,298.894623,,,,,,,,,,,,,,,,,,
16,800.361084,775.969604,97.075600,710.900696,1065.093628,450.992493,820.263977,695.933594,40.418777,,,,798.165955,697.506226,23.094486,730.280823,1034.551514,298.964203,,,,,,,,,,,,,,,,,,
17,800.341980,775.906311,97.023155,710.908630,1065.081055,450.981567,820.215027,695.866455,40.372330,,,,797.950745,697.354065,23.099228,730.298096,1034.625732,298.991333,,,,,,,,,,,,,,,,,,
18,800.373291,775.900574,97.000755,710.975708,1065.060669,451.116791,820.070068,695.903137,40.207703,,,,797.881287,697.303040,23.085978,730.296631,1034.560181,298.970215,,,,,,,,,,,,,,,,,,
19,800.402771,775.913513,97.049759,710.972717,1065.057495,451.151123,819.908447,695.972961,40.030998,,,,797.907715,697.316650,23.079082,730.292725,1034.522827,299.006470,,,,,,,,,,,,,,,,,,
20,800.447205,775.905273,97.071976,711.005005,1064.974487,451.107208,819.699829,696.042786,39.813782,,,,798.095154,697.376221,22.985582,730.296875,1034.518555,299.015076,,,,,,,,,,,,,,,,,,
21,800.465027,775.841675,97.119324,711.079041,1064.971436,451.069855,819.635376,696.079285,39.740780,,,,798.067810,697.373901,23.048576,730.401062,1034.534180,299.027496,,,,,,,,,,,,,,,,,,
22,800.421692,775.875916,97.031021,711.059875,1064.963989,451.082123,819.725708,696.071777,39.811123,,,,797.944153,697.325195,23.056042,730.474182,1034.536133,299.028839,,,,,,,,,,,,,,,,,,
23,800.498840,775.844238,96.989952,711.125549,1064.971313,451.092896,819.822266,696.019531,39.932201,,,,797.951538,697.297974,23.094055,730.489075,1034.512085,299.098419,,,,,,,,,,,,,,,,,,
24,800.473389,775.830627,96.969681,711.170166,1064.973267,451.101654,819.906494,695.977905,40.031071,,,,798.007202,697.294678,23.066185,730.511169,1034.504150,299.142731,,,,,,,,,,,,,,,,,,
25,800.532959,775.829956,97.106659,711.182922,1064.951904,451.179596,819.952209,695.959778,40.080029,,,,797.995483,697.332214,23.081787,730.459717,1034.496826,299.219574,,,,,,,,,,,,,,,,,,
26,800.554565,775.828918,97.094734,711.219543,1064.934204,451.315643,820.013367,695.878296,40.161480,,,,798.073547,697.280151,23.023306,730.515686,1034.481323,299.276093,,,,,,,,,,,,,,,,,,
27,800.524963,775.823364,97.068726,711.265137,1064.921631,451.376373,820.099121,695.925354,40.235954,,,,797.997620,697.316101,23.025236,730.588745,1034.482056,299.318420,,,,,,,,,,,,,,,,,,
28,800.452271,775.810364,97.049500,711.302734,1064.902222,451.482117,820.117432,695.824463,40.260948,,,,797.930725,697.248169,23.091515,730.622803,1034.452271,299.379578,,,,,,,,,,,,,,,,,,
29,800.491272,775.817383,97.076241,711.295898,1064.896362,451.491638,820.090149,695.813538,40.264576,,,,798.033875,697.237549,22.988546,730.641418,1034.368652,299.403107,,,,,,,,,,,,,,,,,,
30,800.537354,775.802979,97.148712,711.421875,1064.890869,451.588440,820.023010,695.831543,40.176697,,,,798.112183,697.265686,22.933889,730.707520,1034.325684,299.482391,,,,,,,,,,,,,,,,,,
31,800.636597,775.834839,97.117126,711.459045,1064.886230,451.611633,819.995300,695.837036,40.134209,,,,797.992432,697.241150,23.025517,730.744141,1034.324707,299.515503,,,,,,,,,,,,,,,,,,
32,800.582275,775.702271,97.048340,711.499939,1064.945313,451.770813,820.000610,695.834534,40.138626,,,,797.892517,697.205261,23.073896,730.747620,1034.306763,299.595245,,,,,,,,,,,,,,,,,,
33,800.493347,775.624512,96.764832,711.505859,1064.974731,451.741241,820.026672,695.825256,40.167938,,,,797.863708,697.193726,23.073792,730.738403,1034.174927,299.711426,,,,,,,,,,,,,,,,,,
34,800.551575,775.695923,97.013176,711.514648,1065.041992,451.825378,820.034363,695.737305,40.186745,,,,798.070374,697.130737,23.001028,730.814453,1034.145996,299.802521,,,,,,,,,,,,,,,,,,
35,800.603455,775.709961,97.153244,711.681702,1065.051514,451.895142,820.028198,695.705322,40.181664,,,,798.121155,697.132874,22.950022,730.718750,1034.121582,299.879913,,,,,,,,,,,,,,,,,,
36,800.652893,775.634766,97.299187,711.683289,1065.117432,451.962616,819.132263,695.944641,39.208004,,,,797.945618,697.106201,23.026743,730.772522,1034.002808,299.988373,,,,,,,,,,,,,,,,,,
37,800.665222,775.590149,97.298248,711.613220,1065.213867,452.029602,818.439880,696.246277,38.477379,,,,797.881775,697.058533,23.071487,730.784607,1033.969482,300.119049,,,,,,,,,,,,,,,,,,
38,800.526184,775.455017,97.080635,711.580933,1065.309448,452.068970,818.215271,696.265564,38.331852,,,,797.812744,696.936096,23.152826,,,,,,,,,,,,,,,,,,,,,
39,800.589783,775.509277,97.355392,711.632996,1065.396973,452.173401,818.367188,696.188477,38.547894,,,,797.767090,696.922180,23.262842,,,,730.718079,1034.030396,300.285919,,,,,,,,,,,,,,,
40,800.671570,775.471008,97.627930,711.648071,1065.566650,452.296539,818.605713,696.001099,38.815144,,,,797.819580,696.823120,23.326677,,,,730.772522,1034.023560,300.334259,,,,,,,,,,,,,,,
41,800.621338,775.399170,97.720734,711.675720,1065.671265,452.385895,818.738220,695.914612,38.990353,,,,797.802429,696.804688,23.339579,,,,730.742737,1034.091919,300.419800,,,,,,,,,,,,,,,
42,800.558655,775.383179,97.767769,711.719788,1065.753418,452.464050,818.706055,695.908630,39.068920,,,,798.041748,696.878418,23.365065,,,,730.764465,1034.098877,300.494781,,,,,,,,,,,,,,,
43,800.570313,775.312622,98.084190,711.707581,1065.951782,452.536194,818.670288,695.834473,39.062759,,,,797.976746,696.750366,23.500654,,,,730.679321,1034.194092,300.548035,,,,,,,,,,,,,,,
44,800.415894,775.335388,98.697182,711.748413,1066.062378,452.663513,818.618774,695.819336,39.134750,,,,797.742188,696.672852,23.647501,,,,730.690979,1034.315308,300.560028,,,,,,,,,,,,,,,
45,800.615112,775.296570,98.791000,711.645325,1066.362671,452.795227,818.537964,695.833618,39.237534,,,,797.590271,696.650635,23.790297,,,,730.677063,1034.502075,300.602356,,,,,,,,,,,,,,,
46,800.788391,775.168884,99.258812,711.585938,1066.674683,453.145172,818.455078,695.839050,39.416847,,,,797.335876,696.583130,24.107138,,,,730.551453,1034.714844,300.674469,,,,,,,,,,,,,,,
47,800.976501,775.308655,99.742531,711.557739,1066.957886,453.252472,818.395508,695.836792,39.562252,,,,797.067139,696.550049,24.460276,,,,730.455017,1034.963623,300.739990,,,,,,,,,,,,,,,
48,800.701843,775.299194,100.099380,711.580444,1067.271240,453.492706,818.200989,695.937195,40.007641,,,,797.038696,696.706421,24.655907,,,,730.315002,1035.266479,300.857635,,,,,,,,,,,,,,,
49,800.403748,775.325378,100.473740,711.575562,1067.627441,453.697845,818.019897,696.057617,40.333958,,,,789.007751,676.749695,38.079491,,,,,,,,,,,,,,,,,,,,,
50,800.285034,775.407532,100.772255,711.580811,1068.019653,453.923553,817.911804,696.297546,40.608509,,,,787.651062,665.743225,46.269875,,,,,,,,,,,,,,,,,,,,,
51,800.330017,775.611328,101.085541,711.325867,1068.505981,454.345795,817.743164,696.485046,40.998264,,,,789.286804,665.134460,47.942902,,,,,,,,,,,,,,,,,,,,,
52,800.172058,775.644409,101.588531,711.232361,1069.089355,454.681305,817.635071,696.719482,41.433800,,,,788.488281,675.181641,42.087624,,,,,,,,,,,,,,,,,,,,,
53,800.057678,775.791687,102.259567,711.209839,1069.614014,455.218567,817.674683,697.003052,42.139660,,,,788.672241,678.625183,39.727924,,,,,,,,,,,,,,,,,,,,,
54,799.943115,776.139832,102.775070,711.198975,1070.278198,455.627197,817.398315,697.325073,42.740623,,,,788.735107,678.264832,40.463612,,,,,,,,,,,,,,,,,,,,,
55,800.138489,776.772461,103.122025,711.238586,1070.883057,456.055145,817.133667,697.773621,43.476753,,,,788.641968,677.583862,41.836327,,,,,,,729.869995,1038.917603,301.194183,,,,,,,,,,,,
56,799.832642,777.278992,103.870033,711.147644,1071.472778,456.283417,818.337280,697.308411,45.937328,,,,788.800293,677.768677,43.516773,,,,,,,729.179626,1039.724365,301.516083,,,,,,,,,,,,
57,799.490662,777.866760,104.680504,711.053040,1072.234863,456.566498,820.227722,696.521667,48.784111,,,,788.754089,678.212036,44.675240,,,,,,,728.617920,1040.676270,301.869415,,,,,,,,,,,,
