Präzision01161
Date:,2025/04/23
Time:,13:01:43
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,816.743774,780.822571,86.352669,868.014526,1021.081116,319.177155,857.617432,988.874329,234.090607,778.903137,696.150757,46.130341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,816.770203,780.822205,86.389008,868.111694,1021.099731,319.064911,857.617432,988.874329,234.090607,784.141907,695.685913,49.144440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,816.704224,780.838379,86.254807,868.118713,1021.014282,319.346680,857.615173,988.869751,234.061844,792.036133,694.353088,55.512119,770.025085,684.088318,53.940884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,816.755188,780.832397,86.357231,868.002075,1021.068420,319.322418,857.672180,988.862366,234.098404,798.679382,693.183044,62.073345,770.000793,684.075623,54.005363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,816.768616,780.821472,86.356552,868.112671,1020.983093,319.301971,857.635437,988.872437,234.088089,802.485046,692.741577,66.046310,770.004822,684.055176,54.049866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,816.760010,780.876221,86.393181,868.090088,1021.067505,319.136627,857.664246,988.864136,234.109604,802.498169,692.607300,66.001045,770.007629,684.050781,54.053783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,816.777588,780.853455,86.390396,868.261475,1021.117676,319.077026,857.628418,988.872314,234.091156,800.360962,692.856445,63.904369,770.011902,684.054321,54.044418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,816.805115,780.892944,86.380844,868.316711,1021.134155,319.085327,857.614258,988.875000,234.089447,798.034607,693.264526,61.541977,770.049683,684.063843,54.017853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,816.783264,780.870422,86.352356,868.201355,1021.112427,319.171448,857.693542,988.861084,234.123520,796.573120,693.525757,60.011814,770.103149,684.052856,54.028828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,816.767334,780.920349,86.296700,868.194458,1021.115479,319.145142,857.614929,988.873047,234.073425,796.227173,693.589661,59.644459,770.085388,684.068115,54.001987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,816.773499,780.901184,86.256828,868.235535,1021.130371,319.039368,857.657227,988.864380,234.104797,796.482849,693.597046,59.879421,770.099854,684.166565,53.966778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,816.777771,780.860291,86.351425,868.244385,1021.104248,318.971069,857.678833,988.861084,234.111099,797.190918,693.439575,60.485294,770.133362,684.078430,53.961903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,816.792908,780.879517,86.398087,868.213928,1021.088318,318.982574,857.706421,988.855286,234.092590,797.791748,693.407898,61.097858,770.118347,684.044739,54.017475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,816.735535,780.878784,86.295296,868.290649,1021.075989,318.998413,857.642944,988.872253,234.074783,798.169861,693.222778,61.549797,770.108948,684.033264,54.008823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,816.751831,780.900269,86.350288,868.207520,1021.093384,319.022644,857.689880,988.866211,234.159729,798.182312,693.316284,61.577160,770.146179,684.054688,54.009228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,816.779297,780.894531,86.394348,868.221130,1021.120667,319.159821,857.674500,988.861145,234.130432,798.038635,693.331299,61.385223,770.146606,684.058350,53.924171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,816.750305,780.860229,86.364876,868.225098,1021.096924,319.137268,857.704041,988.858765,234.120163,797.768799,693.303345,61.066879,770.142212,684.053772,53.946869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,816.769897,780.830933,86.380295,868.177551,1021.124146,319.180176,857.688965,988.861511,234.101547,797.318787,693.565186,60.564949,770.166931,684.053833,53.957584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,816.742310,780.827393,86.441124,868.162659,1021.113281,319.200806,857.679443,988.862305,234.102371,797.200134,693.364075,60.465633,770.183777,684.037354,53.950340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,816.733582,780.776489,86.447929,868.097900,1021.122925,319.310974,857.676331,988.862000,234.107224,797.394897,693.225647,60.559235,770.226868,684.042603,53.923592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,816.683716,780.766357,86.457535,868.093445,1021.094849,319.264160,857.677002,988.866394,234.136917,797.677979,693.205994,60.834637,770.245422,684.051208,53.904415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,816.694946,780.770264,86.408974,868.196045,1021.119202,319.302704,857.590454,988.852783,234.112152,797.575684,693.308960,60.761894,770.257080,684.045471,53.851315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,816.708252,780.769104,86.455383,868.163086,1021.077515,319.411407,857.522583,988.839844,234.229538,797.493286,693.223999,60.578506,770.333618,683.934509,53.813473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,816.705444,780.776489,86.450851,868.112305,1021.080627,319.491974,857.574158,988.737549,234.292587,797.479126,693.193176,60.465366,770.309387,683.918213,53.827499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,816.698608,780.701294,86.476883,868.044678,1021.091980,319.494324,857.607361,988.714417,234.277679,797.496826,693.095093,60.405071,770.327942,683.912354,53.828842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,816.637268,780.646057,86.533142,868.145386,1021.124512,319.547333,857.470154,988.675903,234.352402,797.168701,693.302063,60.164593,770.427002,683.913940,53.775467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,816.629028,780.648499,86.544846,868.083862,1021.125427,319.637756,857.335632,988.682007,234.437836,796.816895,693.402893,59.633991,770.447388,683.834656,53.759262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,816.644714,780.655334,86.530067,868.045044,1021.128784,319.754944,857.256958,988.650391,234.571899,796.457581,693.371704,59.270084,770.455139,683.759644,53.790520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,816.515808,780.663635,86.558510,868.084717,1021.113464,319.791626,857.069397,988.616272,234.647110,796.248047,693.379639,59.141422,770.510498,683.770874,53.825378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,816.516602,780.636658,86.651749,868.091248,1021.094727,319.888550,856.995056,988.565918,234.804276,796.188354,693.287415,59.244972,770.504517,683.695007,53.847038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,816.479370,780.623718,86.688736,868.053589,1021.080383,319.976593,856.790894,988.466064,235.263306,796.343140,693.217407,59.384377,770.531738,683.657776,53.841030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,816.359070,780.626953,86.772362,868.079834,1021.096558,320.091431,856.708252,988.483826,235.187561,796.414063,693.186890,59.677586,770.570374,683.667603,53.908936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,816.375061,780.577148,86.911499,868.143799,1021.063904,320.153625,856.658630,988.532043,235.220734,796.410217,693.081421,60.020611,770.567810,683.670593,53.933777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,816.311523,780.541260,87.000916,868.095947,1021.143799,320.220398,856.615601,988.527588,235.327118,796.313904,693.057678,60.373650,770.547607,683.567688,53.978550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,816.179016,780.481201,87.130341,868.036316,1021.150208,320.418274,856.420410,988.601074,235.571823,796.194885,693.059631,60.584309,770.651611,683.711487,54.003204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,816.058899,780.527222,87.187859,868.135254,1021.168091,320.439148,856.215881,988.606750,235.704422,,,,770.910583,683.915222,53.845661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,815.936401,780.524414,87.295288,868.159912,1021.226440,320.636963,856.017029,988.698853,235.807312,,,,770.954956,683.993896,53.750755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,815.805481,780.513367,87.600410,868.109558,1021.209412,320.727997,,,,,,,770.870667,684.018433,53.863304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,815.628906,780.436096,87.482697,868.071472,1021.287537,320.758148,,,,,,,770.604736,684.084839,54.072525,855.811462,989.007202,236.076508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,815.551331,780.591003,87.796585,868.114380,1021.483276,320.804749,,,,,,,770.361389,684.056702,54.434093,855.710449,989.259338,236.189392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,815.271179,780.804626,88.113838,868.325500,1021.654785,321.169830,,,,,,,769.713562,683.825989,54.892574,855.595581,989.580139,236.240921,796.668518,693.288025,62.767151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,815.019653,780.914307,88.470451,868.139038,1021.878174,321.299469,,,,,,,769.368530,683.800049,55.447948,,,,796.437439,693.399475,62.826164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,814.791138,781.080261,88.726158,868.107361,1022.195007,321.321259,,,,,,,769.052063,683.846924,56.166576,,,,796.071899,693.538513,62.917152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,814.524414,781.186890,89.050873,868.160034,1022.733032,321.335358,,,,,,,768.729004,683.948914,56.831760,,,,795.494446,693.671692,63.155209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,814.140015,781.353821,89.480370,868.268555,1023.070374,321.410553,,,,,,,768.453796,684.052917,57.286312,,,,795.453491,693.571228,64.441475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,813.737305,781.689087,89.963066,868.302063,1023.488098,321.397369,,,,,,,768.340881,684.269836,57.630066,,,,796.156250,693.156677,66.192810,855.481567,992.130859,236.177856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,813.151001,781.979553,90.520996,868.186707,1024.108276,321.414490,,,,,,,768.172546,684.412109,58.009514,,,,796.596741,692.937317,67.248596,855.556091,992.634216,236.264297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,813.038025,782.354126,91.105507,868.129639,1024.608276,321.451874,,,,,,,767.711121,684.763489,58.844128,,,,796.520447,693.061523,67.861717,855.413391,993.464539,236.430054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,813.061523,782.784973,91.514183,868.331604,1025.342163,321.499298,,,,,,,767.264587,685.200012,59.652397,,,,795.951782,693.531250,68.435097,855.304749,994.466064,236.584641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,812.696655,783.327209,92.317909,868.559875,1026.340454,321.422302,,,,,,,766.670959,685.705139,60.676750,,,,794.466919,693.921509,69.280830,855.367920,995.441650,236.461411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,812.412048,783.807068,93.164429,868.802246,1027.171021,321.428772,,,,,,,765.899841,685.967529,62.156162,,,,794.322205,694.478943,70.581741,855.460083,996.202271,236.154068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,812.146545,784.163513,93.905075,868.951843,1028.020386,321.467407,,,,,,,765.688721,686.725708,62.740604,,,,794.351807,694.803101,71.426315,855.487549,997.316162,235.751373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,811.824707,784.741455,95.111176,869.149231,1029.266357,321.536346,,,,,,,765.669250,687.432678,63.066765,,,,794.082886,695.053467,72.335762,855.550110,998.631226,235.749542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
