Präzision01160
Date:,2025/04/24
Time:,13:16:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,802.428894,776.041382,97.240265,813.246399,674.465454,73.657143,793.023804,675.371826,56.632790,788.477722,1027.830811,166.571426,785.047241,1115.780762,371.525696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,802.348328,776.244629,97.339935,813.284668,674.547913,74.046379,793.028931,675.559387,56.896549,788.246277,1027.957886,166.652542,785.133545,1115.825562,371.980499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,802.189453,776.465332,97.567261,813.309692,674.734741,74.582596,793.160217,675.635742,57.629410,788.055176,1028.305176,166.611740,785.173157,1115.947388,372.116180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,802.218201,776.625061,97.939880,813.190979,674.880676,75.053459,792.973267,675.536316,58.891705,787.798584,1028.794800,166.553253,785.255615,1116.165405,372.008789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,802.203186,776.803162,98.398300,812.523865,675.136230,75.831184,792.322571,675.753540,59.949677,787.684570,1029.176514,166.552277,785.485474,1116.450195,371.938965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,801.958252,777.115295,99.062943,812.145691,675.335999,76.731171,791.609497,675.955872,60.527603,787.514465,1029.713135,166.452087,785.547791,1116.702148,371.863892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,801.777039,777.568481,100.280998,812.042908,675.631165,77.473816,791.411377,676.274780,60.992878,787.413696,1030.251831,166.209045,785.483337,1117.067017,371.826202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,801.237732,777.904663,101.487350,811.985291,676.103821,78.043129,791.817566,676.983032,61.370865,787.456299,1030.768066,166.167908,785.549194,1117.562256,371.621735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,801.089355,778.257629,102.093063,812.019714,676.575195,79.462944,791.844666,677.298584,63.020203,787.286743,1031.330200,165.906265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,800.996765,778.836792,102.361046,811.273743,676.936035,80.714752,787.013123,663.718262,73.238716,786.947510,1032.011841,165.682800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
